[LXX | EL | OT | Job | Chapter 31 | Verse 1] Διαθήκην ἐθέμην τοῖς ὀφθαλμοῖς μου, καὶ οὐ συνήσω ἐπὶ παρθένον.
[LXX | EL | OT | Job | Chapter 31 | Verse 2] Καὶ τί ἐμέρισεν ὁ Θεὸς ἄνωθεν, καὶ κληρονομία ἱκανοῦ ἐξ ὑψίστων;
[LXX | EL | OT | Job | Chapter 31 | Verse 3] Οὐαί, ἀπώλεια τῷ ἀδίκῳ, καὶ ἀπαλλοτρίωσις τοῖς ποιοῦσιν ἀνομίαν.
[LXX | EL | OT | Job | Chapter 31 | Verse 4] Οὐχὶ αὐτὸς ὄψεται ὁδόν μου, καὶ πάντα τὰ διαβήματά μου ἐξαριθμήσεται;
[LXX | EL | OT | Job | Chapter 31 | Verse 5] Εἰ δὲ ἤμην πεπορευμένος μετὰ γελοιαστῶν, εἰ δὲ καὶ ἐσπούδασεν ὁ πούς μου εἰς δόλον·
[LXX | EL | OT | Job | Chapter 31 | Verse 6] Ἕσταμαι γὰρ ἐν ζυγῷ δικαίῳ, οἶδε δὲ ὁ Κύριος τὴν ἀκακίαν μου·
[LXX | EL | OT | Job | Chapter 31 | Verse 7] Εἰ ἐξέκλινεν ὁ πούς μου ἐκ τῆς ὁδοῦ, εἰ δὲ καὶ τῷ ὀφθαλμῷ ἐπηκολούθησεν ἡ καρδία μου, εἰ δὲ καὶ ταῖς χερσί μου ἡψάμην δώρων,
[LXX | EL | OT | Job | Chapter 31 | Verse 8] σπείραιμι ἄρα καὶ ἄλλοι φάγοισαν, ἄῤῥιζος δὲ γενοίμην ἐπὶ γῆς.
[LXX | EL | OT | Job | Chapter 31 | Verse 9] Εἰ ἐξηκολούθησεν ἡ καρδία μου γυναικὶ ἀνδρὸς ἑτέρου, εἰ καὶ ἐγκάθετος ἐγενόμην ἐπὶ θύραις αὐτῆς,
[LXX | EL | OT | Job | Chapter 31 | Verse 10] ἀρέσαι ἄρα καὶ ἡ γυνή μου ἑτέρῳ, τὰ δὲ νήπιά μου ταπεινωθείη.
[LXX | EL | OT | Job | Chapter 31 | Verse 11] Θυμὸς γὰρ ὀργῆς ἀκατάσχετος, τὸ μιᾶναι ἀνδρὸς γυναῖκα.
