[LXX | EL | OT | Job | Chapter 8 | Verse 1] Ὑπολαβὼν δὲ Βαλδὰδ ὁ Σαυχίτης, λέγει,
[LXX | EL | OT | Job | Chapter 8 | Verse 2] Μέχρι τίνος λαλήσεις ταῦτα, πνεῦμα πολυῤῥῆμον τοῦ στόματός σου;
[LXX | EL | OT | Job | Chapter 8 | Verse 3] Μὴ ὁ Κύριος ἀδικήσει κρίνων; ἢ ὁ τὰ πάντα ποιήσας ταράξει τὸ δίκαιον;
[LXX | EL | OT | Job | Chapter 8 | Verse 4] Εἰ οἱ υἱοί σου ἥμαρτον ἐναντίον αὐτοῦ, ἀπέστειλεν ἐν χειρὶ ἀνομίας αὐτῶν.
[LXX | EL | OT | Job | Chapter 8 | Verse 5] Σὺ δὲ ὄρθριζε πρὸς Κύριον παντοκράτορα δεόμενος.
[LXX | EL | OT | Job | Chapter 8 | Verse 6] Εἰ καθαρὸς εἶ καὶ ἀληθινὸς, δεήσεως ἐπακούσεταί σου, ἀποκαταστήσει δέ σοι δίαιταν δικαιοσύνης.
[LXX | EL | OT | Job | Chapter 8 | Verse 7] Ἔσται οὖν τὰ μὲν πρῶτά σου ὀλίγα, τὰ δὲ ἔσχατά σου ἀμύθητα.
[LXX | EL | OT | Job | Chapter 8 | Verse 8] Ἐπερώτησον γὰρ γενεὰν πρώτην, ἐξιχνίασον δὲ κατὰ γένος πατέρων·
[LXX | EL | OT | Job | Chapter 8 | Verse 9] Χθιζοὶ γάρ ἐσμεν, καὶ οὐκ οἴδαμεν· σκιὰ γάρ ἐστιν ἡμῶν ἐπὶ τῆς γῆς ὁ βίος·
[LXX | EL | OT | Job | Chapter 8 | Verse 10] Ἢ οὐχ οὗτοί σε διδάξουσιν καὶ ἀναγγελοῦσι, καὶ ἐκ καρδίας ἐξάξουσι ῥήματα;
[LXX | EL | OT | Job | Chapter 8 | Verse 11] Μὴ θάλλει πάπυρος ἄνευ ὕδατος, ἢ ὑψωθήσεται βούτομον ἄνευ πότου;
[LXX | EL | OT | Job | Chapter 8 | Verse 12] Ἔτι ὂν ἐπὶ ῥίζης, καὶ οὐ μὴ θερισθῇ, πρὸ τοῦ πιεῖν πᾶσα βοτάνη οὐχὶ ξηραίνεται;
[LXX | EL | OT | Job | Chapter 8 | Verse 13] Οὕτως τοίνυν ἔσται τὰ ἔσχατα πάντων τῶν ἐπιλανθανομένων τοῦ Κυρίου· ἐλπὶς γὰρ ἀσεβοῦς ἀπολεῖται·
[LXX | EL | OT | Job | Chapter 8 | Verse 14] Ἀοίκητος γὰρ αὐτοῦ ἔσται ὁ οἶκος· ἀράχνη δὲ αὐτοῦ ἀποβήσεται ἡ σκηνή.
[LXX | EL | OT | Job | Chapter 8 | Verse 15] Ἐὰν ὑπερείσῃ τὴν οἰκίαν αὐτοῦ, οὐ μὴ στῇ· ἐπιλαβομένου δὲ αὐτοῦ, οὐ μὴ ὑπομείνῃ·
[LXX | EL | OT | Job | Chapter 8 | Verse 16] Ὑγρὸς γάρ ἐστιν ὑπὸ ἡλίου· καὶ ἐκ σαπρίας αὐτοῦ ὁ ῥάδαμνος αὐτοῦ ἐξελεύσεται.
[LXX | EL | OT | Job | Chapter 8 | Verse 17] Ἐπὶ συναγωγὴν λίθων κοιμᾶται· ἐν δὲ μέσῳ χαλίκων ζήσεται.
[LXX | EL | OT | Job | Chapter 8 | Verse 18] Ἐὰν καταπίῃ, ὁ τόπος ψεύσεται αὐτόν· οὐχ ἑώρακας τοιαῦτα,
[LXX | EL | OT | Job | Chapter 8 | Verse 19] ὅτι καταστροφὴ ἀσεβοῦς τοιαύτη, ἐκ δὲ γῆς ἄλλον ἀναβλαστήσει.
[LXX | EL | OT | Job | Chapter 8 | Verse 20] Ὁ γὰρ Κύριος οὐ μὴ ἀποποιήσηται τὸν ἄκακον· πᾶν δὲ δῶρον ἀσεβοῦς οὐ δέξεται.
[LXX | EL | OT | Job | Chapter 8 | Verse 21] Ἀληθινῶν δὲ στόμα ἐμπλήσει γέλωτος, τὰ δὲ χείλη αὐτῶν ἐξομολογήσεως.
[LXX | EL | OT | Job | Chapter 8 | Verse 22] Οἱ δὲ ἐχθροὶ αὐτῶν ἐνδύσονται αἰσχύνην, δίαιτα δὲ ἀσεβοῦς οὐκ ἔσται.
