[LXX | EL | OT | Job | Chapter 39 | Verse 1] Εἰ ἔγνως καιρὸν τοκετοῦ τραγελάφων πέτρας, ἐφύλαξας δὲ ὠδῖνας ἐλάφων,
[LXX | EL | OT | Job | Chapter 39 | Verse 2] ἠρίθμησας δὲ μῆνας αὐτῶν πλήρεις τοκετοῦ αὐτῶν, ὠδῖνας δὲ αὐτῶν ἔλυσας,
[LXX | EL | OT | Job | Chapter 39 | Verse 3] ἐξέθρεψας δὲ αὐτῶν τὰ παιδία ἔξω φόβου, ὠδῖνας δὲ αὐτῶν ἐξαποστελεῖς,
[LXX | EL | OT | Job | Chapter 39 | Verse 4] ἀποῤῥήξουσι τὰ τέκνα αὐτῶν, πληθυνθήσονται ἐν γενγήματι· ἐξελεύσονται, καὶ οὐ μὴ ἀνακάμψουσιν αὐτοῖς.
[LXX | EL | OT | Job | Chapter 39 | Verse 5] Τίς δέ ἐστιν ὁ ἀφεὶς ὄνον ἄγριον ἐλεύθερον; δεσμοὺς δὲ αὐτοῦ τίς ἔλυσεν;
[LXX | EL | OT | Job | Chapter 39 | Verse 6] Ἐθέμην δὲ τὴν δίαιταν αὐτοῦ ἔρημον, καὶ τὰ σκηνώματα αὐτοῦ ἁλμυρίδα.
[LXX | EL | OT | Job | Chapter 39 | Verse 7] Καταγελῶν πολυοχλίας πόλεως, μέμψιν δὲ φορολόγου οὐκ ἀκούων,
[LXX | EL | OT | Job | Chapter 39 | Verse 8] κατασκέψεται ὄρη νομὴν αὐτοῦ, καὶ ὀπίσω παντὸς χλωροῦ ζητεῖ.
[LXX | EL | OT | Job | Chapter 39 | Verse 9] Βουλήσεται δέ σοι μονόκερως δουλεῦσαι, ἢ κοιμηθῆναι ἐπὶ φάτνης σου;
[LXX | EL | OT | Job | Chapter 39 | Verse 10] Δήσεις δὲ ἐν ἱμᾶσι ζυγὸν αὐτοῦ, ἢ ἑλκύσει σου αὔλακας ἐν πεδίῳ;
[LXX | EL | OT | Job | Chapter 39 | Verse 11] Πέποιθας δὲ ἐπʼ αὐτῷ, ὅτι πολλὴ ἡ ἰσχὺς αὐτοῦ, ἐπαφήσεις δὲ αὐτῷ τὰ ἔργα σου;
[LXX | EL | OT | Job | Chapter 39 | Verse 12] Πιστεύσεις δὲ, ὅτι ἀποδώσει σοι τὸν σπόρον, εἰσοίσει δέ σου τὸν ἅλωνα;
[LXX | EL | OT | Job | Chapter 39 | Verse 13] Πτέρυξ τερπομένων νεέλασσα, ἐὰν συλλάβῃ ἁσίδα καὶ νέσσα·
[LXX | EL | OT | Job | Chapter 39 | Verse 14] Ὅτι ἀφήσει εἰς γῆν τὰ ὠὰ αὐτῆς, καὶ ἐπὶ χοῦν θάλψει,
[LXX | EL | OT | Job | Chapter 39 | Verse 15] καὶ ἐπελάθετο, ὅτι ποῦς σκορπιεῖ, καὶ θηρία ἀγροῦ καταπατήσει.
[LXX | EL | OT | Job | Chapter 39 | Verse 16] Ἀπεσκλήρυνε τὰ τέκνα ἑαυτῆς, ὥστε μὴ ἑαυτήν· εἰς κενὸν ἐκοπίασεν ἄνευ φόβου.
[LXX | EL | OT | Job | Chapter 39 | Verse 17] Ὅτι κατεσιώπησεν αὐτῇ ὁ Θεὸς σοφίαν, καὶ οὐκ ἐπεμέρισεν αὐτῇ ἐν τῇ συνέσει.
[LXX | EL | OT | Job | Chapter 39 | Verse 18] Κατὰ καιρὸν ἐν ὕψει ὑψώσει, καταγελάσεται ἵππου, καὶ τοῦ ἐπιβάτου αὐτοῦ.
[LXX | EL | OT | Job | Chapter 39 | Verse 19] Ἢ σὺ περιέθηκας ἵππῳ δύναμιν, ἐνέδυσας δὲ τραχήλῳ αὐτοῦ φόβον;
[LXX | EL | OT | Job | Chapter 39 | Verse 20] Περιέθηκας δὲ αὐτῷ πανοπλίαν; δόξαν δὲ στηθέων αὐτοῦ τόλμῃ.
