[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 1] Now there cried a certain woman of the wives of the sons of the prophets to Elisha, saying, Thy servant my husband is dead; and thou knowest that thy servant feared the LORD: and the creditor hath come to take to him my two sons to be bond-men.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 2] And Elisha said to her, What shall I do for thee? tell me, what hast thou in the house? And she said, Thy handmaid hath not any thing in the house, save a pot of oil.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 3] Then he said, Go, borrow thee vessels abroad of all thy neighbors, even empty vessels; borrow not a few.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 4] And when thou hast come in, thou shalt shut the door upon thee and upon thy sons, and shalt pour out into all those vessels, and thou shalt set aside that which is full.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 5] So she went from him, and shut the door upon her and upon her sons, who brought the vessels to her; and she poured out.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 6] And it came to pass, when the vessels were full, that she said to her son, Bring me yet a vessel. And he said to her, There is not a vessel more. And the oil stayed.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 7] Then she came and told the man of God. And he said, Go, sell the oil, and pay thy debt, and live thou and thy children on the remainder.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 8] And it fell on a day, that Elisha passed to Shunem, where was a distinguished woman; and she constrained him to eat bread. And so it was, that as oft as he passed by, he turned in thither to eat bread.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 9] And she said to her husband, Behold now, I perceive that this is a holy man of God, who passeth by us continually.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 10] Let us make a little chamber, I pray thee, on the wall; and let us set for him there a bed, and a table, and a stool, and a candlestick: and it shall be, when he cometh to us, that he shall turn in thither.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 11] And it fell on a day, that he came thither, and he turned into the chamber, and lay there.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 12] And he said to Gehazi his servant, Call this Shunamite. And when he had called her, she stood before him.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 13] And he said to him, Say now to her, Behold, thou hast been careful for us with all this care; what is to be done for thee? wouldst thou be spoken for to the king, or to the captain of the host? And she answered, I dwell among my own people.
[WEBSTER | EN | OT | 2 Kings | Chapter 4 | Verse 14] And he said, What then is to be done for her? And Gehazi answered, Verily she hath no child, and her husband is old.
