[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 1] And Elisha the prophet called one of the children of the prophets, and said to him, Gird up thy loins, and take this box of oil in thy hand, and go to Ramoth-gilead:
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 2] And when thou comest thither, look out there Jehu the son of Jehoshaphat, the son of Nimshi, and go in, and make him arise up from among his brethren, and carry him to an inner chamber;
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 3] Then take the box of oil, and pour it on his head, and say, Thus saith the LORD, I have anointed thee king over Israel. Then open the door, and flee, and tarry not.
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 4] So the young man, even the young man the prophet, went to Ramoth-gilead.
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 5] And when he came, behold, the captains of the host were sitting; and he said, I have an errand to thee, O captain. And Jehu said, To which of us all? And he said, To thee, O captain.
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 6] And he arose, and went into the house; and he poured the oil on his head, and said to him, Thus saith the LORD God of Israel, I have anointed thee king over the people of the LORD, even over Israel.
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 7] And thou shalt smite the house of Ahab thy master, that I may avenge the blood of my servants the prophets, and the blood of all the servants of the LORD, at the hand of Jezebel.
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 8] For the whole house of Ahab shall perish: and I will cut off from Ahab the males, and him that is shut up and left in Israel:
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 9] And I will make the house of Ahab like the house of Jeroboam the son of Nebat, and like the house of Baasha the son of Ahijah:
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 10] And the dogs shall eat Jezebel in the portion of Jezreel, and there shall be none to bury her . And he opened the door, and fled.
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 11] Then Jehu came forth to the servants of his lord: and one said to him, Is all well? Why came this mad man to thee? And he said to them, Ye know the man, and his communication.
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 12] And they said, It is false; tell us now. And he said, Thus and thus he spoke to me, saying, Thus saith the LORD, I have anointed thee king over Israel.
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 13] Then they hasted, and took every man his garment, and put it under him on the top of the stairs, and blew with trumpets, saying, Jehu is king.
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 14] So Jehu the son of Jehoshaphat the son of Nimshi conspired against Joram. (Now Joram had kept Ramoth-gilead, he and all Israel, because of Hazael king of Syria.
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 15] But king Joram had returned to be healed in Jezreel of the wounds which the Syrians had given him, when he fought with Hazael king of Syria.) And Jehu said, If it is your minds, then let none go forth nor escape from the city to go to tell it in Jezreel.
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 16] So Jehu rode in a chariot, and went to Jezreel; for Joram lay there. And Ahaziah king of Judah had come down to see Joram.
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 17] And there stood a watchman on the tower in Jezreel, and he spied the company of Jehu as he came, and said, I see a company. And Joram said, Take a horseman, and send to meet them, and let him say, Is it peace?
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 18] So there went one on horseback to meet him, and said, Thus saith the king, Is it peace? And Jehu said, What hast thou to do with peace? turn thee behind me. And the watchman told, saying, The messenger came to them, but he doth not return.
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 19] Then he sent out a second on horseback, who came to them, and said, Thus saith the king, Is it peace? And Jehu answered, What hast thou to do with peace? turn thee behind me.
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 20] And the watchman told, saying, He came even to them, and doth not return? and the driving is like the driving of Jehu the son of Nimshi; for he driveth furiously.
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 21] And Joram said, Make ready. And his chariot was made ready. And Joram king of Israel and Ahaziah king of Judah went out, each in his chariot, and they went out against Jehu, and met him in the portion of Naboth the Jezreelite.
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 22] And it came to pass, when Joram saw Jehu, that he said, Is it peace, Jehu? And he answered, What peace, so long as the lewd acts of thy mother Jezebel and her witchcrafts are so many?
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 23] And Joram turned his hands, and fled, and said to Ahaziah, There is treachery, O Ahaziah.
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 24] And Jehu drew a bow with his full strength, and smote Jehoram between his arms, and the arrow went out at his heart, and he sunk down in his chariot.
[WEBSTER | EN | OT | 2 Kings | Chapter 9 | Verse 25] Then said Jehu to Bidkar his captain, Take up, and cast him into the portion of the field of Naboth the Jezreelite; for remember how that, when I and thou rode together after Ahab his father, the LORD laid this burden upon him;
