[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 1] 'Give ear, O heavens, and I speak; And thou dost hear, O earth, sayings of my mouth!
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 2] Drop as rain doth My doctrine; Flow as dew doth My sayings; As storms on the tender grass, And as showers on the herb,
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 3] For the Name of Jehovah I proclaim, Ascribe ye greatness to our God!
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 4] The Rock! — perfect [is] His work, For all His ways [are] just; God of stedfastness, and without iniquity: Righteous and upright [is] He.
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 5] It hath done corruptly to Him; Their blemish is not His sons', A generation perverse and crooked!
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 6] To Jehovah do ye act thus, O people foolish and not wise? Is not He thy father — thy possessor? He made thee, and doth establish thee.
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 7] Remember days of old — Understand the years of many generations — Ask thy father, and he doth tell thee; Thine elders, and they say to thee:
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 8] In the Most High causing nations to inherit, In His separating sons of Adam — He setteth up the borders of the peoples By the number of the sons of Israel.
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 9] For Jehovah's portion [is] His people, Jacob [is] the line of His inheritance.
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 10] He findeth him in a land — a desert, And in a void — a howling wilderness, He turneth him round — He causeth him to understand — He keepeth him as the apple of His eye.
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 11] As an eagle waketh up its nest, Over its young ones fluttereth, Spreadeth its wings — taketh them, Beareth them on its pinions; —
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 12] Jehovah alone doth lead him, And there is no strange god with him.
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 13] He maketh him ride on high places of earth, And he eateth increase of the fields, And He maketh him suck honey from a rock, And oil out of the flint of a rock;
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 14] Butter of the herd, and milk of the flock, With fat of lambs, and rams, sons of Bashan, And he-goats, with fat of kidneys of wheat; And of the blood of the grape thou dost drink wine!
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 15] And Jeshurun waxeth fat, and doth kick: Thou hast been fat — thou hast been thick, Thou hast been covered. And he leaveth God who made him, And dishonoureth the Rock of his salvation.
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 16] They make Him zealous with strangers, With abominations they make Him angry.
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 17] They sacrifice to demons — no god! Gods they have not known — New ones — from the vicinity they came; Not feared them have your fathers!
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 18] The Rock that begat thee thou forgettest, And neglectest God who formeth thee.
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 19] And Jehovah seeth and despiseth — For the provocation of His sons and His daughters.
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 20] And He saith: I hide My face from them, I see what [is] their latter end; For a froward generation [are] they, Sons in whom is no stedfastness.
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 21] They have made Me zealous by 'no-god,' They made Me angry by their vanities; And I make them zealous by 'no-people,' By a foolish nation I make them angry.
[YLT | EN | OT | Deuteronomy | Chapter 32 | Verse 22] For a fire hath been kindled in Mine anger, And it burneth unto Sheol — the lowest, And consumeth earth and its increase, And setteth on fire foundations of mountains.
