[BSB | EN | NT | Revelation | Chapter 17 | Verse 1] Then one of the seven angels with the seven bowls came and said to me, “Come, I will show you the punishment of the great prostitute, who sits on many waters.
[BSB | EN | NT | Revelation | Chapter 17 | Verse 2] The kings of the earth were immoral with her, and those who dwell on the earth were intoxicated with the wine of her immorality.”
[BSB | EN | NT | Revelation | Chapter 17 | Verse 3] And the angel carried me away in the Spirit into a wilderness, where I saw a woman sitting on a scarlet beast that was covered with blasphemous names and had seven heads and ten horns.
[BSB | EN | NT | Revelation | Chapter 17 | Verse 4] The woman was dressed in purple and scarlet, and adorned with gold and precious stones and pearls. She held in her hand a golden cup full of abominations and the impurities of her sexual immorality.
[BSB | EN | NT | Revelation | Chapter 17 | Verse 5] And on her forehead a mysterious name was written: BABYLON THE GREAT, THE MOTHER OF PROSTITUTES AND OF THE ABOMINATIONS OF THE EARTH.
[BSB | EN | NT | Revelation | Chapter 17 | Verse 6] I could see that the woman was drunk with the blood of the saints and witnesses for Jesus. And I was utterly amazed at the sight of her.
[BSB | EN | NT | Revelation | Chapter 17 | Verse 7] “Why are you so amazed?” said the angel. “I will tell you the mystery of the woman and of the beast that carries her, which has the seven heads and ten horns.
[BSB | EN | NT | Revelation | Chapter 17 | Verse 8] The beast that you saw—it was, and now is no more, but is about to come up out of the Abyss and go to its destruction. And those who dwell on the earth whose names were not written in the Book of Life from the foundation of the world will marvel when they see the beast that was, and is not, and yet will be.
[BSB | EN | NT | Revelation | Chapter 17 | Verse 9] This calls for a mind with wisdom. The seven heads are seven mountains on which the woman sits.
[BSB | EN | NT | Revelation | Chapter 17 | Verse 10] There are also seven kings. Five have fallen, one is, and the other has not yet come; but when he does come, he must remain for only a little while.
[BSB | EN | NT | Revelation | Chapter 17 | Verse 11] The beast that was, and now is not, is an eighth king, who belongs to the other seven and is going into destruction.
[BSB | EN | NT | Revelation | Chapter 17 | Verse 12] The ten horns you saw are ten kings who have not yet received a kingdom, but will receive one hour of authority as kings, along with the beast.
[BSB | EN | NT | Revelation | Chapter 17 | Verse 13] These kings have one purpose: to yield their power and authority to the beast.
[BSB | EN | NT | Revelation | Chapter 17 | Verse 14] They will make war against the Lamb, and the Lamb will triumph over them, because He is Lord of lords and King of kings; and He will be accompanied by His called and chosen and faithful ones.”
[BSB | EN | NT | Revelation | Chapter 17 | Verse 15] Then the angel said to me, “The waters you saw, where the prostitute was seated, are peoples and multitudes and nations and tongues.
[BSB | EN | NT | Revelation | Chapter 17 | Verse 16] And the ten horns and the beast that you saw will hate the prostitute. They will leave her desolate and naked, and will eat her flesh and burn her with fire.
[BSB | EN | NT | Revelation | Chapter 17 | Verse 17] For God has put it into their hearts to carry out His purpose by uniting to give their kingdom to the beast, until the words of God are fulfilled.
[BSB | EN | NT | Revelation | Chapter 17 | Verse 18] And the woman you saw is the great city that rules over the kings of the earth.”
