[BSB | EN | NT | Revelation | Chapter 16 | Verse 1] Then I heard a loud voice from the temple saying to the seven angels, “Go, pour out on the earth the seven bowls of God’s wrath.”
[BSB | EN | NT | Revelation | Chapter 16 | Verse 2] So the first angel went and poured out his bowl on the earth, and loathsome, malignant sores broke out on those who had the mark of the beast and worshiped its image.
[BSB | EN | NT | Revelation | Chapter 16 | Verse 3] And the second angel poured out his bowl into the sea, and it turned to blood like that of the dead, and every living thing in the sea died.
[BSB | EN | NT | Revelation | Chapter 16 | Verse 4] And the third angel poured out his bowl into the rivers and springs of water, and they turned to blood.
[BSB | EN | NT | Revelation | Chapter 16 | Verse 5] And I heard the angel of the waters say: “Righteous are You, O Holy One, who is and was, because You have brought these judgments.
[BSB | EN | NT | Revelation | Chapter 16 | Verse 6] For they have spilled the blood of saints and prophets, and You have given them blood to drink, as they deserve.”
[BSB | EN | NT | Revelation | Chapter 16 | Verse 7] And I heard the altar reply: “Yes, Lord God Almighty, true and just are Your judgments.”
[BSB | EN | NT | Revelation | Chapter 16 | Verse 8] Then the fourth angel poured out his bowl on the sun, and it was given power to scorch the people with fire.
[BSB | EN | NT | Revelation | Chapter 16 | Verse 9] And the people were scorched by intense heat, and they cursed the name of God, who had authority over these plagues; yet they did not repent and give Him glory.
[BSB | EN | NT | Revelation | Chapter 16 | Verse 10] And the fifth angel poured out his bowl on the throne of the beast, and its kingdom was plunged into darkness, and men began to gnaw their tongues in anguish
[BSB | EN | NT | Revelation | Chapter 16 | Verse 11] and curse the God of heaven for their pains and sores; yet they did not repent of their deeds.
[BSB | EN | NT | Revelation | Chapter 16 | Verse 12] And the sixth angel poured out his bowl on the great river Euphrates, and its water was dried up to prepare the way for the kings of the East.
[BSB | EN | NT | Revelation | Chapter 16 | Verse 13] And I saw three unclean spirits that looked like frogs coming out of the mouths of the dragon, the beast, and the false prophet.
[BSB | EN | NT | Revelation | Chapter 16 | Verse 14] These are demonic spirits that perform signs and go out to all the kings of the earth, to assemble them for battle on the great day of God the Almighty.
[BSB | EN | NT | Revelation | Chapter 16 | Verse 15] “Behold, I am coming like a thief. Blessed is the one who remains awake and clothed, so that he will not go naked and let his shame be exposed.”
[BSB | EN | NT | Revelation | Chapter 16 | Verse 16] And they assembled the kings in the place that in Hebrew is called Armageddon.
[BSB | EN | NT | Revelation | Chapter 16 | Verse 17] Then the seventh angel poured out his bowl into the air, and a loud voice came from the throne in the temple, saying, “It is done!”
[BSB | EN | NT | Revelation | Chapter 16 | Verse 18] And there were flashes of lightning, and rumblings, and peals of thunder, and a great earthquake the likes of which had not occurred since men were upon the earth—so mighty was the great quake.
[BSB | EN | NT | Revelation | Chapter 16 | Verse 19] The great city was split into three parts, and the cities of the nations collapsed. And God remembered Babylon the great and gave her the cup of the wine of the fury of His wrath.
[BSB | EN | NT | Revelation | Chapter 16 | Verse 20] Then every island fled, and no mountain could be found.
[BSB | EN | NT | Revelation | Chapter 16 | Verse 21] And great hailstones weighing almost a hundred pounds each rained down on them from above. And men cursed God for the plague of hail, because it was so horrendous.
