[WEBSTER | EN | OT | Lamentations | Chapter 5 | Verse 1] Remember, O LORD, what is come upon us: consider, and behold our reproach.
[WEBSTER | EN | OT | Lamentations | Chapter 5 | Verse 2] Our inheritance is turned to strangers, our houses to aliens.
[WEBSTER | EN | OT | Lamentations | Chapter 5 | Verse 3] We are orphans and fatherless, our mothers are as widows.
[WEBSTER | EN | OT | Lamentations | Chapter 5 | Verse 4] We have drank our water for money; our wood is sold to us.
[WEBSTER | EN | OT | Lamentations | Chapter 5 | Verse 5] Our necks are under persecution: we labor, and have no rest.
[WEBSTER | EN | OT | Lamentations | Chapter 5 | Verse 6] We have given the hand to the Egyptians, and to the Assyrians, to be satisfied with bread.
[WEBSTER | EN | OT | Lamentations | Chapter 5 | Verse 7] Our fathers have sinned, and are not; and we have borne their iniquities.
[WEBSTER | EN | OT | Lamentations | Chapter 5 | Verse 8] Servants have ruled over us: there is none that doth deliver us out of their hand.
[WEBSTER | EN | OT | Lamentations | Chapter 5 | Verse 9] We procured our bread with the peril of our lives, because of the sword of the wilderness.
[WEBSTER | EN | OT | Lamentations | Chapter 5 | Verse 10] Our skin was black like an oven because of the terrible famine.
[WEBSTER | EN | OT | Lamentations | Chapter 5 | Verse 11] They ravished the women in Zion, and the maids in the cities of Judah.
[WEBSTER | EN | OT | Lamentations | Chapter 5 | Verse 12] Princes were hanged by their hand: the faces of elders were not honored.
[WEBSTER | EN | OT | Lamentations | Chapter 5 | Verse 13] They took the young men to grind, and the children fell under the wood.
[WEBSTER | EN | OT | Lamentations | Chapter 5 | Verse 14] The elders have ceased from the gate, the young men from their music.
[WEBSTER | EN | OT | Lamentations | Chapter 5 | Verse 15] The joy of our heart hath ceased; our dance is turned into mourning.
[WEBSTER | EN | OT | Lamentations | Chapter 5 | Verse 16] The crown is fallen from our head: woe to us, that we have sinned!
[WEBSTER | EN | OT | Lamentations | Chapter 5 | Verse 17] For this our heart is faint; for these things our eyes are dim.
[WEBSTER | EN | OT | Lamentations | Chapter 5 | Verse 18] Because of the mountain of Zion, which is desolate, the foxes walk upon it.
[WEBSTER | EN | OT | Lamentations | Chapter 5 | Verse 19] Thou, O LORD, remainest for ever; thy throne from generation to generation.
[WEBSTER | EN | OT | Lamentations | Chapter 5 | Verse 20] Why dost thou forget us for ever, and forsake us so long time?
[WEBSTER | EN | OT | Lamentations | Chapter 5 | Verse 21] Turn thou us to thee, O LORD, and we shall be turned; renew our days as of old.
[WEBSTER | EN | OT | Lamentations | Chapter 5 | Verse 22] But thou hast utterly rejected us; thou art very wroth against us.
