[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 1] I am the man that hath seen affliction by the rod of his wrath.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 2] He hath led me, and brought me into darkness, but not into light.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 3] Surely against me is he turned; he turneth his hand against me all the day.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 4] My flesh and my skin hath he made old; he hath broken my bones.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 5] He hath built against me, and compassed me with gall and labor.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 6] He hath set me in dark places, as they that are dead of old.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 7] He hath hedged me about, that I cannot get out: he hath made my chain heavy.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 8] Also when I cry and shout, he shutteth out my prayer.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 9] He hath inclosed my ways with hewn stone, he hath made my paths crooked.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 10] He was to me as a bear lying in wait, and as a lion in secret places.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 11] He hath turned aside my ways, and pulled me in pieces: he hath made me desolate.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 12] He hath bent his bow, and set me as a mark for the arrow.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 13] He hath caused the arrows of his quiver to enter into my reins.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 14] I was a derision to all my people; and their song all the day.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 15] He hath filled me with bitterness, he hath made me drunken with wormwood.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 16] He hath also broken my teeth with gravel stones, he hath covered me with ashes.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 17] And thou hast removed my soul far off from peace: I forgat prosperity.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 18] And I said, My strength and my hope hath perished from the LORD:
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 19] Remembering my affliction and my misery, the wormwood and the gall.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 20] My soul hath them still in remembrance, and is humbled in me.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 21] This I recall to my mind, therefore have I hope.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 22] It is of the LORD'S mercies that we are not consumed, because his compassions fail not.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 23] They are new every morning: great is thy faithfulness.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 24] The LORD is my portion, saith my soul; therefore will I hope in him.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 25] The LORD is good to them that wait for him, to the soul that seeketh him.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 26] It is good that a man should both hope and quietly wait for the salvation of the LORD.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 27] It is good for a man that he should bear the yoke in his youth.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 28] He sitteth alone, and keepeth silence, because he hath borne it upon him.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 29] He putteth his mouth in the dust; if there may be hope.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 30] He giveth his cheek to him that smiteth him: he is filled full with reproach.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 31] For the LORD will not cast off for ever:
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 32] But though he causeth grief, yet will he have compassion according to the multitude of his mercies.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 33] For he doth not afflict willingly nor grieve the children of men.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 34] To crush under his feet all the prisoners of the earth,
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 35] To turn aside the right of a man before the face of the most High,
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 36] To subvert a man in his cause, the LORD approveth not.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 37] Who is he that saith, and it cometh to pass, when the LORD commandeth it not?
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 38] Out of the mouth of the most High proceedeth not evil and good?
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 39] Why doth a living man complain, a man for the punishment of his sins?
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 40] Let us search and try our ways, and turn again to the LORD.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 41] Let us lift up our heart with our hands to God in the heavens.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 42] We have transgressed and have rebelled: thou hast not pardoned.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 43] Thou hast covered with anger, and persecuted us: thou hast slain, thou hast not pitied.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 44] Thou hast covered thyself with a cloud, that our prayer should not pass through.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 45] Thou hast made us as the offscouring and refuse in the midst of the people.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 46] All our enemies have opened their mouths against us.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 47] Fear and a snare is come upon us, desolation and destruction.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 48] My eye runneth down with rivers of water for the destruction of the daughter of my people.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 49] My eye trickleth down, and ceaseth not, without any intermission,
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 50] Till the LORD shall look down, and behold from heaven.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 51] My eye affecteth my heart because of all the daughters of my city.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 52] My enemies chased me fiercely, like a bird without cause.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 53] They have cut off my life in the dungeon, and cast a stone upon me.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 54] Waters flowed over my head; then I said, I am cut off.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 55] I called upon thy name, O LORD, out of the low dungeon.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 56] Thou hast heard my voice: hide not thy ear at my breathing, at my cry.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 57] Thou drewest near in the day that I called upon thee: thou saidst, Fear not.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 58] O LORD, thou hast pleaded the causes of my soul; thou hast redeemed my life.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 59] O LORD, thou hast seen my wrong: judge thou my cause.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 60] Thou hast seen all their vengeance and all their imaginations against me.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 61] Thou hast heard their reproach, O LORD, and all their imaginations against me;
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 62] The lips of those that rose up against me, and their device against me all the day.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 63] Behold their sitting down, and their rising up; I am their music.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 64] Render to them a recompense, O LORD, according to the work of their hands.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 65] Give them sorrow of heart, thy curse to them.
[WEBSTER | EN | OT | Lamentations | Chapter 3 | Verse 66] Persecute and destroy them in anger from under the heavens of the LORD.
