[VANDYKE | AR | OT | Joshua | Chapter 15 | Verse 1] وَكَانَتِ ٱلْقُرْعَةُ لِسِبْطِ بَنِي يَهُوذَا حَسَبَ عَشَائِرِهِمْ: إِلَى تُخْمِ أَدُومَ بَرِّيَّةَ صِينَ نَحْوَ ٱلْجَنُوبِ، أَقْصَى ٱلتَّيْمَنِ.
[VANDYKE | AR | OT | Joshua | Chapter 15 | Verse 2] وَكَانَ تُخْمُهُمُ ٱلْجَنُوبِيُّ أَقْصَى بَحْرِ ٱلْمِلْحِ مِنَ ٱللِّسَانِ ٱلْمُتَوَجِّهِ نَحْوَ ٱلْجَنُوبِ.
[VANDYKE | AR | OT | Joshua | Chapter 15 | Verse 3] وَخَرَجَ إِلَى جَنُوبِ عَقَبَةِ عَقْرِبِّيمَ وَعَبَرَ إِلَى صِينَ، وَصَعِدَ مِنْ جَنُوبِ قَادَشِ بَرْنِيعَ وَعَبَرَ إِلَى حَصْرُونَ، وَصَعِدَ إِلَى أَدَّارَ إِلَى ٱلْقَرْقَعِ،
[VANDYKE | AR | OT | Joshua | Chapter 15 | Verse 4] وَعَبَرَ إِلَى عَصْمُونَ وَخَرَجَ إِلَى وَادِي مِصْرَ. وَكَانَتْ مَخَارِجُ ٱلتُّخْمِ عِنْدَ ٱلْبَحْرِ. هَذَا يَكُونُ تُخْمُكُمُ ٱلْجَنُوبِيُّ.
[VANDYKE | AR | OT | Joshua | Chapter 15 | Verse 5] وَتُخْمُ ٱلشَّرْقِ بَحْرُ ٱلْمِلْحِ إِلَى طَرَفِ ٱلْأُرْدُنِّ. وَتُخْمُ جَانِبِ ٱلشِّمَالِ مِنْ لِسَانِ ٱلْبَحْرِ أَقْصَى ٱلْأُرْدُنِّ.
[VANDYKE | AR | OT | Joshua | Chapter 15 | Verse 6] وَصَعِدَ ٱلتُّخْمُ إِلَى بَيْتِ حُجْلَةَ وَعَبَرَ مِنْ شِمَالِ بَيْتِ ٱلْعَرَبَةِ، وَصَعِدَ ٱلتُّخْمُ إِلَى حَجَرِ بُوهَنَ بْنِ رَأُوبَيْنَ،
[VANDYKE | AR | OT | Joshua | Chapter 15 | Verse 7] وَصَعِدَ ٱلتُّخْمُ إِلَى دَبِيرَ مِنْ وَادِي عَخُورَ وَتَوَجَّهَ نَحْوَ ٱلشِّمَالِ إِلَى ٱلْجِلْجَالِ ٱلَّتِي مُقَابِلَ عَقَبَةِ أَدُمِّيمَ ٱلَّتِي مِنْ جَنُوبِيِّ ٱلْوَادِي. وَعَبَرَ ٱلتُّخْمُ إِلَى مِيَاهِ عَيْنِ شَمْسٍ، وَكَانَتْ مَخَارِجُهُ إِلَى عَيْنِ رُوجَلَ.
[VANDYKE | AR | OT | Joshua | Chapter 15 | Verse 8] وَصَعِدَ ٱلتُّخْمُ فِي وَادِي ٱبْنِ هِنُّومَ إِلَى جَانِبِ ٱلْيَبُوسِيِّ مِنَ ٱلْجَنُوبِ، هِيَ أُورُشَلِيمُ. وَصَعِدَ ٱلتُّخْمُ إِلَى رَأْسِ ٱلْجَبَلِ ٱلَّذِي قُبَالَةَ وَادِي هِنُّومَ غَرْبًا، ٱلَّذِي هُوَ فِي طَرَفِ وَادِي ٱلرَّفَائِيِّينَ شِمَالًا.
[VANDYKE | AR | OT | Joshua | Chapter 15 | Verse 9] وَٱمْتَدَّ ٱلتُّخْمُ مِنْ رَأْسِ ٱلْجَبَلِ إِلَى مَنْبَعِ مِيَاهِ نَفْتُوحَ، وَخَرَجَ إِلَى مُدُنِ جَبَلِ عِفْرُونَ وَٱمْتَدَّ ٱلتُّخْمُ إِلَى بَعَلَةَ، هِيَ قَرْيَةُ يَعَارِيمَ.
[VANDYKE | AR | OT | Joshua | Chapter 15 | Verse 10] وَٱمْتَدَّ ٱلتُّخْمُ مِنْ بَعَلَةَ غَرْبًا إِلَى جَبَلِ سَعِيرَ، وَعَبَرَ إِلَى جَانِبِ جَبَلِ يَعَارِيمَ مِنَ ٱلشِّمَالِ، هِيَ كَسَالُونُ. وَنَزَلَ إِلَى بَيْتِ شَمْسٍ وَعَبَرَ إِلَى تِمْنَةَ.
[VANDYKE | AR | OT | Joshua | Chapter 15 | Verse 11] وَخَرَجَ ٱلتُّخْمُ إِلَى جَانِبِ عَقْرُونَ نَحْوَ ٱلشِّمَالِ وَٱمْتَدَّ ٱلتُّخْمُ إِلَى شَكْرُونَ وَعَبَرَ جَبَلَ ٱلْبَعَلَةِ وَخَرَجَ إِلَى يَبْنِئِيلَ. وَكَانَ مَخَارِجُ ٱلتُّخُمِ عِنْدَ ٱلْبَحْرِ.
