[IRV | PA | OT | Haggai | Chapter 1 | Verse 1] ਦਾਰਾ ਰਾਜੇ ਦੇ ਸ਼ਾਸਨ ਦੇ ਦੂਜੇ ਸਾਲ ਦੇ ਛੇਵੇਂ ਮਹੀਨੇ ਦੀ ਪਹਿਲੀ ਤਾਰੀਖ਼ ਨੂੰ, ਯਹੂਦਾਹ ਦੇ ਹਾਕਮ ਸ਼ਅਲਤੀਏਲ ਦੇ ਪੁੱਤਰ ਜ਼ਰੂੱਬਾਬਲ ਕੋਲ ਅਤੇ ਯਹੋਸਾਦਾਕ ਦੇ ਪੁੱਤਰ ਯਹੋਸ਼ੁਆ ਮਹਾਂ ਜਾਜਕ ਕੋਲ ਯਹੋਵਾਹ ਦੀ ਬਾਣੀ ਹੱਜਈ ਨਬੀ ਦੇ ਰਾਹੀਂ ਆਈ,
[IRV | PA | OT | Haggai | Chapter 1 | Verse 2] ਸੈਨਾਂ ਦਾ ਯਹੋਵਾਹ ਇਸ ਤਰ੍ਹਾਂ ਆਖਦਾ ਹੈ - ਇਹ ਲੋਕ ਕਹਿੰਦੇ ਹਨ ਕਿ ਅਜੇ ਯਹੋਵਾਹ ਦੇ ਭਵਨ ਨੂੰ ਬਣਾਉਣ ਦਾ ਸਮਾਂ ਨਹੀਂ ਆਇਆ।
[IRV | PA | OT | Haggai | Chapter 1 | Verse 3] ਤਦ ਯਹੋਵਾਹ ਦੀ ਗੱਲ ਹੱਜਈ ਨਬੀ ਦੇ ਰਾਹੀਂ ਲੋਕਾਂ ਨੂੰ ਸੁਣਾਈ ਗਈ ਕਿ
[IRV | PA | OT | Haggai | Chapter 1 | Verse 4] ਕੀ, ਇਹ ਕੋਈ ਸਮਾਂ ਹੈ ਕਿ ਤੁਸੀਂ ਆਪ ਆਪਣੇ ਬਣਾਏ ਹੋਏ ਘਰਾਂ ਵਿੱਚ ਰਹੋ, ਜਦ ਕਿ ਇਹ ਮੇਰਾ ਭਵਨ ਬਰਬਾਦ ਪਿਆ ਹੈ?
[IRV | PA | OT | Haggai | Chapter 1 | Verse 5] ਹੁਣ ਸੈਨਾਂ ਦਾ ਯਹੋਵਾਹ ਇਸ ਤਰ੍ਹਾਂ ਆਖਦਾ ਹੈ ਕਿ ਤੁਸੀਂ ਆਪਣੇ ਚਾਲ-ਚੱਲਣ ਉੱਤੇ ਧਿਆਨ ਦਿਓ।
[IRV | PA | OT | Haggai | Chapter 1 | Verse 6] ਤੁਸੀਂ ਬਹੁਤ ਬੀਜਿਆ ਪਰ ਥੋੜ੍ਹਾ ਵੱਢਿਆ, ਤੁਸੀਂ ਖਾਂਦੇ ਹੋ ਪਰ ਰੱਜਦੇ ਨਹੀਂ, ਤੁਸੀਂ ਪੀਂਦੇ ਹੋ ਪਰ ਤੁਹਾਡੀ ਪਿਆਸ ਨਹੀਂ ਬੁੱਝਦੀ, ਤੁਸੀਂ ਕੱਪੜੇ ਪਾਉਂਦੇ ਹੋ ਪਰ ਗਰਮ ਨਹੀਂ ਹੁੰਦੇ ਅਤੇ ਮਜ਼ਦੂਰ ਆਪਣੀ ਕਮਾਈ ਛੇਕ ਵਾਲੀ ਥੈਲੀ ਵਿੱਚ ਰੱਖਦਾ ਹੈ।
[IRV | PA | OT | Haggai | Chapter 1 | Verse 7] ਸੈਨਾਂ ਦਾ ਯਹੋਵਾਹ ਇਸ ਤਰ੍ਹਾਂ ਆਖਦਾ ਹੈ ਕਿ ਤੁਸੀਂ ਆਪਣੇ ਚਾਲ-ਚੱਲਣ ਤੇ ਧਿਆਨ ਦਿਓ।
[IRV | PA | OT | Haggai | Chapter 1 | Verse 8] ਪਰਬਤ ਉੱਤੇ ਚੜ੍ਹੋ, ਲੱਕੜੀ ਲਿਆਓ, ਇਸ ਭਵਨ ਨੂੰ ਮੁੜ ਤੋਂ ਬਣਾਓ ਕਿ ਮੈਂ ਉਸ ਤੋਂ ਪਰਸੰਨ ਹੋਵਾਂ ਅਤੇ ਮੇਰੀ ਵਡਿਆਈ ਹੋਵੇ, ਯਹੋਵਾਹ ਦਾ ਵਾਕ ਹੈ।
[IRV | PA | OT | Haggai | Chapter 1 | Verse 9] ਤੁਸੀਂ ਬਹੁਤੇ ਦੀ ਆਸ ਰੱਖੀ ਪਰ ਵੇਖੋ, ਤੁਹਾਨੂੰ ਥੋੜ੍ਹਾ ਮਿਲਿਆ ਅਤੇ ਜਦੋਂ ਤੁਸੀਂ ਉਸ ਨੂੰ ਆਪਣੇ ਘਰ ਲਿਆਏ, ਤਾਂ ਮੈਂ ਉਸ ਨੂੰ ਵੀ ਉਡਾ ਦਿੱਤਾ। ਕਿਉਂ? ਸੈਨਾਂ ਦੇ ਯਹੋਵਾਹ ਦਾ ਵਾਕ ਹੈ, ਇਸ ਲਈ ਜੋ ਮੇਰਾ ਭਵਨ ਬਰਬਾਦ ਪਿਆ ਹੈ ਅਤੇ ਤੁਸੀਂ ਆਪੋ ਆਪਣੇ ਘਰਾਂ ਨੂੰ ਭੱਜ ਜਾਂਦੇ ਹੋ।
[IRV | PA | OT | Haggai | Chapter 1 | Verse 10] ਇਸ ਕਾਰਨ ਹੀ ਅਕਾਸ਼ ਨੇ ਤੁਹਾਡੇ ਲਈ ਤ੍ਰੇਲ ਰੋਕੀ ਅਤੇ ਧਰਤੀ ਨੇ ਆਪਣੀ ਉਪਜਾਊ ਸ਼ਕਤੀ ਨੂੰ ਰੋਕਿਆ ਹੈ
[IRV | PA | OT | Haggai | Chapter 1 | Verse 11] ਅਤੇ ਮੈਂ ਧਰਤੀ, ਪਹਾੜਾਂ, ਅੰਨ, ਨਵੀਂ ਮੈਅ, ਤੇਲ ਅਤੇ ਜ਼ਮੀਨ ਦੀ ਸਾਰੀ ਪੈਦਾਵਾਰ ਉੱਤੇ ਅਤੇ ਆਦਮੀਆਂ, ਪਸ਼ੂਆਂ ਅਤੇ ਹੱਥਾਂ ਦੇ ਸਾਰੇ ਕੰਮ ਉੱਤੇ ਵੀ ਕਾਲ ਨੂੰ ਪਾ ਦਿੱਤਾ ਹੈ।
