[BBE | EN | NT | Galatians | Chapter 6 | Verse 1] Brothers, if a man is taken in any wrongdoing, you who are of the Spirit will put such a one right in a spirit of love; keeping watch on yourself, for fear that you yourself may be tested.
[BBE | EN | NT | Galatians | Chapter 6 | Verse 2] Take on yourselves one another's troubles, and so keep the law of Christ.
[BBE | EN | NT | Galatians | Chapter 6 | Verse 3] For if a man has an idea that he is something when he is nothing, he is tricked by himself.
[BBE | EN | NT | Galatians | Chapter 6 | Verse 4] But let every man make test of his work, and then will his cause for glory be in himself only, and not in his neighbour.
[BBE | EN | NT | Galatians | Chapter 6 | Verse 5] Because every man is responsible for his part of the work.
[BBE | EN | NT | Galatians | Chapter 6 | Verse 6] But let him who gets teaching in the word give a part in all good things to his teacher.
[BBE | EN | NT | Galatians | Chapter 6 | Verse 7] Be not tricked; God is not made sport of: for whatever seed a man puts in, that will he get back as grain.
[BBE | EN | NT | Galatians | Chapter 6 | Verse 8] Because he who puts in the seed of the flesh will of the flesh get the reward of death; but he who puts in the seed of the Spirit will of the Spirit get the reward of eternal life.
[BBE | EN | NT | Galatians | Chapter 6 | Verse 9] And let us not get tired of well-doing; for at the right time we will get in the grain, if we do not give way to weariness.
[BBE | EN | NT | Galatians | Chapter 6 | Verse 10] So then, as we have the chance, let us do good to all men, and specially to those who are of the family of the faith.
[BBE | EN | NT | Galatians | Chapter 6 | Verse 11] See the size of the handwriting which I myself have made use of in writing to you.
[BBE | EN | NT | Galatians | Chapter 6 | Verse 12] Those who have the desire to seem important in the flesh, put force on you to undergo circumcision; only that they may not be attacked because of the cross of Christ.
[BBE | EN | NT | Galatians | Chapter 6 | Verse 13] Because even those who undergo circumcision do not themselves keep the law; but they would have you undergo circumcision, so that they may have glory in your flesh.
[BBE | EN | NT | Galatians | Chapter 6 | Verse 14] But far be it from me to have glory in anything, but only in the cross of our Lord Jesus Christ, through which this world has come to an end on the cross for me, and I for it.
[BBE | EN | NT | Galatians | Chapter 6 | Verse 15] For having circumcision is nothing, and not having circumcision is nothing, but only a new order of existence.
[BBE | EN | NT | Galatians | Chapter 6 | Verse 16] And on all who are guided by this rule be peace and mercy, and on the Israel of God.
[BBE | EN | NT | Galatians | Chapter 6 | Verse 17] From this time on let no man be a trouble to me; because my body is marked with the marks of Jesus.
[BBE | EN | NT | Galatians | Chapter 6 | Verse 18] The grace of our Lord Jesus Christ be with your spirit, brothers. So be it.
