[IRV | HI | OT | Exodus | Chapter 24 | Verse 1] फिर यहोवा ने मूसा से कहा, “तू, हारून, नादाब, अबीहू, और इस्राएलियों के सत्तर पुरनियों समेत यहोवा के पास ऊपर आकर दूर से दण्डवत् करना।
[IRV | HI | OT | Exodus | Chapter 24 | Verse 2] और केवल मूसा यहोवा के समीप आए; परन्तु वे समीप न आएँ, और दूसरे लोग उसके संग ऊपर न आएँ।”
[IRV | HI | OT | Exodus | Chapter 24 | Verse 3] तब मूसा ने लोगों के पास जाकर यहोवा की सब बातें और सब नियम सुना दिए; तब सब लोग एक स्वर से बोल उठे, “जितनी बातें यहोवा ने कही हैं उन सब बातों को हम मानेंगे।”
[IRV | HI | OT | Exodus | Chapter 24 | Verse 4] तब मूसा ने यहोवा के सब वचन लिख दिए। और सवेरे उठकर पर्वत के नीचे एक वेदी और इस्राएल के बारहों गोत्रों के अनुसार बारह खम्भे भी बनवाए।
[IRV | HI | OT | Exodus | Chapter 24 | Verse 5] तब उसने कई इस्राएली जवानों को भेजा, जिन्होंने यहोवा के लिये होमबलि और बैलों के मेलबलि चढ़ाए।
[IRV | HI | OT | Exodus | Chapter 24 | Verse 6] और मूसा ने आधा लहू लेकर कटोरों में रखा, और आधा वेदी पर छिड़क दिया।
[IRV | HI | OT | Exodus | Chapter 24 | Verse 7] तब वाचा की पुस्तक को लेकर लोगों को पढ़ सुनाया; उसे सुनकर उन्होंने कहा, “जो कुछ यहोवा ने कहा है उस सब को हम करेंगे, और उसकी आज्ञा मानेंगे।”
[IRV | HI | OT | Exodus | Chapter 24 | Verse 8] तब मूसा ने लहू को लेकर लोगों पर छिड़क दिया, और उनसे कहा, “देखो, यह उस वाचा का लहू है जिसे यहोवा ने इन सब वचनों पर तुम्हारे साथ बाँधी है।”
[IRV | HI | OT | Exodus | Chapter 24 | Verse 9] तब मूसा, हारून, नादाब, अबीहू और इस्राएलियों के सत्तर पुरनिए ऊपर गए,
[IRV | HI | OT | Exodus | Chapter 24 | Verse 10] और इस्राएल के परमेश्वर का दर्शन किया; और उसके चरणों के तले नीलमणि का चबूतरा सा कुछ था, जो आकाश के तुल्य ही स्वच्छ था।
[IRV | HI | OT | Exodus | Chapter 24 | Verse 11] और उसने इस्राएलियों के प्रधानों पर हाथ न बढ़ाया; तब उन्होंने परमेश्वर का दर्शन किया, और खाया पिया।
[IRV | HI | OT | Exodus | Chapter 24 | Verse 12] तब यहोवा ने मूसा से कहा, “पहाड़ पर मेरे पास चढ़, और वहाँ रह; और मैं तुझे पत्थर की पटियाएँ, और अपनी लिखी हुई व्यवस्था और आज्ञा दूँगा कि तू उनको सिखाए।”
[IRV | HI | OT | Exodus | Chapter 24 | Verse 13] तब मूसा यहोशू नामक अपने टहलुए समेत परमेश्वर के पर्वत पर चढ़ गया।
[IRV | HI | OT | Exodus | Chapter 24 | Verse 14] और पुरनियों से वह यह कह गया, “जब तक हम तुम्हारे पास फिर न आएँ तब तक तुम यहीं हमारी बाट जोहते रहो; और सुनो, हारून और हूर तुम्हारे संग हैं; तो यदि किसी का मुकद्दमा हो तो उन्हीं के पास जाए।”
[IRV | HI | OT | Exodus | Chapter 24 | Verse 15] तब मूसा पर्वत पर चढ़ गया, और बादल ने पर्वत को छा लिया।
[IRV | HI | OT | Exodus | Chapter 24 | Verse 16] तब यहोवा के तेज ने सीनै पर्वत पर निवास किया, और वह बादल उस पर छः दिन तक छाया रहा; और सातवें दिन उसने मूसा को बादल के बीच में से पुकारा।
[IRV | HI | OT | Exodus | Chapter 24 | Verse 17] और इस्राएलियों की दृष्टि में यहोवा का तेज पर्वत की चोटी पर प्रचण्ड आग सा देख पड़ता था।
[IRV | HI | OT | Exodus | Chapter 24 | Verse 18] तब मूसा बादल के बीच में प्रवेश करके पर्वत पर चढ़ गया। और मूसा पर्वत पर चालीस दिन और चालीस रात रहा।
