[IRV | HI | OT | Exodus | Chapter 6 | Verse 1] तब यहोवा ने मूसा से कहा, “अब तू देखेगा कि मैं फ़िरौन से क्या करूँगा; जिससे वह उनको बरबस निकालेगा, वह तो उन्हें अपने देश से बरबस निकाल देगा।”
[IRV | HI | OT | Exodus | Chapter 6 | Verse 2] परमेश्वर ने मूसा से कहा, “मैं यहोवा हूँ;
[IRV | HI | OT | Exodus | Chapter 6 | Verse 3] मैं सर्वशक्तिमान परमेश्वर के नाम से अब्राहम, इसहाक, और याकूब को दर्शन देता था, परन्तु यहोवा के नाम से मैं उन पर प्रगट न हुआ।
[IRV | HI | OT | Exodus | Chapter 6 | Verse 4] और मैंने उनके साथ अपनी वाचा दृढ़ की है, अर्थात् कनान देश जिसमें वे परदेशी होकर रहते थे, उसे उन्हें दे दूँ।
[IRV | HI | OT | Exodus | Chapter 6 | Verse 5] इस्राएली जिन्हें मिस्री लोग दासत्व में रखते हैं उनका कराहना भी सुनकर मैंने अपनी वाचा को स्मरण किया है।
[IRV | HI | OT | Exodus | Chapter 6 | Verse 6] इस कारण तू इस्राएलियों से कह, ‘मैं यहोवा हूँ, और तुम को मिस्रियों के बोझों के नीचे से निकालूँगा, और उनके दासत्व से तुम को छुड़ाऊँगा, और अपनी भुजा बढ़ाकर और भारी दण्ड देकर तुम्हें छुड़ा लूँगा, (प्रेरि. 13:17)
[IRV | HI | OT | Exodus | Chapter 6 | Verse 7] और मैं तुम को अपनी प्रजा बनाने के लिये अपना लूँगा, और मैं तुम्हारा परमेश्वर ठहरूँगा; और तुम जान लोगे कि मैं तुम्हारा परमेश्वर यहोवा हूँ जो तुम्हें मिस्रियों के बोझों के नीचे से निकाल ले आया।
[IRV | HI | OT | Exodus | Chapter 6 | Verse 8] और जिस देश के देने की शपथ मैंने अब्राहम, इसहाक, और याकूब से खाई थी उसी में मैं तुम्हें पहुँचाकर उसे तुम्हारा भाग कर दूँगा। मैं तो यहोवा हूँ।’”
[IRV | HI | OT | Exodus | Chapter 6 | Verse 9] ये बातें मूसा ने इस्राएलियों को सुनाईं; परन्तु उन्होंने मन की बेचैनी और दासत्व की क्रूरता के कारण उसकी न सुनी।
[IRV | HI | OT | Exodus | Chapter 6 | Verse 10] तब यहोवा ने मूसा से कहा,
[IRV | HI | OT | Exodus | Chapter 6 | Verse 11] “तू जाकर मिस्र के राजा फ़िरौन से कह कि इस्राएलियों को अपने देश में से निकल जाने दे।”
[IRV | HI | OT | Exodus | Chapter 6 | Verse 12] और मूसा ने यहोवा से कहा, “देख, इस्राएलियों ने मेरी नहीं सुनी; फिर फ़िरौन मुझ भद्दे बोलनेवाले की कैसे सुनेगा?”
[IRV | HI | OT | Exodus | Chapter 6 | Verse 13] तब यहोवा ने मूसा और हारून को इस्राएलियों और मिस्र के राजा फ़िरौन के लिये आज्ञा इस अभिप्राय से दी कि वे इस्राएलियों को मिस्र देश से निकाल ले जाएँ।
[IRV | HI | OT | Exodus | Chapter 6 | Verse 14] उनके पितरों के घरानों के मुख्य पुरुष ये हैं: इस्राएल का पहलौठा रूबेन के पुत्र: हनोक, पल्लू, हेस्रोन और कर्मी थे; इन्हीं से रूबेन के कुल निकले।
[IRV | HI | OT | Exodus | Chapter 6 | Verse 15] और शिमोन के पुत्र: यमूएल, यामीन, ओहद, याकीन, और सोहर थे, और एक कनानी स्त्री का बेटा शाऊल भी था; इन्हीं से शिमोन के कुल निकले।
[IRV | HI | OT | Exodus | Chapter 6 | Verse 16] लेवी के पुत्र जिनसे उनकी वंशावली चली है, उनके नाम ये हैं: अर्थात् गेर्शोन, कहात और मरारी, और लेवी की पूरी अवस्था एक सौ सैंतीस वर्ष की हुई।
[IRV | HI | OT | Exodus | Chapter 6 | Verse 17] गेर्शोन के पुत्र जिनसे उनका कुल चला: लिब्नी और शिमी थे।
[IRV | HI | OT | Exodus | Chapter 6 | Verse 18] कहात के पुत्र: अम्राम, यिसहार, हेब्रोन और उज्जीएल थे, और कहात की पूरी अवस्था एक सौ सैंतीस वर्ष की हुई।
[IRV | HI | OT | Exodus | Chapter 6 | Verse 19] मरारी के पुत्र: महली और मूशी थे। लेवियों के कुल जिनसे उनकी वंशावली चली ये ही हैं।
