[LXX | EL | OT | Deuteronomy | Chapter 28 | Verse 1] Καὶ ἔσται ἐὰν ἀκοῇ ἀκούσῃς τῆς φωνῆς Κυρίου τοῦ Θεοῦ σου, φυλάσσειν καὶ ποιεῖν πάσας τὰς ἐντολὰς ταύτας, ἃς ἐγὼ ἐντέλλομαί σοι σήμερον, καὶ δώσει σε Κύριος ὁ Θεός σου ὑπεράνω ἐπὶ πάντα τὰ ἔθνη τῆς γῆς,
[LXX | EL | OT | Deuteronomy | Chapter 28 | Verse 2] καὶ ἥξουσιν ἐπὶ σὲ πᾶσαι αἱ εὐλογίαι αὗται, καὶ εὑρήσουσί σε· ἐὰν ἀκοῇ ἀκούσῃς τῆς φωνῆς Κυρίου τοῦ Θεοῦ σου,
[LXX | EL | OT | Deuteronomy | Chapter 28 | Verse 3] εὐλογημένος σὺ ἐν πόλει, καὶ εὐλογημένος σὺ ἐν ἀγρῶ.
[LXX | EL | OT | Deuteronomy | Chapter 28 | Verse 4] Εὐλογημένα τὰ ἔκγονα τῆς κοιλίας σου, καὶ τὰ γεννήματα τῆς γης σου, καὶ τὰ βουκόλια τῶν βοῶν σου, καὶ τὰ ποίμνια τῶν προβάτων σου.
[LXX | EL | OT | Deuteronomy | Chapter 28 | Verse 5] Εὐλογημέναι αἱ ἀποθῆκαί σου, καὶ τὰ ἐγκαταλείμματά σου.
[LXX | EL | OT | Deuteronomy | Chapter 28 | Verse 6] Εὐλογημένος σὺ ἐν τῷ εἰσπορεύεσθαί σε, καὶ εὐλογημένος σὺ ἐν τῷ ἐκπορεύεσθαί σε.
[LXX | EL | OT | Deuteronomy | Chapter 28 | Verse 7] Παραδῷ Κύριος ὁ Θεός σου τοὺς ἐχθρούς σου τοὺς ἀνθεστηκότας σοι συντετριμμένους πρὸ προσώπου σου· ὁδῷ μιᾷ ἐξελεύσονται πρὸς σέ, καὶ ἐν ἑπτὰ ὁδοῖς φεύξονται ἀπὸ προσώπου σου.
[LXX | EL | OT | Deuteronomy | Chapter 28 | Verse 8] Ἀποστείλαι Κύριος ἐπὶ σὲ τὴν εὐλογίαν ἐν τοῖς ταμείοις σου, καὶ ἐπὶ πάντα οὗ ἂν ἐπιβάλῃς τὴν χεῖρά σου, ἐπὶ τῆς γῆς, ἧς Κύριος ὁ Θεός σου δίδωσί σοι.
[LXX | EL | OT | Deuteronomy | Chapter 28 | Verse 9] Ἀναστήσαι σε Κύριος ἑαυτῷ λαὸν ἅγιον, ὃν τρόπον ὤμοσε τοῖς πατράσι σου· ἐὰν ἀκούσῃς τῆς φωνῆς Κυρίου τοῦ Θεοῦ σου, καὶ πορευθῇς ἐν πάσαις ταῖς ὁδοῖς αὐτοῦ,
[LXX | EL | OT | Deuteronomy | Chapter 28 | Verse 10] καὶ ὄψονταί σε πάντα τὰ ἔθνη τῆς γῆς, ὅτι τὸ ὄνομα Κυρίου ἐπικέκληταί σοι, καὶ φοβηθήσονταί σε.
[LXX | EL | OT | Deuteronomy | Chapter 28 | Verse 11] Καὶ πληθυνεῖ σε Κύριος ὁ Θεός σου εἰς ἀγαθὰ ἐν τοῖς ἐκγόνοις τῆς κοιλίας σου, καὶ ἐπὶ τοῖς ἐκγόνοις τῶν κτηνῶν σου, καὶ ἐπὶ τοῖς γεννήμασι τῆς γῆς σου, ἐπὶ τῆς γῆς σου ἧς ὤμοσε Κύριος τοῖς πατράσι σου δοῦναί σοι.
