[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 1] ΟΥΤΟΙ οἱ λόγοι οὓς ἐλάλησε Μωυσῆς παντὶ Ἰσραὴλ πέραν τοῦ Ἰορδάνου ἐν τῇ ἐρήμῳ πρὸς δυσμαῖς πλησίον τῆς ἐρυθρᾶς θαλάσσης ἀναμέσον Φαρὰν Τοφὸλ, καὶ Λοβὸν, καὶ Αὐλῶν, καὶ καταχρύσεα.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 2] Ἕνδεκα ἡμερῶν ἐκ Χωρὴβ ὁδὸς ἐπʼ ὄρος
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 3] Σηεὶρ ἕως Κάδης Βαρνή. Καὶ ἐγενήθη ἐν τῷ τεσσαρακοστῷ ἔτει ἐν τῷ ἑνδεκάτῳ μηνὶ μιᾷ τοῦ μηνὸς, ἐλάλησε Μωυσῆς πρὸς πάντας υἱοὺς Ἰσραὴλ, κατὰ πάντα ὅσα ἐνετείλατο Κύριος αὐτῷ πρὸς αὐτούς· μετὰ τὸ πατάξαι
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 4] Σηὼν βασιλέα Ἀμοῤῥαίων τὸν κατοικήσαντα ἐν Ἐσεβὼν, καὶ τὸν Ὢγ βασιλέα τῆς Βασὰν τὸν κατοικήσαντα ἐν Ἀσταρὼθ καὶ ἐν
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 5] Ἐδραῒν, ἐν τῷ πέραν τοῦ Ἰορδάνου ἐν γῇ Μωὰβ, ἤρξατο Μωυσῆς διασαφῆσαι τὸν νόμον τοῦτον, λέγων,
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 6] Κύριος ὁ Θεὸς ἡμῶν ἐλάλησεν ἡμῖν ἐν Χωρὴβ, λέγων, ἰκανούσθω ὑμῖν κατοικεῖν ἐν τῷ ὄρει τούτῳ.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 7] Ἐπιστράφητε καὶ ἀπάρατε ὑμεῖς καὶ εἰσπορεύεσθε εἰς ὄρος Ἀμοῤῥαίων, καὶ πρὸς πάντας τοὺς περιοίκους Ἄραβα, εἰς ὄρος καὶ πεδίον, καὶ πρὸς Λίβα, καὶ παραλίαν γῆν Χαναναίων, καὶ Ἀντιλίβανον ἕως τοῦ ποταμοῦ τοῦ μεγάλου, ποταμοῦ Εὐφράτου.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 8] Ἴδετε, παραδέδωκεν ἐνώπιον ὑμῶν τὴν γῆν· εἰσπορευθέντες κληρονομήσατε τὴν γῆν, ἣν ὤμοσα τοῖς πατράσιν ὑμῶν τῷ Ἁβραὰμ, καὶ Ἰσαὰκ, καὶ Ἰσκὼβ, δοῦναι αὐτοῖς καὶ τῷ σπέρματι αὐτῶν μετʼ αὐτούς.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 9] Καὶ εἶπα πρὸς ὑμᾶς ἐν τῷ καιρῷ ἐκείνῳ, λέγων, οὐ δυνήσομαι μόνος φέρειν ὑμᾶς.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 10] Κύριος ὁ Θεὸς ὑμῶν ἐπλήθυνεν ὑμᾶς, καὶ ἰδού ἐστε σήμερον ὡσεὶ τὰ ἄστρα τοῦ οὐρανοῦ τῷ πλήθει.
[LXX | EL | OT | Deuteronomy | Chapter 1 | Verse 11] Κύριος ὁ Θεὸς τῶν πατέρων ὑμῶν προσθείῃ ὑμῖν ὡς ἐστὲ χιλιοπλασίως, καὶ εὐλογήσαι ὑμᾶς καθότι ἐλάλησεν ὑμῖν.
