[LXX | EL | OT | Deuteronomy | Chapter 11 | Verse 1] Καὶ ἀγαπήσεις Κύριον τὸν Θεόν σου, καὶ φυλάξῃ τὰ φυλάγματα αὐτοῦ, καὶ τὰ δικαιώματα αὐτοῦ, καὶ τὰς ἐντολὰς αὐτοῦ, καὶ τὰς κρίσεις αὐτοῦ πάσας τὰς ἡμέρας.
[LXX | EL | OT | Deuteronomy | Chapter 11 | Verse 2] Καὶ γνώσεσθε σήμερον, ὅτι οὐχὶ τὰ παιδία ὑμῶν, ὅσοι οὐκ οἴδασιν οὐδὲ ἴδοσαν τὴν παιδείαν Κυρίου τοῦ Θεοῦ σου, καὶ τὰ μεγαλεῖα αὐτοῦ, καὶ τὴν χεῖρα τὴν κραταιὰν, καὶ τὸν βραχίονα τὸν ὑψηλόν,
[LXX | EL | OT | Deuteronomy | Chapter 11 | Verse 3] καὶ τὰ σημεῖα αὐτοῦ, καὶ τὰ τέρατα αὐτοῦ, ὅσα ἐποίησεν ἐν μέσῳ Αἰγύπτου Φαραὼ βασιλεῖ Αἰγύπτου, καὶ πάσῃ τῇ γῇ αὐτοῦ,
[LXX | EL | OT | Deuteronomy | Chapter 11 | Verse 4] καὶ ὅσα ἐποίησε τὴν δύναμιν τῶν Αἰγυπτίων, καὶ τὰ ἅρματα αὐτῶν, καὶ τὴν ἵππον αὐτῶν, καὶ τὴν δύναμιν αὐτῶν, ὡς ἐπέκλυσε τὸ ὕδωρ τῆς θαλάσσης τῆς ἐρυθρᾶς ἐπὶ προσώπου αὐτῶν καταδιωκόντων αὐτῶν ἐκ τῶν ὀπίσω ὑμῶν, καὶ ἀπώλεσεν αὐτοὺς Κύριος ἕως τῆς σήμερον ἡμέρας,
[LXX | EL | OT | Deuteronomy | Chapter 11 | Verse 5] καὶ ὅσα ἐποίησεν ἡμῖν ἐν τῇ ἐρήμῳ ἕως ἤλθετε εἰς τὸν τόπον τοῦτον,
[LXX | EL | OT | Deuteronomy | Chapter 11 | Verse 6] καὶ ὅσα ἐποίησε τῷ Δαθὰν καὶ Ἀβειρὼν υἱοῖς Ἑλιὰβ υἱοῦ Ῥουβὴν, οὓς ἀνοίξασα ἡ γῆ τὸ στόμα αὐτῆς κατέπιεν αὐτοὺς, καὶ τοὺς οἴκους αὐτῶν, καὶ τὰς σκηνὰς αὐτῶν, καὶ πᾶσαν αὐτῶν τὴν ὑπόστασιν τὴν μετʼ αὐτῶν ἐν μέσῳ παντὸς Ἰσραήλ·
[LXX | EL | OT | Deuteronomy | Chapter 11 | Verse 7] Ὅτι οἱ ὀφθαλμοὶ ὑμῶν ἑώρακαν πάντα τὰ ἔργα Κυρίου τὰ μεγάλα, ὅσα ἐποίησεν ἐν ὑμῖν σήμερον.
[LXX | EL | OT | Deuteronomy | Chapter 11 | Verse 8] Καὶ φυλάξεσθε πάσας τὰς ἐντολὰς αὐτοῦ ὅσας ἐγὼ ἐντέλλομαί σοι σήμερον, ἵνα ζῆτε, καὶ πολυπλασιασθῆτε, καὶ εἰσελθόντες κληρονομήσητε τὴν γῆν, εἰς ἣν ὑμεῖς διαβαίνετε τὸν Ἰορδάνην ἐκεῖ κληρονομῆσαι αὐτήν·
[LXX | EL | OT | Deuteronomy | Chapter 11 | Verse 9] Ἵνα μακροημερεύσητε ἐπὶ τῆς γῆς, ἧς ὤμοσε Κύριος τοῖς πατράσιν ὑμῶν δοῦναι αὐτοῖς καὶ τῷ σπέρματι αὐτῶν μετʼ αὐτούς, γῆν ῥέουσαν γάλα καὶ μέλι.
[LXX | EL | OT | Deuteronomy | Chapter 11 | Verse 10] Ἔστι γὰρ ἡ γῆ εἰς ἣν εἰσπορεύῃ ἐκεῖ κληρονομῆσαι αὐτήν, οὐχ ὥσπερ γῆ Αἰγύπτου ἐστίν, ὅθεν ἐκπεπόρευσθε ἐκεῖθεν, ὅταν σπείρωσι τὸν σπόρον, καὶ ποτίζωσι τοῖς ποσὶν αὐτῶν, ὡσεὶ κῆπον λαχανείας·
[LXX | EL | OT | Deuteronomy | Chapter 11 | Verse 11] Ἡ δὲ γῆ εἰς ἣν εἰσπορεύῃ ἐκεῖ κληρονομῆσαι αὐτὴν, γῆ ὀρεινὴ καὶ πεδινὴ· ἐκ τοῦ ὑετοῦ τοῦ οὐρανοῦ πίεται ὕδωρ.
