[LXX | EL | OT | Deuteronomy | Chapter 2 | Verse 1] Καὶ ἐπιστραφέντες ἀπῄραμεν εἰς τὴν ἔρημον, ὁδὸν θάλασσαν ἐρυθράν, ὃν τρόπον ἐλάλησε Κύριος πρὸς μὲ, καὶ ἐκυκλώσαμεν τὸ ὄρος τὸ Σηεὶρ ἡμέρας πολλάς.
[LXX | EL | OT | Deuteronomy | Chapter 2 | Verse 2] Καὶ εἶπε Κύριος πρὸς μέ,
[LXX | EL | OT | Deuteronomy | Chapter 2 | Verse 3] ἱκανούσθω ὑμῖν κυκλούν τὸ ὄρος τοῦτο· ἐπιστράφητε οὖν ἐπὶ Βοῤῥᾶν·
[LXX | EL | OT | Deuteronomy | Chapter 2 | Verse 4] Καὶ τῷ λαῷ ἔντειλαι, λέγων, ὑμεῖς παραπορεύεσθε διὰ τῶν ὁρίων τῶν ἀδελφῶν ὑμῶν υἱῶν Ἡσαύ, οἳ κατοικοῦσιν ἐν Σηεὶρ, καὶ φοβηθήσονται ὑμᾶς, καὶ εὐλαβηθήσονται ὑμᾶς σφόδρα.
[LXX | EL | OT | Deuteronomy | Chapter 2 | Verse 5] Μὴ συνάψητε πρὸς αὐτοὺς πόλεμον, οὐ γὰρ δῶ ὑμῖν ἀπὸ τῆς γῆς αὐτῶν οὐδὲ βῆμα ποδός, ὅτι ἐν κλήρῳ δέδωκα τοῖς υἱοῖς Ἡσαὺ τὸ ὄρος τὸ Σηείρ.
[LXX | EL | OT | Deuteronomy | Chapter 2 | Verse 6] Ἀργυρίου βρώματα ἀγοράσατε παρʼ αὐτῶν καὶ φάγεσθε, καὶ ὕδωρ μέτρῳ λήψεσθε παρʼ αὐτῶν ἀργυρίου καὶ πίεσθε.
[LXX | EL | OT | Deuteronomy | Chapter 2 | Verse 7] Ὁ γὰρ Κύριος ὁ Θεὸς ἡμῶν εὐλόγησέ σε ἐν παντὶ ἔργῳ τῶν χειρῶν σου· διάγνωθι πῶς διῆλθες τὴν ἔρημον τὴν μεγάλην καὶ τὴν φοβερὰν ἐκείνην· ἰδοὺ τεσσαράκοντα ἔτη Κύριος ὁ Θεός σου μετὰ σοῦ· οὐκ ἐπεδεήθης ῥήματος.
[LXX | EL | OT | Deuteronomy | Chapter 2 | Verse 8] Καὶ παρήλθομεν τοὺς ἀδελφοὺς ἡμῶν υἱοὺς Ἡσαῦ, τοὺς κατοικοῦντας ἐν Σηεὶρ, παρὰ τὴν ὁδὸν τὴν Ἄραβα ἀπὸ Αἰλὼν καὶ ἀπὸ Γεσιὼν Γάβερ· καὶ ἐπιστρέψαντες παρήλθομεν ὁδὸν ἔρημον Μωάβ.
[LXX | EL | OT | Deuteronomy | Chapter 2 | Verse 9] Καὶ εἶπε Κύριος πρὸς μέ, μὴ ἐχθραίνετε τοῖς Μωαβιταῖς, καὶ μὴ συνάψητε πρὸς αὐτοὺς πόλεμον· οὐ γὰρ μὴ δῶ ἀπὸ τῆς γῆς αὐτῶν ὑμῖν ἐν κλήρῳ, τοῖς γὰρ υἱοῖς Λὼτ δέδωκα τὴν Ἀροὴρ κληρονομεῖν.
[LXX | EL | OT | Deuteronomy | Chapter 2 | Verse 10] Οἱ Ὀμμὶν πρότεροι ἐνεκάθηντο ἐπʼ αὐτῆς, ἔθνος μέγα καὶ πολὺ καὶ ἰσχύοντες, ὥσπερ οἱ Ἐνακίμ.
[LXX | EL | OT | Deuteronomy | Chapter 2 | Verse 11] Ῥαφαῒν λογισθήσονται καὶ οὗτοι ὥσπερ καὶ οἱ Ἐνακίμ· καὶ οἱ Μωαβῖται ἐπονομάζουσιν αὐτοὺς Ὀμμείν.
