[LXX | EL | OT | Deuteronomy | Chapter 18 | Verse 1] Οὐκ ἔσται τοῖς ἱερεῦσι τοῖς Λευίταις ὅλῃ φυλῇ Λευὶ μερὶς οὐδὲ κλῆρος μετὰ Ἰσραήλ· καρπώματα Κυρίου ὁ κλῆρος αὐτῶν, φάγονται αὐτά.
[LXX | EL | OT | Deuteronomy | Chapter 18 | Verse 2] Κλῆρος δὲ οὐκ ἔσται αὐτοῖς ἐν τοῖς ἀδελφοῖς αὐτῶν· Κύριος αὐτὸς κλῆρος αὐτοῦ, καθότι εἶπεν αὐτῷ.
[LXX | EL | OT | Deuteronomy | Chapter 18 | Verse 3] Καὶ αὕτη ἡ κρίσις τῶν ἱερέων τὰ παρὰ τοῦ λαοῦ παρὰ τῶν θυόντων τὰ θύματα, ἐάν τε μόσχον, ἐάν τε πρόβατον· καὶ δώσεις τὸν βραχίονα τῷ ἱερεῖ, καὶ τὰ σιαγόνια, καὶ τὸ ἔνυστρον,
[LXX | EL | OT | Deuteronomy | Chapter 18 | Verse 4] καὶ τὰς ἀπαρχὰς τοῦ σίτου σου, καὶ τοῦ οἴνου σου, καὶ τοῦ ἐλαίου σου· καὶ τὴν ἀπαρχὴν τῶν κουρῶν τῶν προβάτων σου δώσεις αὐτῷ.
[LXX | EL | OT | Deuteronomy | Chapter 18 | Verse 5] Ὅτι αὐτὸν ἐξελέξατο Κύριος ἐκ πασῶν τῶν φυλῶν σου, παρεστάναι ἔναντι Κυρίου τοῦ Θεοῦ, λειτουργεῖν καὶ εὐλογεῖν ἐπὶ τῷ ὀνόματι αὐτοῦ, αὐτὸς καὶ οἱ υἱοὶ αὐτοῦ ἐν τοῖς υἱοῖς Ἰσραήλ.
[LXX | EL | OT | Deuteronomy | Chapter 18 | Verse 6] Ἐὰν δὲ παραγένηται ὁ Λευίτης ἐκ μιᾶς τῶν πόλεων ἐκ πάντων τῶν υἱῶν Ἰσραὴλ, οὗ αὐτὸς παροικεῖ, καθʼ ὅτι ἐπιθυμεῖ ἡ ψυχὴ αὐτοῦ, εἰς τὸν τόπον ὃν ἂν ἐκλέξηται,
[LXX | EL | OT | Deuteronomy | Chapter 18 | Verse 7] λειτουργήσει τῷ ὀνόματι Κυρίου τοῦ Θεοῦ αὐτοῦ, ὥσπερ πάντες οἱ ἀδελφοὶ αὐτοῦ οἱ Λευῖται οἱ παρεστηκότες ἐκεῖ ἐναντίον Κυρίου τοῦ Θεοῦ σου.
[LXX | EL | OT | Deuteronomy | Chapter 18 | Verse 8] Μερίδα μεμερισμένην φάγεται, πλὴν τῆς πράσεως τῆς κατὰ πατριάν.
[LXX | EL | OT | Deuteronomy | Chapter 18 | Verse 9] Ἐὰν δὲ εἰσέλθῃς εἰς τὴν γῆν ἣν Κύριος ὁ Θεός σου δίδωσί σοι, οὐ μαθήσῃ ποιεῖν κατὰ τὰ βδελύγματα τῶν ἐθνῶν ἐκείνων.
[LXX | EL | OT | Deuteronomy | Chapter 18 | Verse 10] Οὐχ εὑρεθήσεται ἐν σοὶ περικαθαίρων τὸν υἱὸν αὐτοῦ καὶ τὴν θυγατέρα αὐτοῦ ἐν πυρὶ, μαντευόμενος μαντείαν, κληδονιζόμενος, καὶ οἰωνιζόμενος, φαρμακοῖς
[LXX | EL | OT | Deuteronomy | Chapter 18 | Verse 11] ἐπαείδων ἐπαοιδὴν, ἐγγαστρίμυθος, καὶ τερατοσκόπος, ἐπερωτῶν τοὺς νεκρούς.
