[LXX | EL | OT | Deuteronomy | Chapter 16 | Verse 1] Φυλάξαι τὸν μῆνα τῶν νέων, καὶ ποιήσεις τὸ πάσχα Κυρίῳ τῷ Θεῷ σου, ὅτι ἐν τῷ μηνὶ τῶν νέων ἐξῆλθες ἐξ Αἰγύπτου νυκτός.
[LXX | EL | OT | Deuteronomy | Chapter 16 | Verse 2] Καὶ θύσεις τὸ πάσχα Κυρίῳ τῷ Θεῷ σου πρόβατα καὶ βόας ἐν τῷ τόπῳ, ᾧ ἐὰν ἐκλέξηται Κύριος ὁ Θεός σου αὐτὸν, ἐπικληθῆναι τὸ ὄνομα αὐτοῦ ἐκεῖ.
[LXX | EL | OT | Deuteronomy | Chapter 16 | Verse 3] Οὐ φαγῇ ἐπʼ αὐτοῦ ζύμην· ἐπτὰ ἡμέρας φαγῇ ἐπʼ αὐτοῦ ἄζυμα, ἄρτον κακώσεως, ὅτι ἐν σπουδῇ ἐξήλθετε ἐξ Αἰγύπτου, ἵνα μνησθῆτε τὴν ἡμέραν τῆς ἐξοδίας ὑμῶν ἐκ γῆς Αἰγύπτου πάσας τὰς ἡμέρας τῆς ζωῆς ὑμῶν.
[LXX | EL | OT | Deuteronomy | Chapter 16 | Verse 4] Οὐκ ὀφθήσεται σοι ζύμη ἐν πᾶσι τοῖς ὁρίοις σου ἑπτὰ ἡμέρας, καὶ οὐ κοιμήθησεται ἀπὸ τῶν κρεῶν ὧν ἐὰν θύσῃς τὸ ἑσπέρας τῇ ἡμέρᾳ τῇ πρώτῃ εἰς τοπρωΐ.
[LXX | EL | OT | Deuteronomy | Chapter 16 | Verse 5] Οὐ δυνήσῃ θῦσαι τὸ πάσχα ἐν οὐδεμιᾷ τῶν πόλεών σου, ὧν Κύριος ὁ Θεός σου δίδωσί σοι·
[LXX | EL | OT | Deuteronomy | Chapter 16 | Verse 6] ἀλλʼ ἢ εἰς τὸν τόπον, ὃν ἂν ἐκλέξηται Κύριος ὁ Θεός σου, ἐπικληθῆναι τὸ ὄνομα αὐτοῦ ἐκεῖ, θύσεις τὸ πάσχα ἑσπέρας πρὸς δυσμὰς ἡλίου, ἐν τῷ καιρῷ ᾧ ἐξῆλθες ἐξ Αἰγύπτου.
[LXX | EL | OT | Deuteronomy | Chapter 16 | Verse 7] Καὶ ἑψήσεις καὶ ὀπτήσεις καὶ φαγῇ ἐν τῷ τόπῳ, οὗ ἐὰν ἐκλέξηται Κύριος ὁ Θεός σου αὐτόν· καὶ ἀποστραφήσῃ τοπρωΐ, καὶ ἐλεύσῃ εἰς τοὺς οἴκους σου.
[LXX | EL | OT | Deuteronomy | Chapter 16 | Verse 8] Ἓξ ἡμέρας φαγῇ ἄζυμα, καὶ τῇ ἡμέρᾳ τῇ ἑβδόμῃ ἐξόδιον ἑορτὴ Κυρίῳ τῷ Θεῷ σου· οὐ ποιήσεις ἐν αὐτῇ πᾶν ἔργον, πλὴν ὅσα ποιηθήσεται ψυχῇ.
[LXX | EL | OT | Deuteronomy | Chapter 16 | Verse 9] Ἑπτὰ ἑβδομάδας ἐξαριθμήσεις σεαυτῷ· ἀρξαμένου σου δρέπανον ἐπʼ ἀμητὸν, ἄρξῃ ἐξαριθμῆσαι ἑπτὰ ἑβδομάδας.
[LXX | EL | OT | Deuteronomy | Chapter 16 | Verse 10] Καὶ ποιήσεις ἑορτὴν ἑβδομάδων Κυρίῳ τῷ Θεῷ σου, καθὼς ἡ χείρ σου ἰσχύει, ὅσα ἂν δῷ Κύριος ὁ Θεός σου.
[LXX | EL | OT | Deuteronomy | Chapter 16 | Verse 11] Καὶ εὐφρανθήσῃ ἐναντίον Κυρίου τοῦ Θεοῦ σου, σὺ καὶ ὁ υἱός σου, καὶ ἡ θυγάτηρ σου, ὁ παῖς σου, καὶ ἡ παιδίσκη σου, καὶ ὁ Λευίτης, καὶ ὁ προσήλυτος, καὶ ὁ ὀρφανὸς, καὶ ἡ χήρα ἡ οὖσα ἐν ὑμῖν, ἐν τῷ τόπῳ, ᾧ ἐὰν ἐκλέξηται Κύριος ὁ Θεός σου αὐτὸν, ἐπικληθῆναι τὸ ὄνομα αὐτοῦ ἐκεῖ.
[LXX | EL | OT | Deuteronomy | Chapter 16 | Verse 12] Καὶ μνησθήσῃ ὅτι οἰκέτης ἐγένου ἐν γῇ Αἰγύπτῳ, καὶ φυλάξῃ καὶ ποιήσεις τὰς ἐντολὰς ταύτας.
[LXX | EL | OT | Deuteronomy | Chapter 16 | Verse 13] Ἐορτὴν σκηνῶν ποιήσεις σεαυτῷ ἑπτὰ ἡμέρας ἐν τῷ συναγαγεῖν σε ἐκ τῆς ἅλωνός σου καὶ ἀπὸ τῆς ληνοῦ σου.
[LXX | EL | OT | Deuteronomy | Chapter 16 | Verse 14] Καὶ εὐφρανθήσῃ ἐν τῇ ἑορτῇ σου, σὺ καὶ ὁ υἱός σου, καὶ ἡ θυγάτηρ σου, ὁ παῖς σου, καὶ ἡ παιδίσκη σου, καὶ ὁ Λευίτης, καὶ ὁ προσήλυτος, καὶ ὁ ὀρφανὸς, καὶ ἡ χήρα ἡ οὖσα ἐν ταῖς πόλεσί σου.
