[LXX | EL | OT | Deuteronomy | Chapter 20 | Verse 1] Ἐὰν δὲ ἐξέλθῃς εἰς πόλεμον ἐπὶ τοὺς ἐχθρούς σου, καὶ ἴδῃς ἵππον καὶ ἀναβάτην καὶ λαὸν πλείονά σου, οὐ φοβηθήσῃ ἀπʼ αὐτῶν, ὅτι Κύριος ὁ Θεός σου μετὰ σοῦ, ὁ ἀναβιβάσας σε ἐκ γῆς Αἰγύπτου.
[LXX | EL | OT | Deuteronomy | Chapter 20 | Verse 2] Καὶ ἔσται ὅταν ἐγγίσῃς τῷ πολέμῳ, καὶ προσεγγίσας ὁ ἱερεὺς λαλήσει τῷ λαῷ,
[LXX | EL | OT | Deuteronomy | Chapter 20 | Verse 3] καὶ ἐρεῖ πρὸς αὐτοὺς, ἄκουε Ἰσραήλ· ὑμεῖς πορεύεσθε σήμερον εἰς τὸν πόλεμον ἐπὶ τοὺς ἐχθροὺς ὑμῶν· μὴ ἐκλυέσθω ἡ καρδία ὑμῶν, μὴ φοβεῖσθε, μηδὲ θραύεσθε, μηδὲ ἐκκλίνετε ἀπὸ προσώπου αὐτῶν.
[LXX | EL | OT | Deuteronomy | Chapter 20 | Verse 4] Ὅτι Κύριος ὁ Θεὸς ὑμῶν ὁ προπορευόμενος μεθʼ ὑμῶν, συνεκπολεμῆσαι ὑμῖν τοὺς ἐχθροὺς ὑμῶν διασῶσαι ὑμᾶς.
[LXX | EL | OT | Deuteronomy | Chapter 20 | Verse 5] Καὶ λαλήσουσιν οἱ γραμματεῖς πρὸς τὸν λαὸν, λέγοντες, τίς ὁ ἄνθρωπος ὁ οἰκοδομήσας οἰκίαν καινὴν, καὶ οὐκ ἐνεκαίνισεν αὐτήν; πορευέσθω καὶ ἀποστραφήτω εἰς τὴν· οἰκίαν αὐτοῦ, μὴ ἀποθάνῃ ἐν τῷ πολέμῳ, καὶ ἄνθρωπος ἕτερος ἐγκαινιεῖ αὐτήν.
[LXX | EL | OT | Deuteronomy | Chapter 20 | Verse 6] Καὶ τίς ὁ ἄνθρωπος ὅστις ἐφύτευσεν ἀμπελῶνα, καὶ οὐκ εὐφράνθη ἐξ αὐτοῦ; πορευέσθω καὶ ἀποστραφήτω εἰς τὴν οἰκίαν αὐτοῦ, μὴ ἀποθάνῃ ἐν τῷ πολέμῳ, καὶ ἄνθρωπος ἕτερος εὐφρανθήσεται ἐξ αὐτοῦ.
[LXX | EL | OT | Deuteronomy | Chapter 20 | Verse 7] Καὶ τίς ὁ ἄνθρωπος ὅστις μεμνήστευται γυναῖκα, καὶ οὐκ ἔλαβεν αὐτήν; πορευέσθω καὶ ἀποστραφήτω εἰς τὴν οἰκίαν αὐτοῦ, μὴ ἀποθάνῃ ἐν τῷ πολέμῳ, καὶ ἄνθρωπος ἕτερος λήψεται αὐτήν.
[LXX | EL | OT | Deuteronomy | Chapter 20 | Verse 8] Καὶ προσθήσουσιν οἱ γραμματεῖς λαλῆσαι πρὸς τὸν λαὸν, καὶ ἐροῦσι, τίς ὁ ἄνθρωπος ὁ φοβούμενος καὶ δειλὸς τῇ καρδίᾳ; πορευέσθω καὶ ἀποστραφήτω εἰς τὴν οἰκίαν αὐτοῦ, ἵνα μὴ δειλιάνῃ τὴν καρδίαν τοῦ ἀδελφοῦ αὐτοῦ, ὥσπερ ἡ αὐτοῦ.
[LXX | EL | OT | Deuteronomy | Chapter 20 | Verse 9] Καὶ ἔσται ὅταν παύσωνται οἱ γραμματεῖς λαλοῦντες πρὸς τὸν λαὸν, καὶ καταστήσουσιν ἄρχοντας τῆς στρατιᾶς προηγουμένους τοῦ λαοῦ.
[LXX | EL | OT | Deuteronomy | Chapter 20 | Verse 10] Ἐὰν δὲ προσέλθῃς πρὸς πόλιν ἐκπολεμῆσαι αὐτοὺς, καὶ ἐκκαλέσαι αὐτοὺς μετʼ εἰρήνης.
[LXX | EL | OT | Deuteronomy | Chapter 20 | Verse 11] Ἐὰν μὲν εἰρηνικὰ ἀποκριθῶσί σοι, καὶ ἀνοίξωσί σοι, ἔσται πᾶς ὁ λαὸς οἱ εὑρεθέντες ἐν αὐτῇ ἔσονταί σοι φορολόγητοι καὶ ὑπήκοοί σου.
[LXX | EL | OT | Deuteronomy | Chapter 20 | Verse 12] Ἐὰν δὲ μὴ ὑπακούσωσί σοι, καὶ ποιῶσι πρὸς σὲ πόλεμον, περικαθιεῖς αὐτὴν,
