[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 1] Πρόσεχε οὐρανὲ, καὶ λαλήσω, καὶ ἀκουέτω ἡ γῆ ῥήματα ἐκ στόματός μου.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 2] Προσδοκάσθω ὡς ὑετὸς τὸ ἀπόφθεγμά μου, καὶ καταβήτω ὡς δρόσος τὰ ῥήματά μου, ὡσεὶ ὄμβρος ἐπʼ ἄγρωστιν, καὶ ὡσεὶ νιφετὸς ἐπὶ χόρτον.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 3] Ὅτι τὸ ὄνομα Κυρίου ἐκάλεσα· δότε μεγαλωσύνην τῷ Θεῷ ἡμῶν.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 4] Θεὸς, ἀληθινὰ τὰ ἔργα αὐτοῦ, καὶ πᾶσαι αἱ ὁδοὶ αὐτοῦ κρίσεις· Θεὸς πιστὸς, καὶ οὐκ ἔστιν ἀδικία· δίκαιος καὶ ὅσιος Κύριος.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 5] Ἡμάρτοσαν οὐκ αὐτῷ τέκνα μωμητά· γενεὰ σκολιὰ καὶ διεστραμμένη.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 6] Ταῦτα Κυρίῳ ἀνταποδίδοτε; οὕτω λαὸς μωρὸς καὶ οὐχὶ σοφός; οὐκ αὐτὸς οὗτός σου πατὴρ ἐκτήσατό σε καὶ ἐποίησέ σε καὶ ἔπλασέ σε;
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 7] Μνήσθητε ἡμέρας αἰῶνος, σύνετε ἔτη γενεῶν γενεαῖς. ἐπερώτησον τὸν πατέρα σου καὶ ἀναγγελεῖ σοι, τοὺς πρεσβυτέρους σου καὶ ἐροῦσί σοι.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 8] Ὅτε διεμέριζεν ὁ ὕψιστος ἔθνη, ὡς διέσπειρεν υἱοὺς Αδὰμ, ἔστησεν ὅρια ἐθνῶν κατὰ ἀριθμὸν ἀγγέλων Θεοῦ.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 9] Καὶ ἐγενήθη μερὶς Κυρίου λαὸς αὐτοῦ Ἰακώβ· σχοίνισμα κληρονομίας αὐτοῦ Ἰσραήλ.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 10] Αὐτάρκησεν αὐτὸν ἐν τῇ ἐρήμῳ, ἐν δίψει καύματος ἐν γῇ ἀνύδρῳ· ἐκύκλωσεν αὐτὸν καὶ ἐπαίδευσεν αὐτὸν, καὶ διεφύλαξεν αὐτὸν, ὡς κόρην ὀφθαλμοῦ·
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 11] Ὡς ἀετὸς σκεπάσαι νοσσιὰν αὐτοῦ, καὶ ἐπὶ τοῖς νοσσοῖς αὐτοῦ ἐπεπόθησε, διεὶς τὰς πτέρυγας αὐτοῦ ἐδέξατο αὐτοὺς, καὶ ἀνέλαβεν αὐτοὺς ἐπὶ τῶν μεταφρένων αὐτοῦ.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 12] Κύριος μόνος ἦγεν αὐτοὺς, οὐκ ἦν μετʼ αὐτῶν θεὸς ἀλλότριος.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 13] Ἀνεβίβασεν αὐτοὺς ἐπὶ τὴν ἰσχὺν τῆς γῆς· ἐψώμισεν αὐτοὺς γεννήματα ἀγρῶν· ἐθήλασαν μέλι ἐκ πέτρας, καὶ ἔλαιον ἐκ στερεᾶς πέτρας.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 14] Βούτυρον βοῶν, καὶ γάλα προβάτων, μετὰ στέατος ἀρνῶν καὶ κριῶν, υἱῶν ταύρων καὶ τράγων, μετὰ στέατος νεφρῶν πυροῦ, καὶ αἷμα σταφυλῆς ἔπιεν οἶνον.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 15] Καὶ ἔφαγεν Ἰακὼβ καὶ ἐνεπλήσθη, καὶ ἀπελάκτισεν ὁ ἠγαπημένος· ἐλιπάνθη, ἐπαχύνθη, ἐπλατύνθη, καὶ ἐγκατέλιπε τὸν Θεὸν τὸν ποιήσαντα αὐτὸν, καὶ ἀπέστη ἀπὸ Θεοῦ σωτῆρος αὐτοῦ.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 16] Παρώξυνάν με ἐπʼ ἀλλοτρίοις· ἐν βδελύγμασιν αὐτῶν παρεπίκρανάν με.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 17] Εθυσαν δαιμονίοις, καὶ οὐ Θεῷ· θεοῖς οἷς οὐκ ᾔδεισαν· καινοὶ πρόσφατοι ἥκασιν, οὓς οὐκ ᾔδεισαν οἱ πατέρες αὐτῶν.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 18] Θεὸν τὸν γεννήσαντά σε ἐγκατέλιπες, καὶ ἐπελάθου Θεοῦ τοῦ τρέφοντός σε.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 19] Καὶ εἶδε Κύριος, καὶ ἐζήλωσε· καὶ παρωξύνθη διʼ ὀργὴν υἱῶν αὐτοῦ καὶ θυγατέρων,
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 20] καὶ εἶπεν, ἀποστρέψω τὸ πρόσωπόν μου ἀπʼ αὐτῶν, καὶ δείξω τί ἔσται αὐτοῖς ἐπʼ ἐσχάτων ἡμερῶν· ὅτι γενεὰ ἐξεστραμμένη ἐστίν, υἱοὶ οἷς οὐκ ἔστι πίστις ἐν αὐτοῖς.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 21] Αὐτοὶ παρεζήλωσάν με ἐπʼ οὐ Θεῷ, παρώξυνάν με ἐν τοῖς εἰδώλοις αὐτῶν· κᾀγὼ παραζηλώσω αὐτοὺς ἐπʼ οὐκ ἔθνει, ἐπὶ ἔθνει ἀσυνέτῳ παροργιῶ αὐτούς.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 22] Ὅτι πῦρ ἐκκέκαυται ἐκ τοῦ θυμοῦ μου, καυθήσεται ἕως ᾄδου κάτω· καταφάγεται γῆν καὶ τὰ γεννήματα αὐτῆς· φλέξει θεμέλια ὀρέων.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 23] Συνάξω εἰς αὐτοὺς κακὰ, καὶ τὰ βέλη μου συμπολεμήσω εἰς αὐτούς.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 24] Τηκόμενοι λιμῷ καὶ βρώσει ὀρνέων, καὶ ὀπισθότονος ἀνίατος· ὀδόντας θηρίων ἐπαποστελῶ εἰς αὐτοὺς, μετὰ θυμοῦ συρόντων ἐπὶ γῆν.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 25] Ἔξωθεν ἀτεκνώσει αὐτοὺς μάχαιρα, καὶ ἐκ τῶν ταμιείων, φόβος· νεανίσκος σὺν παρθένῳ, θηλάζων μετὰ καθεστηκότος πρεσβύτου.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 26] Εἶπα, διασπερῶ αὐτοὺς, παύσω δὲ ἐξ ἀνθρώπων τὸ μνημόσυνον αὐτῶν.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 27] Εἰ μὴ διʼ ὀργὴν ἐχθρῶν, ἵνα μὴ μακροχρονίσωσι, ἵνα μὴ συνεπιθῶνται οἱ ὑπεναντίοι· μὴ εἴπωσιν, ἡ χεὶρ ἡμῶν ἡ ὑψηλὴ, καὶ οὐχὶ Κύριος, ἐποίησε ταῦτα πάντα.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 28] Ἔθνος ἀπολωλεκὸς βουλήν ἐστι, καὶ οὐκ ἔστιν ἐν αὐτοῖς ἐπιστήμη.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 29] Οὐκ ἐφρόνησαν συνιέναι· ταῦτα καταδεξάσθωσαν εἰς τὸν ἐπιόντα χρόνον.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 30] Πῶς διώξεται εἷς χιλίους, καὶ δύο μετακινήσουσι μυριάδας, εἰ μὴ ὁ Θεὸς ἀπέδοτο αὐτοὺς, καὶ Κύριος παρέδωκεν αὐτούς;
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 31] Ὅτι οὐκ εἰσὶν ὡς ὁ Θεὸς ἡμῶν οἱ θεοὶ αὐτῶν· οἱ δὲ ἐχθροὶ ἡμῶν ἀνόητοι.
[LXX | EL | OT | Deuteronomy | Chapter 32 | Verse 32] Ἐκ γὰρ ἀμπέλου Σοδόμων ἡ ἄμπελος αὐτῶν, καὶ ἡ κληματὶς αὐτῶν ἐκ Γομόῤῥας· σταφυλὴ αὐτῶν σταφυλὴ χολῆς, βότρυς πικρίας αὐτοῖς.
