[LXX | EL | OT | Deuteronomy | Chapter 25 | Verse 1] Ἐὰν δὲ γένηται ἀντιλογία ἀναμέσον ἀνθρώπων, καὶ προσέλθωσιν εἰς κρίσιν, καὶ κρίνωσι, καὶ δικαιώσωσι τὸ δίκαιον, καὶ καταγνῶσι τοῦ ἀσεβοῦς·
[LXX | EL | OT | Deuteronomy | Chapter 25 | Verse 2] Καὶ ἔσται, ἐὰν ἄξιος ἠ· πληγῶν ὁ ἀσεβῶν, καθιεῖς αὐτὸν ἔναντι τῶν κριτῶν, καὶ μαστιγώσουσιν αὐτὸν ἐναντίον αὐτῶν κατὰ τὴν ἀσέβειαν αὐτοῦ.
[LXX | EL | OT | Deuteronomy | Chapter 25 | Verse 3] Καὶ ἀριθμῷ τεσσαράκοντα μαστιγώσουσιν αὐτόν οὐ προσθήσουσιν· ἐὰν δὲ προσθῇς μαστιγῶσαι ὑπὲρ ταύτας τὰς πληγὰς πλείους, ἀσχημονήσει ὁ ἀδελφός σου ἐναντίον σου.
[LXX | EL | OT | Deuteronomy | Chapter 25 | Verse 4] Οὐ φιμώσεις βοῦν ἀλοῶντα.
[LXX | EL | OT | Deuteronomy | Chapter 25 | Verse 5] Ἐὰν δὲ κατοικῶσιν ἀδελφοὶ ἐπὶ τὸ αὐτό, καὶ ἀποθάνῃ εἷς ἐξ αὐτῶν, σπέρμα δὲ μὴ ἠν αὐτῷ, οὐκ ἔσται ἡ γυνὴ τοῦ τεθνηκότος ἔξω ἀνδρὶ μὴ ἐγγίζοντι· ὁ ἀδελφὸς τοῦ ἀνδρὸς αὐτῆς εἰσελεύσεται πρὸς αὐτὴν, καὶ λήψεται αὐτὴν ἑαυτῷ γυναῖκα, καὶ συνοικήσει αὐτῇ.
[LXX | EL | OT | Deuteronomy | Chapter 25 | Verse 6] Καὶ ἔσται τὸ παιδίον ὃ ἐὰν τέκῃ, κατασταθήσεται ἐκ τοῦ ὀνόματος τοῦ τετελευτηκότος, καὶ οὐκ ἐξαλειφθήσεται τὸ ὄνομα αὐτοῦ ἐξ Ἰσραήλ.
[LXX | EL | OT | Deuteronomy | Chapter 25 | Verse 7] Ἐὰν δὲ μὴ βούληται ὁ ἄνθρωπος λαβεῖν τὴν γυναῖκα τοῦ ἀδελφοῦ αὐτοῦ, καὶ ἀναβήσεται ἡ γυνὴ ἐπὶ τὴν πύλην ἐπὶ τὴν γερουσίαν, καὶ ἐρεῖ, οὐ θέλει ὁ ἀδελφὸς τοῦ ἀνδρός μου ἀναστῆσαι τὸ ὄνομα τοῦ ἀδελφοῦ αὐτοῦ ἐν Ἰσραήλ, οὐκ ἠθέλησεν ὁ ἀδελφὸς τοῦ ἀνδρός μου.
[LXX | EL | OT | Deuteronomy | Chapter 25 | Verse 8] Καὶ καλέσουσιν αὐτὸν ἡ γερουσία τῆς πόλεως αὐτοῦ, καὶ ἐροῦσιν αὐτῷ· καὶ στὰς εἴπῃ, οὐ βούλομαι λαβεῖν αὐτήν·
[LXX | EL | OT | Deuteronomy | Chapter 25 | Verse 9] καὶ προσελθοῦσα ἡ γυνὴ τοῦ ἀδελφοῦ αὐτοῦ ἔναντι τῆς γερουσίας, καὶ ὑπολύσει τὸ ὑπόδημα αὐτοῦ τὸ ἓν ἀπὸ τοῦ ποδὸς αὐτοῦ, καὶ ἐμπτύσεται κατὰ πρόσωπον αὐτοῦ, καὶ ἀποκριθεῖσα ἐρεῖ, οὕτως ποιήσουσι τῷ ἀνθρώπῳ, ὃς οὐκ οἰκοδομήσει τὸν οἴκον τοῦ ἀδελφοῦ αὐτοῦ ἐν Ἰσραήλ.
[LXX | EL | OT | Deuteronomy | Chapter 25 | Verse 10] Καὶ κληθήσεται τὸ ὄνομα αὐτοῦ ἐν Ἰσραὴλ, οἶκος τοῦ ὑπολυθέντος τὸ ὑπόδημα.
[LXX | EL | OT | Deuteronomy | Chapter 25 | Verse 11] Ἐὰν δὲ μάχωνται ἄνθρωποι ἐπὶ τὸ αὐτό, ἄνθρωπος μετὰ τοῦ ἀδελφοῦ αὐτοῦ, καὶ προσέλθῃ ἡ γυνὴ ἑνὸς αὐτῶν ἐξελέσθαι τὸν ἄνδρα αὐτῆς ἐκ χειρὸς τοῦ τύπτοντος αὐτόν, καὶ ἐκτείνασα τὴν χεῖρα ἐπιλάβηται τῶν διδύμων αὐτοῦ,
