[LXX | EL | OT | Deuteronomy | Chapter 10 | Verse 1] Ἐν ἐκείνῳ τῷ καιρῷ εἶπε Κύριος πρὸς μὲ, λάξευσον σεαυτῷ δύο πλάκας λιθίνας ὥσπερ τὰς πρώτας, καὶ ἀνάβηθι πρὸς μὲ εἰς τὸ ὄρος, καὶ ποιήσεις σεαυτῷ κιβωτὸν ξυλίνην.
[LXX | EL | OT | Deuteronomy | Chapter 10 | Verse 2] Καὶ γράψεις ἐπὶ τὰς πλάκας τὰ ῥήματα, ἃ ἦν ἐν ταῖς πλαξὶν ταῖς πρώταις ἃς συνέτριψας, καὶ ἐμβαλεῖς αὐτὰ εἰς τὴν κιβωτόν.
[LXX | EL | OT | Deuteronomy | Chapter 10 | Verse 3] Καὶ ἐποίησα κιβωτὸν ἐκ ξύλων ἀσήπτων, καὶ ἐλάξευσα τὰς πλάκας λιθίνας ὡς αἱ πρῶται, καὶ ἀνέβην εἰς τὸ ὄρος καὶ αἱ δύο πλάκες ἐπὶ ταῖς χερσί μου.
[LXX | EL | OT | Deuteronomy | Chapter 10 | Verse 4] Καὶ ἔγραψεν ἐπὶ τὰς πλάκας κατὰ τὴν γραφὴν τὴν πρώτην τοὺς δέκα λόγους, οὓς ἐλάλησε Κύριος πρὸς ὑμᾶς ἐν τῷ ὄρει ἐκ μέσου τοῦ πυρός, καὶ ἔδωκεν αὐτὰς Κύριος ἐμοί.
[LXX | EL | OT | Deuteronomy | Chapter 10 | Verse 5] Καὶ ἐπιστρέψας κατέβην ἐκ τοῦ ὄρους, καὶ ἐνέβαλον τὰς πλάκας εἰς τὴν κιβωτὸν ἣν ἐποίησα· καὶ ἦσαν ἐκεῖ, καθὰ ἐνετείλατό μοι Κύριος.
[LXX | EL | OT | Deuteronomy | Chapter 10 | Verse 6] Καὶ οἱ υἱοὶ Ἰσραὴλ ἀπῇραν ἐκ Βηρὼθ υἱῶν Ἰακεὶμ Μισαδαΐ· ἐκεῖ ἀπέθανεν Ἀαρὼν, καὶ ἐτάφη ἐκεῖ, καὶ ἱεράτευσεν Ἐλεάζὰρ υἱὸς αὐτοῦ ἀντʼ αὐτοῦ.
[LXX | EL | OT | Deuteronomy | Chapter 10 | Verse 7] Ἐκεῖθεν ἀπῇραν εἰς Γαδγάδ· καὶ ἀπὸ Γαδγὰδ εἰς Ἐτεβαθᾶ, γῆ χείμαῤῥοι ὑδάτων.
[LXX | EL | OT | Deuteronomy | Chapter 10 | Verse 8] Ἐν ἐκείνῳ τῷ καιρῷ διέστειλε Κύριος τὴν φυλὴν τὴν Λευὶ, αἴρειν τὴν κιβωτὸν τῆς διαθήκης Κυρίου, παρεστάναι ἔναντι Κυρίου, λειτουργεῖν καὶ ἐπεύχεσθαι ἐπὶ τῷ ὀνόματι αὐτοῦ ἕως τῆς ἡμέρας ταύτης.
[LXX | EL | OT | Deuteronomy | Chapter 10 | Verse 9] Διὰ τοῦτο οὐκ ἔστιν τοῖς Λευίταις μερὶς καὶ κλῆρος ἐν τοῖς ἀδελφοῖς αὐτῶν· Κύριος αὐτὸς κλῆρος αὐτοῦ, καθότι εἶπεν αὐτῷ.
[LXX | EL | OT | Deuteronomy | Chapter 10 | Verse 10] Κᾀγὼ εἱστήκειν ἐν τῷ ὄρει τεσσαράκοντα ἡμέρας καὶ τεσσαράκοντα νύκτας. καὶ εἰσήκουσε Κύριος ἐμοῦ καὶ ἐν τῷ καιρῷ τούτῳ, καὶ οὐκ ἠθέλησε Κύριος ἐξολοθρεῦσαι ὑμᾶς.
[LXX | EL | OT | Deuteronomy | Chapter 10 | Verse 11] Καὶ εἶπε Κύριος πρὸς μέ, Βάδιζε, ἄπαρον ἐναντίον τοῦ λαοῦ τούτου, καὶ εἰσπορευέσθωσαν καὶ κληρονομείτωσαν τὴν γῆν, ἣν ὤμοσα τοῖς πατράσιν αὐτῶν δοῦναι αὐτοῖς.
