[BSB | EN | OT | 1 Kings | Chapter 5 | Verse 1] Now when Hiram king of Tyre heard that Solomon had been anointed king in his father’s place, he sent envoys to Solomon; for Hiram had always been a friend of David.
[BSB | EN | OT | 1 Kings | Chapter 5 | Verse 2] And Solomon relayed this message to Hiram:
[BSB | EN | OT | 1 Kings | Chapter 5 | Verse 3] “As you are well aware, due to the wars waged on all sides against my father David, he could not build a house for the Name of the LORD his God until the LORD had put his enemies under his feet.
[BSB | EN | OT | 1 Kings | Chapter 5 | Verse 4] But now the LORD my God has given me rest on every side, and there is no adversary or crisis.
[BSB | EN | OT | 1 Kings | Chapter 5 | Verse 5] So behold, I plan to build a house for the Name of the LORD my God, according to what the LORD said to my father David: ‘I will put your son on your throne in your place, and he will build the house for My Name.’
[BSB | EN | OT | 1 Kings | Chapter 5 | Verse 6] Now therefore, order that cedars of Lebanon be cut down for me. My servants will be with your servants, and I will pay your servants whatever wages you set, for you know that there are none among us as skilled in logging as the Sidonians.”
[BSB | EN | OT | 1 Kings | Chapter 5 | Verse 7] When Hiram received Solomon’s message, he rejoiced greatly and said, “Blessed be the LORD this day! He has given David a wise son over this great people!”
[BSB | EN | OT | 1 Kings | Chapter 5 | Verse 8] Then Hiram sent a reply to Solomon, saying: “I have received your message; I will do all you desire regarding the cedar and cypress timber.
[BSB | EN | OT | 1 Kings | Chapter 5 | Verse 9] My servants will haul the logs from Lebanon to the Sea, and I will float them as rafts by sea to the place you specify. There I will separate the logs, and you can take them away. And in exchange, you can meet my needs by providing my household with food.”
[BSB | EN | OT | 1 Kings | Chapter 5 | Verse 10] So Hiram provided Solomon with all the cedar and cypress timber he wanted,
[BSB | EN | OT | 1 Kings | Chapter 5 | Verse 11] and year after year Solomon would provide Hiram with 20,000 cors of wheat as food for his household, as well as 20,000 baths of pure olive oil.
[BSB | EN | OT | 1 Kings | Chapter 5 | Verse 12] And the LORD gave Solomon wisdom, as He had promised him. There was peace between Hiram and Solomon, and the two of them made a treaty.
[BSB | EN | OT | 1 Kings | Chapter 5 | Verse 13] Then King Solomon conscripted a labor force of 30,000 men from all Israel.
[BSB | EN | OT | 1 Kings | Chapter 5 | Verse 14] He sent them to Lebanon in monthly shifts of 10,000 men, so that they would spend one month in Lebanon and two months at home. And Adoniram was in charge of the forced labor.
[BSB | EN | OT | 1 Kings | Chapter 5 | Verse 15] Solomon had 70,000 porters and 80,000 stonecutters in the mountains,
[BSB | EN | OT | 1 Kings | Chapter 5 | Verse 16] not including his 3,300 foremen who supervised the workers.
[BSB | EN | OT | 1 Kings | Chapter 5 | Verse 17] And the king commanded them to quarry large, costly stones to lay the foundation of the temple with dressed stones.
[BSB | EN | OT | 1 Kings | Chapter 5 | Verse 18] So Solomon’s and Hiram’s builders, along with the Gebalites, quarried the stone and prepared the timber and stone for the construction of the temple.
