[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 1] In the four hundred and eightieth year after the Israelites had come out of the land of Egypt, in the month of Ziv, the second month of the fourth year of Solomon’s reign over Israel, he began to build the house of the LORD.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 2] The house that King Solomon built for the LORD was sixty cubits long, twenty cubits wide, and thirty cubits high.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 3] The portico at the front of the main hall of the temple was twenty cubits long, extending across the width of the temple and projecting out ten cubits in front of the temple.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 4] He also had narrow windows framed high in the temple.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 5] Against the walls of the temple and the inner sanctuary, Solomon built a chambered structure around the temple, in which he constructed the side rooms.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 6] The bottom floor was five cubits wide, the middle floor six cubits, and the third floor seven cubits. He also placed offset ledges around the outside of the temple, so that nothing would be inserted into its walls.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 7] The temple was constructed using finished stones cut at the quarry, so that no hammer or chisel or any other iron tool was heard in the temple while it was being built.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 8] The entrance to the bottom floor was on the south side of the temple. A stairway led up to the middle level, and from there to the third floor.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 9] So Solomon built the temple and finished it, roofing it with beams and planks of cedar.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 10] He built chambers all along the temple, each five cubits high and attached to the temple with beams of cedar.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 11] Then the word of the LORD came to Solomon, saying:
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 12] “As for this temple you are building, if you walk in My statutes, carry out My ordinances, and keep all My commandments by walking in them, I will fulfill through you the promise I made to your father David.
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 13] And I will dwell among the Israelites and will not abandon My people Israel.”
[BSB | EN | OT | 1 Kings | Chapter 6 | Verse 14] So Solomon built the temple and finished it.
