[BSB | EN | OT | 1 Kings | Chapter 4 | Verse 1] So King Solomon ruled over Israel,
[BSB | EN | OT | 1 Kings | Chapter 4 | Verse 2] and these were his chief officials: Azariah son of Zadok was the priest;
[BSB | EN | OT | 1 Kings | Chapter 4 | Verse 3] Elihoreph and Ahijah, the sons of Shisha, were secretaries; Jehoshaphat son of Ahilud was the recorder;
[BSB | EN | OT | 1 Kings | Chapter 4 | Verse 4] Benaiah son of Jehoiada was in charge of the army; Zadok and Abiathar were priests;
[BSB | EN | OT | 1 Kings | Chapter 4 | Verse 5] Azariah son of Nathan was in charge of the governors; Zabud son of Nathan was a priest and adviser to the king;
[BSB | EN | OT | 1 Kings | Chapter 4 | Verse 6] Ahishar was in charge of the palace; and Adoniram son of Abda was in charge of the forced labor.
[BSB | EN | OT | 1 Kings | Chapter 4 | Verse 7] Solomon had twelve governors over all Israel to provide food for the king and his household. Each one would arrange provisions for one month of the year,
[BSB | EN | OT | 1 Kings | Chapter 4 | Verse 8] and these were their names: Ben-hur in the hill country of Ephraim;
[BSB | EN | OT | 1 Kings | Chapter 4 | Verse 9] Ben-deker in Makaz, in Shaalbim, in Beth-shemesh, and in Elon-beth-hanan;
[BSB | EN | OT | 1 Kings | Chapter 4 | Verse 10] Ben-hesed in Arubboth (Socoh and all the land of Hepher belonged to him);
[BSB | EN | OT | 1 Kings | Chapter 4 | Verse 11] Ben-abinadab in Naphath-dor (Taphath, a daughter of Solomon, was his wife);
[BSB | EN | OT | 1 Kings | Chapter 4 | Verse 12] Baana son of Ahilud in Taanach, in Megiddo, and in all of Beth-shean next to Zarethan below Jezreel, from Beth-shean to Abel-meholah and on past Jokmeam;
[BSB | EN | OT | 1 Kings | Chapter 4 | Verse 13] Ben-geber in Ramoth-gilead (the villages of Jair son of Manasseh in Gilead belonged to him, as well as the region of Argob in Bashan with its sixty great cities with walls and bronze bars);
[BSB | EN | OT | 1 Kings | Chapter 4 | Verse 14] Ahinadab son of Iddo in Mahanaim;
[BSB | EN | OT | 1 Kings | Chapter 4 | Verse 15] Ahimaaz in Naphtali (he had married Basemath, a daughter of Solomon);
[BSB | EN | OT | 1 Kings | Chapter 4 | Verse 16] Baana son of Hushai in Asher and in Aloth;
[BSB | EN | OT | 1 Kings | Chapter 4 | Verse 17] Jehoshaphat son of Paruah in Issachar;
[BSB | EN | OT | 1 Kings | Chapter 4 | Verse 18] Shimei son of Ela in Benjamin;
[BSB | EN | OT | 1 Kings | Chapter 4 | Verse 19] Geber son of Uri in the land of Gilead, including the territories of Sihon king of the Amorites and of Og king of Bashan. There was also one governor in the land of Judah.
[BSB | EN | OT | 1 Kings | Chapter 4 | Verse 20] The people of Judah and Israel were as numerous as the sand on the seashore, and they were eating and drinking and rejoicing.
