[VANDYKE | AR | OT | 1 Kings | Chapter 4 | Verse 1] وَمَلَكَ سُلَيْمَانُ عَلَى كُلِّ أَرْجَاءِ إِسْرَائِيلَ.
[VANDYKE | AR | OT | 1 Kings | Chapter 4 | Verse 2] وَهَذِهِ أَسْمَاءُ كِبَارِ مُعَاوِنِيهِ: عَزَرْيَاهُو بْنُ صَادُوقَ الْكَاهِنِ،
[VANDYKE | AR | OT | 1 Kings | Chapter 4 | Verse 3] وَأَلِيحُورَفُ وَأَخِيَّا ابْنَا شِيشَا كَاتِبَا الْبَلاطِ، وَيَهُوشَافَاطُ بْنُ أَخِيلُودَ الْمَسْؤُولُ عَنِ السِّجِلاتِ،
[VANDYKE | AR | OT | 1 Kings | Chapter 4 | Verse 4] وَبَنَايَاهُو بْنُ يَهُويَادَاعَ قَائِدُ الْجَيْشِ، وَصَادُوقُ وَأَبِيَاثَارُ كَاهِنَانِ،
[VANDYKE | AR | OT | 1 Kings | Chapter 4 | Verse 5] وَعَزَرْيَاهُو بْنُ نَاثَانَ مَسْؤُولٌ عَنْ وُكَلاءِ الْمَنَاطِقِ، وَزَابُودُ بْنُ نَاثَانَ كَاهِنٌ وَنَدِيمُ الْمَلِكِ،
[VANDYKE | AR | OT | 1 Kings | Chapter 4 | Verse 6] وَأَخِيشَارُ مُدِيرُ شُؤُونِ الْقَصْرِ، وَأَدُونِيرَامُ بْنُ عَبْدَا مَسْؤُولٌ عَنِ الأَشْغَالِ الشَّاقَّةِ.
[VANDYKE | AR | OT | 1 Kings | Chapter 4 | Verse 7] وَعَيَّنَ سُلَيْمَانُ اثْنَيْ عَشَرَ وَكِيلاً مُوَزَّعِينَ عَلَى أَسْبَاطِ إِسْرَائِيلَ، عَهِدَ إِلَى كُلِّ وَاحِدٍ مِنْهُمْ بِإِمْدَادِ الْقَصْرِ وَأَهْلِهِ بِالْمُؤَنِ شَهْراً مِنْ كُلِّ سَنَةٍ.
[VANDYKE | AR | OT | 1 Kings | Chapter 4 | Verse 8] وَهَذِهِ هِيَ أَسْمَاؤُهُمْ: ابْنُ حُورَ فِي جَبَلِ أَفْرَايِمَ.
[VANDYKE | AR | OT | 1 Kings | Chapter 4 | Verse 9] ابْنُ دَقَرَ فِي مَاقَصَ وَشَعَلُبِّيمَ وَبَيْتِ شَمْسٍ وَأَيْلُونِ بَيْتِ حَانَانَ.
[VANDYKE | AR | OT | 1 Kings | Chapter 4 | Verse 10] ابْنُ حَسَدَ فِي أَرْبُوتَ، وَكَانَ مَسْؤُولاً عَنْ سُوكُوهَ وَسَائِرِ أَرْضِ حَافَرَ أَيْضاً.
[VANDYKE | AR | OT | 1 Kings | Chapter 4 | Verse 11] ابْنُ أَبِينَادَابَ، زَوْجُ طَافَةَ ابْنَةِ سُلَيْمَانَ، فِي كُلِّ مُرْتَفَعَاتِ دُورٍ.
[VANDYKE | AR | OT | 1 Kings | Chapter 4 | Verse 12] بَعْنَا بْنُ أَخِيلُودَ فِي تَعْنَكَ وَمَجِدُّو وَكُلِّ بَيْتِ شَانٍ الْمُجَاوِرَةِ لِصُرْتَانَ أَسْفَلَ يَزْرَعِيلَ، فَضْلاً عَنْ كُلِّ الأَرَاضِي الْوَاقِعَةِ مَا بَيْنَ بَيْتِ شَانٍ وَآبَلِ مَحُولَةَ حَتَّى يَقْمَعَامَ.
[VANDYKE | AR | OT | 1 Kings | Chapter 4 | Verse 13] ابْنُ جَابَرَ فِي رَامُوتِ جِلْعَادَ، بِمَا فِي ذَلِكَ قُرَى يَائِيرَ بْنِ مَنَسَّى فِي جِلْعَادَ، وَإِقْلِيمُ أَرْجُوبَ فِي بَاشَانَ، وَهِيَ سِتُّونَ مَدِينَةً ذَاتَ أَسْوَارٍ وَبَوَّابَاتٍ لَهَا أَرْتَاجٌ نُحَاسِيَّةٌ.
[VANDYKE | AR | OT | 1 Kings | Chapter 4 | Verse 14] أَخِينَادَابُ بْنُ عُدُّو فِي مَحَنَايِمَ.
[VANDYKE | AR | OT | 1 Kings | Chapter 4 | Verse 15] أَخِيمَعَصُ فِي نَفْتَالِي، وَهُوَ أَيْضاً تَزَوَّجَ مِنْ بَاسِمَةَ ابْنَةِ سُلَيْمَانَ.
[VANDYKE | AR | OT | 1 Kings | Chapter 4 | Verse 16] بَعْنَا بْنُ حُوشَايَ فِي أَشِيرَ وَبَعَلُوتَ.
[VANDYKE | AR | OT | 1 Kings | Chapter 4 | Verse 17] يَهُوشَافَاطُ بْنُ فَارُوحَ فِي يَسَّاكَرَ.
[VANDYKE | AR | OT | 1 Kings | Chapter 4 | Verse 18] شِمْعِي بْنُ أَيْلا فِي بِنْيَامِينَ.
[VANDYKE | AR | OT | 1 Kings | Chapter 4 | Verse 19] جَابِرُ بْنُ أُورِي فِي أَرْضِ جِلْعَادَ الَّتِي كَانَتْ لِسِيحُونَ مَلِكِ الأَمُورِيِّينَ وَعُوجَ مَلِكِ بَاشَانَ، وَكَانَ يُشْرِفُ عَلَى هَؤُلاءِ الْوُكَلاءِ مُرَاقِبٌ وَاحِدٌ عَامٌّ.
[VANDYKE | AR | OT | 1 Kings | Chapter 4 | Verse 20] وَكَانَ عَدَدُ يَهُوذَا وَإِسْرَائِيلَ كَرَمْلِ الْبَحْرِ فِي الْكَثْرَةِ لَا يُحْصَى، وَكَانُوا يَأْكُلُونَ وَيَشْرَبُونَ وَيَتَمَتَّعُونَ بِالسَّعَادَةِ.
