[GRCGTR | EL | NT | 1 Corinthians | Chapter 6 | Verse 1] Τολμᾷ τις ὑμῶν, πρᾶγμα ἔχων πρὸς τὸν ἕτερον, κρίνεσθαι ἐπὶ τῶν ἀδίκων, καὶ οὐχὶ ἐπὶ τῶν ἁγίων;
[GRCGTR | EL | NT | 1 Corinthians | Chapter 6 | Verse 2] Οὐκ οἴδατε ὅτι οἱ ἅγιοι τὸν κόσμον κρινοῦσι; Καὶ εἰ ἐν ὑμῖν κρίνεται ὁ κόσμος, ἀνάξιοί ἐστε κριτηρίων ἐλαχίστων;
[GRCGTR | EL | NT | 1 Corinthians | Chapter 6 | Verse 3] Οὐκ οἴδατε ὅτι ἀγγέλους κρινοῦμεν; Μήτι γε βιωτικά;
[GRCGTR | EL | NT | 1 Corinthians | Chapter 6 | Verse 4] Βιωτικὰ μὲν οὖν κριτήρια ἐὰν ἔχητε, τοὺς ἐξουθενημένους ἐν τῇ ἐκκλησίᾳ, τούτους καθίζετε.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 6 | Verse 5] Πρὸς ἐντροπὴν ὑμῖν λέγω. Οὕτως οὐκ ἔστιν ἐν ὑμῖν σοφὸς οὐδὲ εἷς, ὃς δυνήσεται διακρῖναι ἀνὰ μέσον τοῦ ἀδελφοῦ αὐτοῦ,
[GRCGTR | EL | NT | 1 Corinthians | Chapter 6 | Verse 6] ἀλλὰ ἀδελφὸς μετὰ ἀδελφοῦ κρίνεται, καὶ τοῦτο ἐπὶ ἀπίστων;
[GRCGTR | EL | NT | 1 Corinthians | Chapter 6 | Verse 7] Ἤδη μὲν οὖν ὅλως ἥττημα ἐν ὑμῖν ἐστιν, ὅτι κρίματα ἔχετε μεθ᾿ ἑαυτῶν. Διὰ τί οὐχὶ μᾶλλον ἀδικεῖσθε; Διὰ τί οὐχὶ μᾶλλον ἀποστερεῖσθε;
[GRCGTR | EL | NT | 1 Corinthians | Chapter 6 | Verse 8] Ἀλλὰ ὑμεῖς ἀδικεῖτε καὶ ἀποστερεῖτε, καὶ ταῦτα ἀδελφούς.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 6 | Verse 9] Ἢ οὐκ οἴδατε ὅτι ἄδικοι βασιλείαν Θεοῦ οὐ κληρονομήσουσι; Μὴ πλανᾶσθε· οὔτε πόρνοι, οὔτε εἰδωλολάτραι, οὔτε μοιχοί, οὔτε μαλακοί, οὔτε ἀρσενοκοῖται,
[GRCGTR | EL | NT | 1 Corinthians | Chapter 6 | Verse 10] οὔτε κλέπται, οὔτε πλεονέκται, οὔτε μέθυσοι, οὐ λοίδοροι, οὐχ ἅρπαγες, βασιλείαν Θεοῦ οὐ κληρονομήσουσι.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 6 | Verse 11] Καὶ ταῦτά τινες ἦτε· ἀλλὰ ἀπελούσασθε, ἀλλὰ ἡγιάσθητε, ἀλλ᾿ ἐδικαιώθητε ἐν τῷ ὀνόματι τοῦ Κυρίου Ἰησοῦ, καὶ ἐν τῷ πνεύματι τοῦ Θεοῦ ἡμῶν.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 6 | Verse 12] Πάντα μοι ἔξεστιν, ἀλλ᾿ οὐ πάντα συμφέρει· πάντα μοι ἔξεστιν, ἀλλ᾿ οὐκ ἐγὼ ἐξουσιασθήσομαι ὑπό τινος.
