[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 1] Οὐ θέλω δὲ ὑμᾶς ἀγνοεῖν, ἀδελφοί, ὅτι οἱ πατέρες ἡμῶν πάντες ὑπὸ τὴν νεφέλην ἦσαν, καὶ πάντες διὰ τῆς θαλάσσης διῆλθον,
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 2] καὶ πάντες εἰς τὸν Μωσῆν ἐβαπτίσαντο ἐν τῇ νεφέλῃ καὶ ἐν τῇ θαλάσσῃ,
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 3] καὶ πάντες τὸ αὐτὸ βρῶμα πνευματικὸν ἔφαγον,
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 4] καὶ πάντες τὸ αὐτὸ πόμα πνευματικὸν ἔπιον· ἔπινον γὰρ ἐκ πνευματικῆς ἀκολουθούσης πέτρας· ἡ δὲ πέτρα ἦν ὁ Χριστός.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 5] Ἀλλ᾿ οὐκ ἐν τοῖς πλείοσιν αὐτῶν εὐδόκησεν ὁ Θεός· κατεστρώθησαν γὰρ ἐν τῇ ἐρήμῳ.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 6] Ταῦτα δὲ τύποι ἡμῶν ἐγενήθησαν, εἰς τὸ μὴ εἶναι ἡμᾶς ἐπιθυμητὰς κακῶν, καθὼς κἀκεῖνοι ἐπεθύμησαν.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 7] Μηδὲ εἰδωλολάτραι γίνεσθε, καθώς τινες αὐτῶν· ὡς γέγραπται, Ἐκάθισεν ὁ λαὸς φαγεῖν καὶ πιεῖν, καὶ ἀνέστησαν παίζειν.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 8] Μηδὲ πορνεύωμεν, καθώς τινες αὐτῶν ἐπόρνευσαν, καὶ ἔπεσον ἐν μιᾷ ἡμέρᾳ εἴκοσι τρεῖς χιλιάδες.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 9] Μηδὲ ἐκπειράζωμεν τὸν Χριστόν, καθὼς καί τινες αὐτῶν ἐπείρασαν, καὶ ὑπὸ τῶν ὄφεων ἀπώλοντο.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 10] Μηδὲ γογγύζετε, καθὼς καί τινες αὐτῶν ἐγόγγυσαν, καὶ ἀπώλοντο ὑπὸ τοῦ ὀλοθρευτοῦ.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 11] Ταῦτα δὲ πάντα τύποι συνέβαινον ἐκείνοις· ἐγράφη δὲ πρὸς νουθεσίαν ἡμῶν, εἰς οὓς τὰ τέλη τῶν αἰώνων κατήντησεν.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 12] Ὥστε ὁ δοκῶν ἑστάναι, βλεπέτω μὴ πέσῃ.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 13] Πειρασμὸς ὑμᾶς οὐκ εἴληφεν εἰ μὴ ἀνθρώπινος· πιστὸς δὲ ὁ Θεός, ὃς οὐκ ἐάσει ὑμᾶς πειρασθῆναι ὑπὲρ ὃ δύνασθε, ἀλλὰ ποιήσει σὺν τῷ πειρασμῷ καὶ τὴν ἔκβασιν, τοῦ δύνασθαι ὑμᾶς ὑπενεγκεῖν.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 14] Διόπερ, ἀγαπητοί μου, φεύγετε ἀπὸ τῆς εἰδωλολατρείας.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 15] Ὡς φρονίμοις λέγω, κρίνατε ὑμεῖς ὅ φημι.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 16] Τὸ ποτήριον τῆς εὐλογίας ὃ εὐλογοῦμεν, οὐχὶ κοινωνία τοῦ αἵματος τοῦ Χριστοῦ ἐστί; Τὸν ἄρτον ὃν κλῶμεν, οὐχὶ κοινωνία τοῦ σώματος τοῦ Χριστοῦ ἐστίν;
[GRCGTR | EL | NT | 1 Corinthians | Chapter 10 | Verse 17] Ὅτι εἷς ἄρτος, ἓν σῶμα, οἱ πολλοί ἐσμεν· οἱ γὰρ πάντες ἐκ τοῦ ἑνὸς ἄρτου μετέχομεν.
