[GRCGTR | EL | NT | 1 Corinthians | Chapter 16 | Verse 1] Περὶ δὲ τῆς λογίας τῆς εἰς τοὺς ἁγίους, ὥσπερ διέταξα ταῖς ἐκκλησίαις τῆς Γαλατίας, οὕτω καὶ ὑμεῖς ποιήσατε.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 16 | Verse 2] Κατὰ μίαν σαββάτων ἕκαστος ὑμῶν παρ᾿ ἑαυτῷ τιθέτω, θησαυρίζων ὅ τι ἂν εὐοδῶται, ἵνα μή, ὅταν ἔλθω, τότε λογίαι γίνωνται.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 16 | Verse 3] Ὅταν δὲ παραγένωμαι, οὓς ἐὰν δοκιμάσητε δι᾿ ἐπιστολῶν, τούτους πέμψω ἀπενεγκεῖν τὴν χάριν ὑμῶν εἰς Ἱερουσαλήμ·
[GRCGTR | EL | NT | 1 Corinthians | Chapter 16 | Verse 4] ἐὰν δὲ ᾖ ἄξιον τοῦ κἀμὲ πορεύεσθαι, σὺν ἐμοὶ πορεύσονται.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 16 | Verse 5] Ἐλεύσομαι δὲ πρὸς ὑμᾶς, ὅταν Μακεδονίαν διέλθω· Μακεδονίαν γὰρ διέρχομαι·
[GRCGTR | EL | NT | 1 Corinthians | Chapter 16 | Verse 6] πρὸς ὑμᾶς δὲ τυχὸν παραμενῶ, ἢ καὶ παραχειμάσω, ἵνα ὑμεῖς με προπέμψητε οὗ ἐὰν πορεύωμαι.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 16 | Verse 7] Οὐ θέλω γὰρ ὑμᾶς ἄρτι ἐν παρόδῳ ἰδεῖν· ἐλπίζω δὲ χρόνον τινὰ ἐπιμεῖναι πρὸς ὑμᾶς, ἐὰν ὁ Κύριος ἐπιτρέπῃ.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 16 | Verse 8] Ἐπιμενῶ δὲ ἐν Ἐφέσῳ ἕως τῆς Πεντηκοστῆς·
[GRCGTR | EL | NT | 1 Corinthians | Chapter 16 | Verse 9] θύρα γάρ μοι ἀνέῳγε μεγάλη καὶ ἐνεργής, καὶ ἀντικείμενοι πολλοί.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 16 | Verse 10] Ἐὰν δὲ ἔλθῃ Τιμόθεος, βλέπετε ἵνα ἀφόβως γένηται πρὸς ὑμᾶς· τὸ γὰρ ἔργον Κυρίου + 16:10 ἐργάζεται ¦ ἐγάζεται ST ἐργάζεται ὡς καὶ ἐγώ.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 16 | Verse 11] Μή τις οὖν αὐτὸν ἐξουθενήσῃ· προπέμψατε δὲ αὐτὸν ἐν εἰρήνῃ, ἵνα ἔλθῃ πρός με· ἐκδέχομαι γὰρ αὐτὸν μετὰ τῶν ἀδελφῶν.
