[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 1] Γνωρίζω δὲ ὑμῖν, ἀδελφοί, τὸ εὐαγγέλιον ὃ εὐηγγελισάμην ὑμῖν, ὃ καὶ παρελάβετε, ἐν ᾧ καὶ ἑστήκατε,
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 2] δι᾿ οὗ καὶ σώζεσθε· τίνι λόγῳ εὐηγγελισάμην ὑμῖν, εἰ κατέχετε, ἐκτὸς εἰ μὴ εἰκῇ ἐπιστεύσατε.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 3] Παρέδωκα γὰρ ὑμῖν ἐν πρώτοις, ὃ καὶ παρέλαβον, ὅτι Χριστὸς ἀπέθανεν ὑπὲρ τῶν ἁμαρτιῶν ἡμῶν κατὰ τὰς γραφάς·
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 4] καὶ ὅτι ἐτάφη· καὶ ὅτι ἐγήγερται τῇ τρίτῃ ἡμέρᾳ κατὰ τὰς γραφάς·
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 5] καὶ ὅτι ὤφθη Κηφᾷ, εἶτα τοῖς δώδεκα·
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 6] ἔπειτα ὤφθη ἐπάνω πεντακοσίοις ἀδελφοῖς ἐφάπαξ, ἐξ ὧν οἱ πλείους μένουσιν ἕως ἄρτι, τινὲς δὲ καὶ ἐκοιμήθησαν·
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 7] ἔπειτα ὤφθη Ἰακώβῳ, εἶτα τοῖς ἀποστόλοις πᾶσιν·
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 8] ἔσχατον δὲ πάντων, ὡσπερεὶ τῷ ἐκτρώματι, ὤφθη κἀμοί.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 9] Ἐγὼ γάρ εἰμι ὁ ἐλάχιστος τῶν ἀποστόλων, ὃς οὐκ εἰμὶ ἱκανὸς καλεῖσθαι ἀπόστολος, διότι ἐδίωξα τὴν ἐκκλησίαν τοῦ Θεοῦ.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 10] Χάριτι δὲ Θεοῦ εἰμι ὅ εἰμι, καὶ ἡ χάρις αὐτοῦ ἡ εἰς ἐμὲ οὐ κενὴ ἐγενήθη, ἀλλὰ περισσότερον αὐτῶν πάντων ἐκοπίασα, οὐκ ἐγὼ δέ, ἀλλ᾿ ἡ χάρις τοῦ Θεοῦ ἡ σὺν ἐμοί.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 11] Εἴτε οὖν ἐγώ, εἴτε ἐκεῖνοι, οὕτω κηρύσσομεν καὶ οὕτως ἐπιστεύσατε.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 12] Εἰ δὲ Χριστὸς κηρύσσεται ὅτι ἐκ νεκρῶν ἐγήγερται, πῶς λέγουσί τινες ἐν ὑμῖν ὅτι ἀνάστασις νεκρῶν οὐκ ἔστιν;
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 13] Εἰ δὲ ἀνάστασις νεκρῶν οὐκ ἔστιν, οὐδὲ Χριστὸς ἐγήγερται·
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 14] εἰ δὲ Χριστὸς οὐκ ἐγήγερται, κενὸν ἄρα τὸ κήρυγμα ἡμῶν, κενὴ δὲ καὶ ἡ πίστις ὑμῶν.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 15] Εὑρισκόμεθα δὲ καὶ ψευδομάρτυρες τοῦ Θεοῦ, ὅτι ἐμαρτυρήσαμεν κατὰ τοῦ Θεοῦ ὅτι ἤγειρε τὸν Χριστόν, ὃν οὐκ ἤγειρεν, εἴπερ ἄρα νεκροὶ οὐκ ἐγείρονται.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 16] Εἰ γὰρ νεκροὶ οὐκ ἐγείρονται, οὐδὲ Χριστὸς ἐγήγερται·
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 17] εἰ δὲ Χριστὸς οὐκ ἐγήγερται, ματαία ἡ πίστις ὑμῶν· ἔτι ἐστὲ ἐν ταῖς ἁμαρτίαις ὑμῶν.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 18] Ἄρα καὶ οἱ κοιμηθέντες ἐν Χριστῷ ἀπώλοντο.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 19] Εἰ ἐν τῇ ζωῇ ταύτῃ ἠλπικότες ἐσμὲν ἐν Χριστῷ μόνον, ἐλεεινότεροι πάντων ἀνθρώπων ἐσμέν.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 20] Νυνὶ δὲ Χριστὸς ἐγήγερται ἐκ νεκρῶν, ἀπαρχὴ τῶν κεκοιμημένων ἐγένετο.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 21] Ἐπειδὴ γὰρ δι᾿ ἀνθρώπου ὁ θάνατος, καὶ δι᾿ ἀνθρώπου ἀνάστασις νεκρῶν.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 22] Ὥσπερ γὰρ ἐν τῷ Ἀδὰμ πάντες ἀποθνῄσκουσιν, οὕτω καὶ ἐν τῷ Χριστῷ πάντες ζῳοποιηθήσονται.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 23] Ἕκαστος δὲ ἐν τῷ ἰδίῳ τάγματι· ἀπαρχὴ Χριστός, ἔπειτα οἱ Χριστοῦ ἐν τῇ παρουσίᾳ αὐτοῦ.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 15 | Verse 24] Εἶτα τὸ τέλος, ὅταν παραδῷ τὴν βασιλείαν τῷ Θεῷ καὶ πατρί, ὅταν καταργήσῃ πᾶσαν ἀρχὴν καὶ πᾶσαν ἐξουσίαν καὶ δύναμιν.
