[GRCGTR | EL | NT | 1 Corinthians | Chapter 3 | Verse 1] Καὶ ἐγώ, ἀδελφοί, οὐκ ἠδυνήθην λαλῆσαι ὑμῖν ὡς πνευματικοῖς, ἀλλ᾿ ὡς σαρκικοῖς, ὡς νηπίοις ἐν Χριστῷ.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 3 | Verse 2] Γάλα ὑμᾶς ἐπότισα, καὶ οὐ βρῶμα· οὔπω γὰρ ἠδύνασθε, ἀλλ᾿ οὔτε ἔτι νῦν δύνασθε·
[GRCGTR | EL | NT | 1 Corinthians | Chapter 3 | Verse 3] ἔτι γὰρ σαρκικοί ἐστε· ὅπου γὰρ ἐν ὑμῖν ζῆλος καὶ ἔρις καὶ διχοστασίαι, οὐχὶ σαρκικοί ἐστε, καὶ κατὰ ἄνθρωπον περιπατεῖτε;
[GRCGTR | EL | NT | 1 Corinthians | Chapter 3 | Verse 4] Ὅταν γὰρ λέγῃ τις, Ἐγὼ μέν εἰμι Παύλου, ἕτερος δέ, Ἐγὼ Ἀπολλώ, οὐχὶ σαρκικοί ἐστε;
[GRCGTR | EL | NT | 1 Corinthians | Chapter 3 | Verse 5] Τίς οὖν ἐστι Παῦλος, τίς δὲ Ἀπολλώς, ἀλλ᾿ ἢ διάκονοι δι᾿ ὧν ἐπιστεύσατε, καὶ ἑκάστῳ ὡς ὁ Κύριος ἔδωκεν;
[GRCGTR | EL | NT | 1 Corinthians | Chapter 3 | Verse 6] Ἐγὼ ἐφύτευσα, Ἀπολλὼς ἐπότισεν, ἀλλ᾿ ὁ Θεὸς ηὔξανεν.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 3 | Verse 7] Ὥστε οὔτε ὁ φυτεύων ἐστί τι, οὔτε ὁ ποτίζων, ἀλλ᾿ ὁ αὐξάνων Θεός.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 3 | Verse 8] Ὁ φυτεύων δὲ καὶ ὁ ποτίζων ἕν εἰσιν· ἕκαστος δὲ τὸν ἴδιον μισθὸν λήψεται κατὰ τὸν ἴδιον κόπον.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 3 | Verse 9] Θεοῦ γάρ ἐσμεν συνεργοί· Θεοῦ γεώργιον, Θεοῦ οἰκοδομή ἐστε.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 3 | Verse 10] Κατὰ τὴν χάριν τοῦ Θεοῦ τὴν δοθεῖσάν μοι, ὡς σοφὸς ἀρχιτέκτων θεμέλιον τέθεικα, ἄλλος δὲ ἐποικοδομεῖ. Ἕκαστος δὲ βλεπέτω πῶς ἐποικοδομεῖ.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 3 | Verse 11] Θεμέλιον γὰρ ἄλλον οὐδεὶς δύναται θεῖναι παρὰ τὸν κείμενον, ὅς ἐστιν Ἰησοῦς ὁ Χριστός.
