[GRCGTR | EL | NT | 1 Corinthians | Chapter 12 | Verse 1] Περὶ δὲ τῶν πνευματικῶν, ἀδελφοί, οὐ θέλω ὑμᾶς ἀγνοεῖν.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 12 | Verse 2] Οἴδατε ὅτι ἔθνη ἦτε πρὸς τὰ εἴδωλα τὰ ἄφωνα, ὡς ἂν ἤγεσθε, ἀπαγόμενοι.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 12 | Verse 3] Διὸ γνωρίζω ὑμῖν ὅτι οὐδεὶς ἐν πνεύματι Θεοῦ λαλῶν λέγει Ἀνάθεμα Ἰησοῦν· καὶ οὐδεὶς δύναται εἰπεῖν, Κύριον Ἰησοῦν, εἰ μὴ ἐν πνεύματι ἁγίῳ.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 12 | Verse 4] Διαιρέσεις δὲ χαρισμάτων εἰσί, τὸ δὲ αὐτὸ πνεῦμα.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 12 | Verse 5] Καὶ διαιρέσεις διακονιῶν εἰσί, καὶ ὁ αὐτὸς Κύριος.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 12 | Verse 6] Καὶ διαιρέσεις ἐνεργημάτων εἰσίν, ὁ δὲ αὐτός ἐστι Θεός, ὁ ἐνεργῶν τὰ πάντα ἐν πᾶσιν.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 12 | Verse 7] Ἑκάστῳ δὲ δίδοται ἡ φανέρωσις τοῦ πνεύματος πρὸς τὸ συμφέρον.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 12 | Verse 8] ᾯ μὲν γὰρ διὰ τοῦ πνεύματος δίδοται λόγος σοφίας, ἄλλῳ δὲ λόγος γνώσεως, κατὰ τὸ αὐτὸ πνεῦμα·
[GRCGTR | EL | NT | 1 Corinthians | Chapter 12 | Verse 9] ἑτέρῳ δὲ πίστις, ἐν τῷ αὐτῷ πνεύματι· ἄλλῳ δὲ χαρίσματα ἰαμάτων ἐν τῷ αὐτῷ πνεύματι·
[GRCGTR | EL | NT | 1 Corinthians | Chapter 12 | Verse 10] ἄλλῳ δὲ ἐνεργήματα δυνάμεων, ἄλλῳ δὲ προφητεία, ἄλλῳ δὲ διακρίσεις πνευμάτων, ἑτέρῳ δὲ γένη γλωσσῶν, ἄλλῳ δὲ ἑρμηνεία γλωσσῶν·
[GRCGTR | EL | NT | 1 Corinthians | Chapter 12 | Verse 11] πάντα δὲ ταῦτα ἐνεργεῖ τὸ ἓν καὶ τὸ αὐτὸ πνεῦμα, διαιροῦν ἰδίᾳ ἑκάστῳ καθὼς βούλεται.
