[GRCGTR | EL | NT | 1 Corinthians | Chapter 7 | Verse 1] Περὶ δὲ ὧν ἐγράψατέ μοι, καλὸν ἀνθρώπῳ γυναικὸς μὴ ἅπτεσθαι.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 7 | Verse 2] Διὰ δὲ τὰς πορνείας ἕκαστος τὴν ἑαυτοῦ γυναῖκα ἐχέτω, καὶ ἑκάστη τὸν ἴδιον ἄνδρα ἐχέτω.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 7 | Verse 3] Τῇ γυναικὶ ὁ ἀνὴρ τὴν ὀφειλομένην εὔνοιαν ἀποδιδότω· ὁμοίως δὲ καὶ ἡ γυνὴ τῷ ἀνδρί.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 7 | Verse 4] Ἡ γυνὴ τοῦ ἰδίου σώματος + 7:4 οὐκ ¦ ὀκ ST οὐκ ἐξουσιάζει, ἀλλ᾿ ὁ ἀνήρ· ὁμοίως δὲ καὶ ὁ ἀνὴρ τοῦ ἰδίου σώματος οὐκ ἐξουσιάζει, ἀλλ᾿ ἡ γυνή.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 7 | Verse 5] Μὴ ἀποστερεῖτε ἀλλήλους, εἰ μήτι ἂν ἐκ συμφώνου πρὸς καιρόν, ἵνα σχολάζητε τῇ νηστείᾳ καὶ τῇ προσευχῇ, καὶ πάλιν ἐπὶ τὸ αὐτὸ + 7:5 συνέρχησθε ¦ συνέρχεσθε ELZ συνέρχησθε, ἵνα μὴ πειράζῃ ὑμᾶς ὁ Σατανᾶς διὰ τὴν ἀκρασίαν ὑμῶν.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 7 | Verse 6] Τοῦτο δὲ λέγω κατὰ συγγνώμην, οὐ κατ᾿ ἐπιταγήν.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 7 | Verse 7] Θέλω γὰρ πάντας ἀνθρώπους εἶναι ὡς καὶ ἐμαυτόν· ἀλλ᾿ ἕκαστος ἴδιον χάρισμα ἔχει ἐκ Θεοῦ, ὃς μὲν οὕτως, ὃς δὲ οὕτως.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 7 | Verse 8] Λέγω δὲ τοῖς ἀγάμοις καὶ ταῖς χήραις, καλὸν αὐτοῖς ἐστιν ἐὰν μείνωσιν ὡς κἀγώ.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 7 | Verse 9] Εἰ δὲ οὐκ ἐγκρατεύονται, γαμησάτωσαν· κρεῖσσον γάρ ἐστι γαμῆσαι ἢ πυροῦσθαι.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 7 | Verse 10] Τοῖς δὲ γεγαμηκόσι παραγγέλλω, οὐκ ἐγώ, ἀλλ᾿ ὁ Κύριος, γυναῖκα ἀπὸ ἀνδρὸς μὴ χωρισθῆναι·
[GRCGTR | EL | NT | 1 Corinthians | Chapter 7 | Verse 11] ἐὰν δὲ καὶ χωρισθῇ, μενέτω ἄγαμος, ἢ τῷ ἀνδρὶ καταλλαγήτω — καὶ ἄνδρα γυναῖκα μὴ ἀφιέναι.
