[GRCGTR | EL | NT | 1 Corinthians | Chapter 13 | Verse 1] Ἐὰν ταῖς γλώσσαις τῶν ἀνθρώπων λαλῶ καὶ τῶν ἀγγέλων, ἀγάπην δὲ μὴ ἔχω, γέγονα χαλκὸς ἠχῶν ἢ κύμβαλον ἀλαλάζον.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 13 | Verse 2] Καὶ ἐὰν ἔχω προφητείαν, καὶ εἰδῶ τὰ μυστήρια πάντα καὶ πᾶσαν τὴν γνῶσιν, καὶ ἐὰν ἔχω πᾶσαν τὴν πίστιν, ὥστε ὄρη μεθιστάνειν, ἀγάπην δὲ μὴ ἔχω, + 13:2 οὐδέν ¦ οὐθέν ST οὐδέν εἰμι.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 13 | Verse 3] Καὶ ἐὰν + 13:3 ψωμίσω ¦ ψωμίζω ELZ ψωμίσω πάντα τὰ ὑπάρχοντά μου, καὶ ἐὰν παραδῶ τὸ σῶμά μου ἵνα καυθήσωμαι, ἀγάπην δὲ μὴ ἔχω, οὐδὲν ὠφελοῦμαι.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 13 | Verse 4] Ἡ ἀγάπη μακροθυμεῖ, χρηστεύεται· ἡ ἀγάπη οὐ ζηλοῖ· ἡ ἀγάπη οὐ περπερεύεται, οὐ φυσιοῦται,
[GRCGTR | EL | NT | 1 Corinthians | Chapter 13 | Verse 5] οὐκ ἀσχημονεῖ, οὐ ζητεῖ τὰ ἑαυτῆς, οὐ παροξύνεται, οὐ λογίζεται τὸ κακόν,
[GRCGTR | EL | NT | 1 Corinthians | Chapter 13 | Verse 6] οὐ χαίρει ἐπὶ τῇ ἀδικίᾳ, συγχαίρει δὲ τῇ ἀληθείᾳ,
[GRCGTR | EL | NT | 1 Corinthians | Chapter 13 | Verse 7] πάντα στέγει, πάντα πιστεύει, πάντα ἐλπίζει, πάντα ὑπομένει.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 13 | Verse 8] Ἡ ἀγάπη οὐδέποτε ἐκπίπτει· εἴτε δὲ προφητεῖαι, καταργηθήσονται· εἴτε γλῶσσαι, παύσονται· εἴτε γνῶσις, καταργηθήσεται.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 13 | Verse 9] Ἐκ μέρους γὰρ γινώσκομεν, καὶ ἐκ μέρους προφητεύομεν·
[GRCGTR | EL | NT | 1 Corinthians | Chapter 13 | Verse 10] ὅταν δὲ ἔλθῃ τὸ τέλειον, τότε τὸ ἐκ μέρους καταργηθήσεται.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 13 | Verse 11] Ὅτε ἤμην νήπιος, ὡς νήπιος ἐλάλουν, ὡς νήπιος ἐφρόνουν, ὡς νήπιος ἐλογιζόμην· ὅτε δὲ γέγονα ἀνήρ, κατήργηκα τὰ τοῦ νηπίου.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 13 | Verse 12] Βλέπομεν γὰρ ἄρτι δι᾿ ἐσόπτρου ἐν αἰνίγματι, τότε δὲ πρόσωπον πρὸς πρόσωπον· ἄρτι γινώσκω ἐκ μέρους, τότε δὲ ἐπιγνώσομαι καθὼς καὶ ἐπεγνώσθην.
[GRCGTR | EL | NT | 1 Corinthians | Chapter 13 | Verse 13] Νυνὶ δὲ μένει πίστις, ἐλπίς, ἀγάπη, τὰ τρία ταῦτα· μείζων δὲ τούτων ἡ ἀγάπη.
