[GNV | EN | NT | Revelation | Chapter 7 | Verse 1] And after that, I sawe foure Angels stand on the foure corners of the earth, holding the foure windes of the earth, that the winds should not blow on the earth, neither on the sea, neither on any tree.
[GNV | EN | NT | Revelation | Chapter 7 | Verse 2] And I sawe another Angel come vp from the East, which had the seale of the liuing God, and hee cried with a loud voice to the foure Angels to who power was giuen to hurt the earth, and the sea, saying,
[GNV | EN | NT | Revelation | Chapter 7 | Verse 3] Hurt ye not the earth, neither the sea, neither the trees, til we haue sealed the seruants of our God in their foreheads.
[GNV | EN | NT | Revelation | Chapter 7 | Verse 4] And I heard the number of them, which were sealed, and there were sealed an hundreth and foure and fourtie thousand of all the tribes of the children of Israel.
[GNV | EN | NT | Revelation | Chapter 7 | Verse 5] Of the tribe of Iuda were sealed twelue thousande. Of the tribe of Ruben were sealed twelue thousande. Of the tribe of Gad were sealed twelue thousande.
[GNV | EN | NT | Revelation | Chapter 7 | Verse 6] Of the tribe of Aser were sealed twelue thousand. Of the tribe of Nephthali were sealed twelue thousand. Of the tribe of Manasses were sealed twelue thousand.
[GNV | EN | NT | Revelation | Chapter 7 | Verse 7] Of the tribe of Simeon were sealed twelue thousande. Of the tribe of Leui were sealed twelue thousande. Of the tribe of Issachar were sealed twelue thousand. Of the tribe of Zabulon were sealed twelue thousand.
[GNV | EN | NT | Revelation | Chapter 7 | Verse 8] Of the tribe of Ioseph were sealed twelue thousande. Of the tribe of Beniamin were sealed twelue thousand.
[GNV | EN | NT | Revelation | Chapter 7 | Verse 9] After these thinges I behelde, and loe a great multitude, which no man coulde number, of all nations and kindreds, and people, and tongues, stoode before the throne, and before the Lambe, clothed with long white robes, and palmes in their hands.
[GNV | EN | NT | Revelation | Chapter 7 | Verse 10] And they cried with a loud voice, saying, Saluation commeth of our God, that sitteth vpon the throne, and of the Lambe.
[GNV | EN | NT | Revelation | Chapter 7 | Verse 11] And all the Angels stoode rounde about the throne, and about the Elders, and the foure beastes, and they fell before the throne on their faces, and worshipped God,
[GNV | EN | NT | Revelation | Chapter 7 | Verse 12] Saying, Amen. Praise, and glorie, and wisdom, and thankes, and honour, and power, and might bee vnto our God for euermore, Amen.
[GNV | EN | NT | Revelation | Chapter 7 | Verse 13] And one of the Elders spake, saying vnto me, What are these which are araied in log white robes? and whence came they?
[GNV | EN | NT | Revelation | Chapter 7 | Verse 14] And I saide vnto him, Lord, thou knowest. And he saide to me, These are they, which came out of great tribulation, and haue washed their long robes, and haue made their long robes white in the blood of the Lambe.
[GNV | EN | NT | Revelation | Chapter 7 | Verse 15] Therefore are they in the presence of the throne of God, and serue him day and night in his Temple, and he that sitteth on the throne, wil dwell among them.
[GNV | EN | NT | Revelation | Chapter 7 | Verse 16] They shall hunger no more, neither thirst any more, neither shall the sunne light on them, neither any heate.
[GNV | EN | NT | Revelation | Chapter 7 | Verse 17] For the Lambe, which is in the middes of the throne, shall gouerne them, and shall leade them vnto the liuely fountaines of waters, and God shall wipe away all teares from their eyes.
