[GNV | EN | NT | Revelation | Chapter 13 | Verse 1] And I saw a beast rise out of the sea, hauing seuen heads, and ten hornes, and vpon his hornes were ten crownes, and vpon his heads the name of blasphemie.
[GNV | EN | NT | Revelation | Chapter 13 | Verse 2] And the beast which I sawe, was like a Leopard, and his feete like a beares, and his mouth as the mouth of a lion: and the dragon gaue him his power and his throne, and great authoritie.
[GNV | EN | NT | Revelation | Chapter 13 | Verse 3] And I sawe one of his heads as it were wounded to death, but his deadly wound was healed, and all the world wondred and folowed the beast.
[GNV | EN | NT | Revelation | Chapter 13 | Verse 4] And they worshipped the dragon which gaue power vnto the beast, and they worshipped the beast, saying, Who is like vnto the beast! who is able to warre with him!
[GNV | EN | NT | Revelation | Chapter 13 | Verse 5] And there was giuen vnto him a mouth, that spake great things and blasphemies, and power was giuen vnto him, to doe two and fourtie moneths.
[GNV | EN | NT | Revelation | Chapter 13 | Verse 6] And he opened his mouth vnto blasphemie against God, to blaspheme his Name, and his tabernacle, and them that dwell in heauen.
[GNV | EN | NT | Revelation | Chapter 13 | Verse 7] And it was giuen vnto him to make warre with the Saints, and to ouercome them, and power was giuen him ouer euery kinred, and tongue, and nation.
[GNV | EN | NT | Revelation | Chapter 13 | Verse 8] Therefore all that dwell vpon the earth, shall worship him, whose names are not written in the booke of life of that Lambe, which was slaine from the beginning of the world.
[GNV | EN | NT | Revelation | Chapter 13 | Verse 9] If any man haue an eare, let him heare.
[GNV | EN | NT | Revelation | Chapter 13 | Verse 10] If any leade into captiuitie, hee shall go into captiuitie: if any kill with a sword, he must be killed by a sword: here is the patience and the faith of the Saints.
[GNV | EN | NT | Revelation | Chapter 13 | Verse 11] And I beheld another beast comming vp out of the earth, which had two hornes like the Lambe, but he spake like the dragon.
[GNV | EN | NT | Revelation | Chapter 13 | Verse 12] And he did all that the first beast could doe before him, and he caused the earth, and them which dwell therein, to worship the first beast, whose deadly wound was healed.
[GNV | EN | NT | Revelation | Chapter 13 | Verse 13] And he did great wonders, so that hee made fire to come downe from heauen on the earth, in the sight of men,
[GNV | EN | NT | Revelation | Chapter 13 | Verse 14] And deceiued them that dwell on the earth by the signes, which were permitted to him to doe in the sight of the beast, saying to them that dwell on the earth, that they should make the image of the beast, which had the wound of a sword, and did liue.
[GNV | EN | NT | Revelation | Chapter 13 | Verse 15] And it was permitted to him to giue a spirit vnto the image of the beast, so that the image of the beast should speake, and should cause that as many as would not worship the image of the beast, should be killed.
[GNV | EN | NT | Revelation | Chapter 13 | Verse 16] And he made all, both small and great, rich and poore, free and bond, to receiue a marke in their right hand or in their foreheads,
[GNV | EN | NT | Revelation | Chapter 13 | Verse 17] And that no man might buy or sell, saue hee that had the marke, or the name of the beast, or the number of his name.
[GNV | EN | NT | Revelation | Chapter 13 | Verse 18] Here is wisdome. Let him that hath wit, count the number of the beast: for it is the number of a man, and his number is sixe hundreth threescore and sixe.
