[GNV | EN | NT | Revelation | Chapter 8 | Verse 1] And when he had opened the seuenth seale, there was silence in heauen about halfe an houre.
[GNV | EN | NT | Revelation | Chapter 8 | Verse 2] And I sawe the seuen Angels, which stoode before God, and to them were giuen seuen trumpets.
[GNV | EN | NT | Revelation | Chapter 8 | Verse 3] Then another Angel came and stoode before the altar hauing a golden censer, and much odours was giuen vnto him, that hee shoulde offer with the prayers of all Saintes vpon the golden altar, which is before the throne.
[GNV | EN | NT | Revelation | Chapter 8 | Verse 4] And the smoke of the odours with the prayers of the Saintes, went vp before God, out of the Angels hand.
[GNV | EN | NT | Revelation | Chapter 8 | Verse 5] And the Angel tooke the censer, and filled it with fire of the altar, and cast it into the earth, and there were voyces, and thundrings, and lightnings, and earthquake.
[GNV | EN | NT | Revelation | Chapter 8 | Verse 6] Then the seuen Angels, which had the seuen trumpets, prepared themselues to blow the trumpets.
[GNV | EN | NT | Revelation | Chapter 8 | Verse 7] So the first Angell blewe the trumpet, and there was haile and fire, mingled with blood, and they were cast into the earth, and the thirde part of trees was burnt, and all greene grasse was burnt.
[GNV | EN | NT | Revelation | Chapter 8 | Verse 8] And the second Angel blew the trumpet, and as it were a great mountaine, burning with fire, was cast into the sea, and the thirde part of the sea became blood.
[GNV | EN | NT | Revelation | Chapter 8 | Verse 9] And the thirde part of the creatures, which were in the sea, and had life, died, and the thirde part of shippes were destroyed.
[GNV | EN | NT | Revelation | Chapter 8 | Verse 10] Then the thirde Angel blew the trumpet, and there fell a great starre from heauen, burning like a torche, and it fell into the thirde part of the riuers, and into the fountaines of waters.
[GNV | EN | NT | Revelation | Chapter 8 | Verse 11] And the name of the starre is called wormewood: therefore the thirde part of the waters became wormewood, and many men died of the waters, because they were made bitter.
[GNV | EN | NT | Revelation | Chapter 8 | Verse 12] And the fourth Angel blew the trumpet, and the thirde part of the sunne was smitten, and the thirde part of the moone, and the thirde part of the starres, so that the thirde part of them was darkened: and the day was smitten, that the thirde part of it could not shine, and likewise the night.
[GNV | EN | NT | Revelation | Chapter 8 | Verse 13] And I beheld, and heard one Angel flying thorow the middes of heauen, saying with a loude voyce, Woe, woe, woe to the inhabitants of the earth, because of the sounds to come of the trumpet of the three Angels, which were yet to blowe the trumpets.
