[GNV | EN | NT | Revelation | Chapter 5 | Verse 1] And I saw in the right hand of him that sate vpon the throne, a Booke written within, and on the backside, sealed with seuen seales.
[GNV | EN | NT | Revelation | Chapter 5 | Verse 2] And I sawe a strong Angell which preached with a loud voice, Who is worthy to open ye booke, and to loose the seales thereof?
[GNV | EN | NT | Revelation | Chapter 5 | Verse 3] And no man in heauen, nor in earth, neither vnder the earth, was able to open the Booke, neither to looke thereon.
[GNV | EN | NT | Revelation | Chapter 5 | Verse 4] Then I wept much, because no man was foud worthy to open, and to reade the Booke, neither to looke thereon.
[GNV | EN | NT | Revelation | Chapter 5 | Verse 5] And one of the Elders saide vnto me, Weepe not: beholde, that Lion which is of the tribe of Iuda, that roote of Dauid, hath obteined to open the Booke, and to loose the seuen seales thereof.
[GNV | EN | NT | Revelation | Chapter 5 | Verse 6] Then I behelde, and loe, in the middes of the throne, and of the foure beasts, and in the mids of the Elders, stoode a Labe as though he had bene killed, which had seuen hornes, and seuen eyes, which are the seuen spirites of God, sent into all the world.
[GNV | EN | NT | Revelation | Chapter 5 | Verse 7] And hee came, and tooke the Booke out of the right hand of him that sate vpon the throne.
[GNV | EN | NT | Revelation | Chapter 5 | Verse 8] And when he had taken ye Booke, ye foure beasts and the foure and twenty Elders fel downe before the Lambe, hauing euery one harps and golden vials full of odours, which are the praiers of the Saintes,
[GNV | EN | NT | Revelation | Chapter 5 | Verse 9] And they sung a new song, saying, Thou art worthie to take the Booke, and to open the seales thereof, because thou wast killed, and hast redeemed vs to God by thy blood out of euery kinred, and tongue, and people, and nation,
[GNV | EN | NT | Revelation | Chapter 5 | Verse 10] And hast made vs vnto our God Kings and Priests, and we shall reigne on the earth.
[GNV | EN | NT | Revelation | Chapter 5 | Verse 11] Then I behelde, and I heard the voice of many Angels round about the throne, and about the beastes and the Elders, and there were ten thousand times ten thousand, and thousand thousands,
[GNV | EN | NT | Revelation | Chapter 5 | Verse 12] Saying with a loude voice, Worthie is the Lambe that was killed to receiue power, and riches, and wisdome, and strength, and honour, and glory, and praise.
[GNV | EN | NT | Revelation | Chapter 5 | Verse 13] And al the creatures which are in heauen, and on the earth, and vnder the earth, and in the sea, and al that are in them, heard I, saying, Praise, and honour, and glory, and power be vnto him, that sitteth vpon the throne, and vnto the Lambe for euermore.
[GNV | EN | NT | Revelation | Chapter 5 | Verse 14] And the foure beasts said, Amen, and the foure and twentie Elders fell downe and worshipped him that liueth for euermore.
