[ERV | EN | OT | Numbers | Chapter 24 | Verse 1] And when Balaam saw that it pleased the LORD to bless Israel, he went not, as at the other times, to meet with enchantments, but he set his face toward the wilderness.
[ERV | EN | OT | Numbers | Chapter 24 | Verse 2] And Balaam lifted up his eyes, and he saw Israel dwelling according to their tribes; and the spirit of God came upon him.
[ERV | EN | OT | Numbers | Chapter 24 | Verse 3] And he took up his parable, and said, Balaam the son of Beor saith, And the man whose eye was closed saith:
[ERV | EN | OT | Numbers | Chapter 24 | Verse 4] He saith, which heareth the words of God, Which seeth the vision of the Almighty, Falling down, and having his eyes open:
[ERV | EN | OT | Numbers | Chapter 24 | Verse 5] How goodly are thy tents, O Jacob, Thy tabernacles, O Israel!
[ERV | EN | OT | Numbers | Chapter 24 | Verse 6] As valleys are they spread forth, As gardens by the river side, As lign-aloes which the LORD hath planted, As cedar trees beside the waters.
[ERV | EN | OT | Numbers | Chapter 24 | Verse 7] Water shall flow from his buckets, And his seed shall be in many waters, And his king shall be higher than Agag, And his kingdom shall be exalted.
[ERV | EN | OT | Numbers | Chapter 24 | Verse 8] God bringeth him forth out of Egypt; He hath as it were the strength of the wild-ox: He shall eat up the nations his adversaries, And shall break their bones in pieces, And smite them through with his arrows.
[ERV | EN | OT | Numbers | Chapter 24 | Verse 9] He couched, he lay down as a lion, And as a lioness; who shall rouse him up? Blessed be every one that blesseth thee, And cursed be every one that curseth thee.
[ERV | EN | OT | Numbers | Chapter 24 | Verse 10] And Balak’s anger was kindled against Balaam, and he smote his hands together: and Balak said unto Balaam, I called thee to curse mine enemies, and, behold, thou hast altogether blessed them these three times.
[ERV | EN | OT | Numbers | Chapter 24 | Verse 11] Therefore now flee thou to thy place: I thought to promote thee unto great honour; but, lo, the LORD hath kept thee back from honour.
[ERV | EN | OT | Numbers | Chapter 24 | Verse 12] And Balaam said unto Balak, Spake I not also to thy messengers which thou sentest unto me, saying,
[ERV | EN | OT | Numbers | Chapter 24 | Verse 13] If Balak would give me his house full of silver and gold, I cannot go beyond the word of the LORD, to do either good or bad of mine own mind; what the LORD speaketh, that will I speak?
[ERV | EN | OT | Numbers | Chapter 24 | Verse 14] And now, behold, I go unto my people: come, and I will advertise thee what this people shall do to thy people in the latter days.
[ERV | EN | OT | Numbers | Chapter 24 | Verse 15] And he took up his parable, and said, Balaam the son of Beor saith, And the man whose eye was closed saith:
[ERV | EN | OT | Numbers | Chapter 24 | Verse 16] He saith, which heareth the words of God, And knoweth the knowledge of the Most High, Which seeth the vision of the Almighty, Falling down, and having his eyes open:
[ERV | EN | OT | Numbers | Chapter 24 | Verse 17] I see him, but not now: I behold him, but not nigh: There shall come forth a star out of Jacob, And a sceptre shall rise out of Israel, And shall smite through the corners of Moab, And break down all the sons of tumult.
[ERV | EN | OT | Numbers | Chapter 24 | Verse 18] And Edom shall be a possession, Seir also shall be a possession, which were his enemies; While Israel doeth valiantly.
[ERV | EN | OT | Numbers | Chapter 24 | Verse 19] And out of Jacob shall one have dominion, And shall destroy the remnant from the city.
[ERV | EN | OT | Numbers | Chapter 24 | Verse 20] And he looked on Amalek, and took up his parable, and said, Amalek was the first of the nations; But his latter end shall come to destruction.
[ERV | EN | OT | Numbers | Chapter 24 | Verse 21] And he looked on the Kenite, and took up his parable, and said, Strong is thy dwelling place, And thy nest is set in the rock.
[ERV | EN | OT | Numbers | Chapter 24 | Verse 22] Nevertheless Kain shall be wasted, Until Asshur shall carry thee away captive.
[ERV | EN | OT | Numbers | Chapter 24 | Verse 23] And he took up his parable, and said, Alas, who shall live when God doeth this?
[ERV | EN | OT | Numbers | Chapter 24 | Verse 24] But ships shall come from the coast of Kittim, And they shall afflict Asshur, and shall afflict Eber, And he also shall come to destruction.
[ERV | EN | OT | Numbers | Chapter 24 | Verse 25] And Balaam rose up, and went and returned to his place: and Balak also went his way.
