[ERV | EN | OT | Numbers | Chapter 6 | Verse 1] And the LORD spake unto Moses, saying,
[ERV | EN | OT | Numbers | Chapter 6 | Verse 2] Speak unto the children of Israel, and say unto them, When either man or woman shall make a special vow, the vow of a Nazirite, to separate himself unto the LORD:
[ERV | EN | OT | Numbers | Chapter 6 | Verse 3] he shall separate himself from wine and strong drink; he shall drink no vinegar of wine, or vinegar of strong drink, neither shall he drink any liquor of grapes, nor eat fresh grapes or dried.
[ERV | EN | OT | Numbers | Chapter 6 | Verse 4] All the days of his separation shall he eat nothing that is made of the grape-vine, from the kernels even to the husk.
[ERV | EN | OT | Numbers | Chapter 6 | Verse 5] All the days of his vow of separation there shall no razor come upon his head: until the days be fulfilled, in the which he separateth himself unto the LORD, he shall be holy, he shall let the locks of the hair of his head grow long.
[ERV | EN | OT | Numbers | Chapter 6 | Verse 6] All the days that he separateth himself unto the LORD he shall not come near to a dead body.
[ERV | EN | OT | Numbers | Chapter 6 | Verse 7] He shall not make himself unclean for his father, or for his mother, for his brother, or for his sister, when they die: because his separation unto God is upon his head.
[ERV | EN | OT | Numbers | Chapter 6 | Verse 8] All the days of his separation he is holy unto the LORD.
[ERV | EN | OT | Numbers | Chapter 6 | Verse 9] And if any man die very suddenly beside him, and he defile the head of his separation; then he shall shave his head in the day of his cleansing, on the seventh day shall he shave it.
[ERV | EN | OT | Numbers | Chapter 6 | Verse 10] And on the eighth day he shall bring two turtledoves, or two young pigeons, to the priest, to the door of the tent of meeting:
[ERV | EN | OT | Numbers | Chapter 6 | Verse 11] and the priest shall offer one for a sin offering, and the other for a burnt offering, and make atonement for him, for that he sinned by reason of the dead, and shall hallow his head that same day.
[ERV | EN | OT | Numbers | Chapter 6 | Verse 12] And he shall separate unto the LORD the days of his separation, and shall bring a he-lamb of the first year for a guilt offering: but the former days shall be void, because his separation was defiled.
[ERV | EN | OT | Numbers | Chapter 6 | Verse 13] And this is the law of the Nazirite, when the days of his separation are fulfilled: he shall be brought unto the door of the tent of meeting:
[ERV | EN | OT | Numbers | Chapter 6 | Verse 14] and he shall offer his oblation unto the LORD, one he-lamb of the first year without blemish for a burnt offering, and one ewe-lamb of the first year without blemish for a sin offering, and one ram without blemish for peace offerings,
[ERV | EN | OT | Numbers | Chapter 6 | Verse 15] and a basket of unleavened bread, cakes of fine flour mingled with oil, and unleavened wafers anointed with oil, and their meal offering, and their drink offerings.
[ERV | EN | OT | Numbers | Chapter 6 | Verse 16] And the priest shall present them before the LORD, and shall offer his sin offering, and his burnt offering:
[ERV | EN | OT | Numbers | Chapter 6 | Verse 17] and he shall offer the ram for a sacrifice of peace offerings unto the LORD, with the basket of unleavened bread: the priest shall offer also the meal offering thereof, and the drink offering thereof.
[ERV | EN | OT | Numbers | Chapter 6 | Verse 18] And the Nazirite shall shave the head of his separation at the door of the tent of meeting, and shall take the hair of the head of his separation, and put it on the fire which is under the sacrifice of peace offerings.
[ERV | EN | OT | Numbers | Chapter 6 | Verse 19] And the priest shall take the sodden shoulder of the ram, and one unleavened cake out of the basket, and one unleavened wafer, and shall put them upon the hands of the Nazirite, after he hath shaven the head of his separation:
[ERV | EN | OT | Numbers | Chapter 6 | Verse 20] and the priest shall wave them for a wave offering before the LORD; this is holy for the priest, together with the wave breast and heave thigh: and after that the Nazirite may drink wine.
[ERV | EN | OT | Numbers | Chapter 6 | Verse 21] This is the law of the Nazirite who voweth, and of his oblation unto the LORD for his separation, beside that which he is able to get: according to his vow which he voweth, so he must do after the law of his separation.
[ERV | EN | OT | Numbers | Chapter 6 | Verse 22] And the LORD spake unto Moses, saying,
[ERV | EN | OT | Numbers | Chapter 6 | Verse 23] Speak unto Aaron and unto his sons, saying, On this wise ye shall bless the children of Israel; ye shall say unto them,
[ERV | EN | OT | Numbers | Chapter 6 | Verse 24] The LORD bless thee, and keep thee:
[ERV | EN | OT | Numbers | Chapter 6 | Verse 25] The LORD make his face to shine upon thee, and be gracious unto thee:
[ERV | EN | OT | Numbers | Chapter 6 | Verse 26] The LORD lift up his countenance upon thee, and give thee peace.
[ERV | EN | OT | Numbers | Chapter 6 | Verse 27] So shall they put my name upon the children of Israel; and I will bless them.
