[ERV | EN | OT | Numbers | Chapter 1 | Verse 1] And the LORD spake unto Moses in the wilderness of Sinai, in the tent of meeting, on the first day of the second month, in the second year after they were come out of the land of Egypt, saying,
[ERV | EN | OT | Numbers | Chapter 1 | Verse 2] Take ye the sum of all the congregation of the children of Israel, by their families, by their fathers’ houses, according to the number of the names, every male, by their polls;
[ERV | EN | OT | Numbers | Chapter 1 | Verse 3] from twenty years old and upward, all that are able to go forth to war in Israel, thou and Aaron shall number them by their hosts.
[ERV | EN | OT | Numbers | Chapter 1 | Verse 4] And with you there shall be a man of every tribe; every one head of his fathers’ house.
[ERV | EN | OT | Numbers | Chapter 1 | Verse 5] And these are the names of the men that shall stand with you: of Reuben; Elizur the son of Shedeur.
[ERV | EN | OT | Numbers | Chapter 1 | Verse 6] Of Simeon; Shelumiel the son of Zurishaddai.
[ERV | EN | OT | Numbers | Chapter 1 | Verse 7] Of Judah; Nahshon the son of Amminadab.
[ERV | EN | OT | Numbers | Chapter 1 | Verse 8] Of Issachar; Nethanel the son of Zuar.
[ERV | EN | OT | Numbers | Chapter 1 | Verse 9] Of Zebulun; Eliab the son of Helon.
[ERV | EN | OT | Numbers | Chapter 1 | Verse 10] Of the children of Joseph: of Ephraim; Elishama the son of Ammihud: of Manasseh; Gamaliel the son of Pedahzur.
[ERV | EN | OT | Numbers | Chapter 1 | Verse 11] Of Benjamin; Abidan the son of Gideoni.
[ERV | EN | OT | Numbers | Chapter 1 | Verse 12] Of Dan; Ahiezer the son of Ammishaddai.
[ERV | EN | OT | Numbers | Chapter 1 | Verse 13] Of Asher; Pagiel the son of Ochran.
[ERV | EN | OT | Numbers | Chapter 1 | Verse 14] Of Gad; Eliasaph the son of Deuel.
[ERV | EN | OT | Numbers | Chapter 1 | Verse 15] Of Naphtali; Ahira the son of Enan.
[ERV | EN | OT | Numbers | Chapter 1 | Verse 16] These are they that were called of the congregation, the princes of the tribes of their fathers; they were the heads of the thousands of Israel.
[ERV | EN | OT | Numbers | Chapter 1 | Verse 17] And Moses and Aaron took these men which are expressed by name:
[ERV | EN | OT | Numbers | Chapter 1 | Verse 18] And they assembled all the congregation together on the first day of the second month, and they declared their pedigrees after their families, by their fathers’ houses, according to the number of the names, from twenty years old and upward, by their polls.
[ERV | EN | OT | Numbers | Chapter 1 | Verse 19] As the LORD commanded Moses, so he numbered them in the wilderness of Sinai.
[ERV | EN | OT | Numbers | Chapter 1 | Verse 20] And the children of Reuben, Israel’s firstborn, their generations, by their families, by their fathers’ houses, according to the number of the names, by their polls, every male from twenty years old and upward, all that were able to go forth to war;
[ERV | EN | OT | Numbers | Chapter 1 | Verse 21] those that were numbered of them, of the tribe of Reuben, were forty and six thousand and five hundred.
[ERV | EN | OT | Numbers | Chapter 1 | Verse 22] Of the children of Simeon, their generations, by their families, by their fathers’ houses, those that were numbered thereof, according to the number of the names, by their polls, every male from twenty years old and upward, all that were able to go forth to war;
