[ERV | EN | OT | Numbers | Chapter 32 | Verse 1] Now the children of Reuben and the children of Gad had a very great multitude of cattle: and when they saw the land of Jazer, and the land of Gilead, that, behold, the place was a place for cattle;
[ERV | EN | OT | Numbers | Chapter 32 | Verse 2] the children of Gad and the children of Reuben came and spake unto Moses, and to Eleazar the priest, and unto the princes of the congregation, saying,
[ERV | EN | OT | Numbers | Chapter 32 | Verse 3] Ataroth, and Dibon, and Jazer, and Nimrah, and Heshbon, and Elealeh, and Sebam, and Nebo, and Beon,
[ERV | EN | OT | Numbers | Chapter 32 | Verse 4] the land which the LORD smote before the congregation of Israel, is a land for cattle, and thy servants have cattle.
[ERV | EN | OT | Numbers | Chapter 32 | Verse 5] And they said, If we have found grace in thy sight, let this land be given unto thy servants for a possession; bring us not over Jordan.
[ERV | EN | OT | Numbers | Chapter 32 | Verse 6] And Moses said unto the children of Gad and to the children of Reuben, Shall your brethren go to the war, and shall ye sit here?
[ERV | EN | OT | Numbers | Chapter 32 | Verse 7] And wherefore discourage ye the heart of the children of Israel from going over into the land which the LORD hath given them?
[ERV | EN | OT | Numbers | Chapter 32 | Verse 8] Thus did your fathers, when I sent them from Kadesh-barnea to see the land.
[ERV | EN | OT | Numbers | Chapter 32 | Verse 9] For when they went up unto the valley of Eshcol, and saw the land, they discouraged the heart of the children of Israel, that they should not go into the land which the LORD had given them.
[ERV | EN | OT | Numbers | Chapter 32 | Verse 10] And the LORD’S anger was kindled in that day, and he sware, saying,
[ERV | EN | OT | Numbers | Chapter 32 | Verse 11] Surely none of the men that came up out of Egypt, from twenty years old and upward, shall see the land which I sware unto Abraham, unto Isaac, and unto Jacob; because they have not wholly followed me:
[ERV | EN | OT | Numbers | Chapter 32 | Verse 12] save Caleb the son of Jephunneh the Kenizzite, and Joshua the son of Nun: because they have wholly followed the LORD.
[ERV | EN | OT | Numbers | Chapter 32 | Verse 13] And the LORD’S anger was kindled against Israel, and he made them wander to and fro in the wilderness forty years, until all the generation, that had done evil in the sight of the LORD, was consumed.
[ERV | EN | OT | Numbers | Chapter 32 | Verse 14] And, behold, ye are risen up in your fathers’ stead, an increase of sinful men, to augment yet the fierce anger of the LORD toward Israel.
[ERV | EN | OT | Numbers | Chapter 32 | Verse 15] For if ye turn away from after him, he will yet again leave them in the wilderness; and ye shall destroy all this people.
[ERV | EN | OT | Numbers | Chapter 32 | Verse 16] And they came near unto him, and said, We will build sheepfolds here for our cattle, and cities for our little ones:
[ERV | EN | OT | Numbers | Chapter 32 | Verse 17] but we ourselves will be ready armed to go before the children of Israel, until we have brought them unto their place: and our little ones shall dwell in the fenced cities because of the inhabitants of the land.
[ERV | EN | OT | Numbers | Chapter 32 | Verse 18] We will not return unto our houses, until the children of Israel have inherited every man his inheritance.
[ERV | EN | OT | Numbers | Chapter 32 | Verse 19] For we will not inherit with them on the other side Jordan, and forward; because our inheritance is fallen to us on this side Jordan eastward.
[ERV | EN | OT | Numbers | Chapter 32 | Verse 20] And Moses said unto them, If ye will do this thing; If ye will arm yourselves to go before the LORD to the war,
[ERV | EN | OT | Numbers | Chapter 32 | Verse 21] and every armed man of you will pass over Jordan before the LORD, until he hath driven out his enemies from before him,
[ERV | EN | OT | Numbers | Chapter 32 | Verse 22] and the land be subdued before the LORD: then afterward ye shall return, and be guiltless towards the LORD, and towards Israel; and this land shall be unto you for a possession before the LORD.
[ERV | EN | OT | Numbers | Chapter 32 | Verse 23] But if ye will not do so, behold, ye have sinned against the LORD: and be sure your sin will find you out.
[ERV | EN | OT | Numbers | Chapter 32 | Verse 24] Build you cities for your little ones, and folds for your sheep; and do that which hath proceeded out of your mouth.
[ERV | EN | OT | Numbers | Chapter 32 | Verse 25] And the children of Gad and the children of Reuben spake unto Moses, saying, Thy servants will do as my lord commandeth.
[ERV | EN | OT | Numbers | Chapter 32 | Verse 26] Our little ones, our wives, our flocks, and all our cattle, shall be there in the cities of Gilead:
[ERV | EN | OT | Numbers | Chapter 32 | Verse 27] but thy servants will pass over, every man that is armed for war, before the LORD to battle, as my lord saith.
[ERV | EN | OT | Numbers | Chapter 32 | Verse 28] So Moses gave charge concerning them to Eleazar the priest, and to Joshua the son of Nun, and to the heads of the fathers’ houses of the tribes of the children of Israel.
[ERV | EN | OT | Numbers | Chapter 32 | Verse 29] And Moses said unto them, If the children of Gad and the children of Reuben will pass with you over Jordan, every man that is armed to battle, before the LORD, and the land shall be subdued before you; then ye shall give them the land of Gilead for a possession:
[ERV | EN | OT | Numbers | Chapter 32 | Verse 30] but if they will not pass over with you armed, they shall have possessions among you in the land of Canaan.
[ERV | EN | OT | Numbers | Chapter 32 | Verse 31] And the children of Gad and the children of Reuben answered, saying, As the LORD hath said unto thy servants, so will we do.
[ERV | EN | OT | Numbers | Chapter 32 | Verse 32] We will pass over armed before the LORD into the land of Canaan, and the possession of our inheritance shall remain with us beyond Jordan.
[ERV | EN | OT | Numbers | Chapter 32 | Verse 33] And Moses gave unto them, even to the children of Gad, and to the children of Reuben, and unto the half tribe of Manasseh the son of Joseph, the kingdom of Sihon king of the Amorites, and the kingdom of Og king of Bashan, the land, according to the cities thereof with their borders, even the cities of the land round about.
[ERV | EN | OT | Numbers | Chapter 32 | Verse 34] And the children of Gad built Dibon, and Ataroth, and Aroer;
[ERV | EN | OT | Numbers | Chapter 32 | Verse 35] and Atroth-shophan, and Jazer, and Jogbehah;
