[ERV | EN | OT | Numbers | Chapter 25 | Verse 1] And Israel abode in Shittim, and the people began to commit whoredom with the daughters of Moab:
[ERV | EN | OT | Numbers | Chapter 25 | Verse 2] for they called the people unto the sacrifices of their gods; and the people did eat, and bowed down to their gods.
[ERV | EN | OT | Numbers | Chapter 25 | Verse 3] And Israel joined himself unto Baal-peor: and the anger of the LORD was kindled against Israel.
[ERV | EN | OT | Numbers | Chapter 25 | Verse 4] And the LORD said unto Moses, Take all the chiefs of the people, and hang them up unto the LORD before the sun, that the fierce anger of the LORD may turn away from Israel.
[ERV | EN | OT | Numbers | Chapter 25 | Verse 5] And Moses said unto the judges of Israel, Slay ye every one his men that have joined themselves unto Baal-peor.
[ERV | EN | OT | Numbers | Chapter 25 | Verse 6] And, behold, one of the children of Israel came and brought unto his brethren a Midianitish woman in the sight of Moses, and in the sight of all the congregation of the children of Israel, while they were weeping at the door of the tent of meeting.
[ERV | EN | OT | Numbers | Chapter 25 | Verse 7] And when Phinehas, the son of Eleazar, the son of Aaron the priest, saw it, he rose up from the midst of the congregation, and took a spear in his hand;
[ERV | EN | OT | Numbers | Chapter 25 | Verse 8] and he went after the man of Israel into the pavilion, and thrust both of them through, the man of Israel, and the woman through her belly. So the plague was stayed from the children of Israel.
[ERV | EN | OT | Numbers | Chapter 25 | Verse 9] And those that died by the plague were twenty and four thousand.
[ERV | EN | OT | Numbers | Chapter 25 | Verse 10] And the LORD spake unto Moses, saying,
[ERV | EN | OT | Numbers | Chapter 25 | Verse 11] Phinehas, the son of Eleazar, the son of Aaron the priest, hath turned my wrath away from the children of Israel, in that he was jealous with my jealousy among them, so that I consumed not the children of Israel in my jealousy.
[ERV | EN | OT | Numbers | Chapter 25 | Verse 12] Wherefore say, Behold, I give unto him my covenant of peace:
[ERV | EN | OT | Numbers | Chapter 25 | Verse 13] and it shall be unto him, and to his seed after him, the covenant of an everlasting priesthood; because he was jealous for his God, and made atonement for the children of Israel.
[ERV | EN | OT | Numbers | Chapter 25 | Verse 14] Now the name of the man of Israel that was slain, who was slain with the Midianitish woman, was Zimri, the son of Salu, a prince of a fathers’ house among the Simeonites.
[ERV | EN | OT | Numbers | Chapter 25 | Verse 15] And the name of the Midianitish woman that was slain was Cozbi, the daughter of Zur; he was head of the people of a fathers’ house in Midian.
[ERV | EN | OT | Numbers | Chapter 25 | Verse 16] And the LORD spake unto Moses, saying,
[ERV | EN | OT | Numbers | Chapter 25 | Verse 17] Vex the Midianites, and smite them:
[ERV | EN | OT | Numbers | Chapter 25 | Verse 18] for they vex you with their wiles, wherewith they have beguiled you in the matter of Peor, and in the matter of Cozbi, the daughter of the prince of Midian, their sister, which was slain on the day of the plague in the matter of Peor.
