[ERV | EN | OT | Numbers | Chapter 26 | Verse 1] And it came to pass after the plague, that the LORD spake unto Moses and unto Eleazar the son of Aaron the priest, saying,
[ERV | EN | OT | Numbers | Chapter 26 | Verse 2] Take the sum of all the congregation of the children of Israel, from twenty years old and upward, by their fathers’ houses, all that are able to go forth to war in Israel.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 3] And Moses and Eleazar the priest spake with them in the plains of Moab by the Jordan at Jericho, saying,
[ERV | EN | OT | Numbers | Chapter 26 | Verse 4] Take the sum of the people, from twenty years old and upward; as the LORD commanded Moses and the children of Israel, which came forth out of the land of Egypt.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 5] Reuben, the firstborn of Israel: the sons of Reuben; of Hanoch, the family of the Hanochites: of Pallu, the family of the Palluites:
[ERV | EN | OT | Numbers | Chapter 26 | Verse 6] of Hezron, the family of the Hezronites: of Carmi, the family of the Carmites.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 7] These are the families of the Reubenites: and they that were numbered of them were forty and three thousand and seven hundred and thirty.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 8] And the sons of Pallu; Eliab.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 9] And the sons of Eliab; Nemuel, and Dathan, and Abiram. These are that Dathan and Abiram, which were called of the congregation, who strove against Moses and against Aaron in the company of Korah, when they strove against the LORD:
[ERV | EN | OT | Numbers | Chapter 26 | Verse 10] and the earth opened her mouth, and swallowed them up together with Korah, when that company died; what time the fire devoured two hundred and fifty men, and they became a sign.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 11] Notwithstanding the sons of Korah died not.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 12] The sons of Simeon after their families: of Nemuel, the family of the Nemuelites: of Jamin, the family of the Jaminites: of Jachin, the family of the Jachinites:
[ERV | EN | OT | Numbers | Chapter 26 | Verse 13] of Zerah, the family of the Zerahites: of Shaul, the family of the Shaulites.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 14] These are the families of the Simeonites, twenty and two thousand and two hundred.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 15] The sons of Gad after their families: of Zephon, the family of the Zephonites: of Haggi, the family of the Haggites: of Shuni, the family of the Shunites:
[ERV | EN | OT | Numbers | Chapter 26 | Verse 16] of Ozni, the family of the Oznites: of Eri, the family of the Erites:
[ERV | EN | OT | Numbers | Chapter 26 | Verse 17] of Arod, the family of the Arodites: of Areli, the family of the Arelites.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 18] These are the families of the sons of Gad according to those that were numbered of them, forty thousand and five hundred.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 19] The sons of Judah, Er and Onan: and Er and Onan died in the land of Canaan.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 20] And the sons of Judah after their families were; of Shelah, the family of the Shelanites: of Perez, the family of the Perezites: of Zerah, the family of the Zerahites.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 21] And the sons of Perez were; of Hezron, the family of the Hezronites: of Hamul, the family of the Hamulites.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 22] These are the families of Judah according to those that were numbered of them, threescore and sixteen thousand and five hundred.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 23] The sons of Issachar after their families: of Tola, the family of the Tolaites: of Puvah, the family of the Punites:
[ERV | EN | OT | Numbers | Chapter 26 | Verse 24] of Jashub, the family of the Jashubites: of Shimron, the family of the Shimronites.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 25] These are the families of Issachar according to those that were numbered of them, threescore and four thousand and three hundred.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 26] The sons of Zebulun after their families: of Sered, the family of the Seredites: of Elon, the family of the Elonites: of Jahleel, the family of the Jahleelites.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 27] These are the families of the Zebulunites according to those that were numbered of them, threescore thousand and five hundred.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 28] The sons of Joseph after their families: Manasseh and Ephraim.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 29] The sons of Manasseh: of Machir, the family of the Machirites: and Machir begat Gilead: of Gilead, the family of the Gileadites.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 30] These are the sons of Gilead: of Iezer, the family of the Iezerites: of Helek, the family of the Helekites:
[ERV | EN | OT | Numbers | Chapter 26 | Verse 31] and of Asriel, the family of the Asrielites: and of Shechem, the family of the Shechemites:
[ERV | EN | OT | Numbers | Chapter 26 | Verse 32] and of Shemida, the family of the Shemidaites: and of Hepher, the family of the Hepherites.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 33] And Zelophehad the son of Hepher had no sons, but daughters: and the names of the daughters of Zelophehad were Mahlah, and Noah, Hoglah, Milcah, and Tirzah.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 34] These are the families of Manasseh: and they that were numbered of them were fifty and two thousand and seven hundred.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 35] These are the sons of Ephraim after their families: of Shuthelah, the family of the Shuthelahites: of Becher, the family of the Becherites: of Tahan, the family of the Tahanites.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 36] And these are the sons of Shuthelah: of Eran, the family of the Eranites.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 37] These are the families of the sons of Ephraim according to those that were numbered of them, thirty and two thousand and five hundred. These are the sons of Joseph after their families.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 38] The sons of Benjamin after their families: of Bela, the family of the Belaites: of Ashbel, the family of the Ashbelites: of Ahiram, the family of the Ahiramites:
[ERV | EN | OT | Numbers | Chapter 26 | Verse 39] of Shephupham, the family of the Shuphamites: of Hupham, the family of the Huphamites.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 40] And the sons of Bela were Ard and Naaman: of Ard, the family of the Ardites: of Naaman, the family of the Naamites.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 41] These are the sons of Benjamin after their families: and they that were numbered of them were forty and five thousand and six hundred.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 42] These are the sons of Dan after their families: of Shuham, the family of the Shuhamites. These are the families of Dan after their families.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 43] All the families of the Shuhamites, according to those that were numbered of them, were threescore and four thousand and four hundred.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 44] The sons of Asher after their families: of Imnah, the family of the Imnites: of Ishvi, the family of the Ishvites: of Beriah, the family of the Beriites.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 45] Of the sons of Beriah: of Heber, the family of the Heberites: of Malchiel, the family of the Malchielites.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 46] And the name of the daughter of Asher was Serah.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 47] These are the families of the sons of Asher according to those that were numbered of them, fifty and three thousand and four hundred.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 48] The sons of Naphtali after their families: of Jahzeel, the family of the Jahzeelites: of Guni, the family of the Gunites:
[ERV | EN | OT | Numbers | Chapter 26 | Verse 49] of Jezer, the family of the Jezerites: of Shillem, the family of the Shillemites.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 50] These are the families of Naphtali according to their families: and they that were numbered of them were forty and five thousand and four hundred.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 51] These are they that were numbered of the children of Israel, six hundred thousand and a thousand seven hundred and thirty.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 52] And the LORD spake unto Moses, saying,
[ERV | EN | OT | Numbers | Chapter 26 | Verse 53] Unto these the land shall be divided for an inheritance according to the number of names.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 54] To the more thou shalt give the more inheritance, and to the fewer thou shalt give the less inheritance: to every one according to those that were numbered of him shall his inheritance be given.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 55] Notwithstanding the land shall be divided by lot: according to the names of the tribes of their fathers they shall inherit.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 56] According to the lot shall their inheritance be divided between the more and the fewer.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 57] And these are they that were numbered of the Levites after their families: of Gershon, the family of the Gershonites: of Kohath, the family of the Kohathites: of Merari, the family of the Merarites.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 58] These are the families of Levi: the family of the Libnites, the family of the Hebronites, the family of the Mahlites, the family of the Mushites, the family of the Korahites. And Kohath begat Amram.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 59] And the name of Amram’s wife was Jochebed, the daughter of Levi, who was born to Levi in Egypt: and she bare unto Amram Aaron and Moses, and Miriam their sister.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 60] And unto Aaron were born Nadab and Abihu, Eleazar and Ithamar.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 61] And Nadab and Abihu died, when they offered strange fire before the LORD.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 62] And they that were numbered of them were twenty and three thousand, every male from a month old and upward: for they were not numbered among the children of Israel, because there was no inheritance given them among the children of Israel.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 63] These are they that were numbered by Moses and Eleazar the priest; who numbered the children of Israel in the plains of Moab by the Jordan at Jericho.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 64] But among these there was not a man of them that were numbered by Moses and Aaron the priest; who numbered the children of Israel in the wilderness of Sinai.
[ERV | EN | OT | Numbers | Chapter 26 | Verse 65] For the LORD had said of them, They shall surely die in the wilderness. And there was not left a man of them, save Caleb the son of Jephunneh, and Joshua the son of Nun.
