[ERV | EN | OT | Numbers | Chapter 14 | Verse 1] And all the congregation lifted up their voice, and cried; and the people wept that night.
[ERV | EN | OT | Numbers | Chapter 14 | Verse 2] And all the children of Israel murmured against Moses and against Aaron: and the whole congregation said unto them, Would God that we had died in the land of Egypt! or would God we had died in this wilderness!
[ERV | EN | OT | Numbers | Chapter 14 | Verse 3] And wherefore doth the LORD bring us unto this land, to fall by the sword? Our wives and our little ones shall be a prey: were it not better for us to return into Egypt?
[ERV | EN | OT | Numbers | Chapter 14 | Verse 4] And they said one to another, Let us make a captain, and let us return into Egypt.
[ERV | EN | OT | Numbers | Chapter 14 | Verse 5] Then Moses and Aaron fell on their faces before all the assembly of the congregation of the children of Israel.
[ERV | EN | OT | Numbers | Chapter 14 | Verse 6] And Joshua the son of Nun and Caleb the son of Jephunneh, which were of them that spied out the land, rent their clothes:
[ERV | EN | OT | Numbers | Chapter 14 | Verse 7] and they spake unto all the congregation of the children of Israel, saying, The land, which we passed through to spy it out, is an exceeding good land.
[ERV | EN | OT | Numbers | Chapter 14 | Verse 8] If the LORD delight in us, then he will bring us into this land, and give it unto us; a land which floweth with milk and honey.
[ERV | EN | OT | Numbers | Chapter 14 | Verse 9] Only rebel not against the LORD, neither fear ye the people of the land; for they are bread for us: their defence is removed from over them, and the LORD is with us: fear them not.
[ERV | EN | OT | Numbers | Chapter 14 | Verse 10] But all the congregation bade stone them with stones. And the glory of the LORD appeared in the tent of meeting unto all the children of Israel.
[ERV | EN | OT | Numbers | Chapter 14 | Verse 11] And the LORD said unto Moses, How long will this people despise me? and how long will they not believe in me, for all the signs which I have wrought among them?
[ERV | EN | OT | Numbers | Chapter 14 | Verse 12] I will smite them with the pestilence, and disinherit them, and will make of thee a nation greater and mightier than they.
[ERV | EN | OT | Numbers | Chapter 14 | Verse 13] And Moses said unto the LORD, Then the Egyptians shall hear it; for thou broughtest up this people in thy might from among them;
[ERV | EN | OT | Numbers | Chapter 14 | Verse 14] and they will tell it to the inhabitants of this land: they have heard that thou LORD art in the midst of this people; for thou LORD art seen face to face, and thy cloud standeth over them, and thou goest before them, in a pillar of cloud by day, and in a pillar of fire by night.
[ERV | EN | OT | Numbers | Chapter 14 | Verse 15] Now if thou shalt kill this people as one man, then the nations which have heard the fame of thee will speak, saying,
[ERV | EN | OT | Numbers | Chapter 14 | Verse 16] Because the LORD was not able to bring this people into the land which he sware unto them, therefore he hath slain them in the wilderness.
[ERV | EN | OT | Numbers | Chapter 14 | Verse 17] And now, I pray thee, let the power of the Lord be great, according as thou hast spoken, saying,
[ERV | EN | OT | Numbers | Chapter 14 | Verse 18] The LORD is slow to anger, and plenteous in mercy, forgiving iniquity and transgression, and that will by no means clear the guilty; visiting the iniquity of the fathers upon the children, upon the third and upon the fourth generation.
[ERV | EN | OT | Numbers | Chapter 14 | Verse 19] Pardon, I pray thee, the iniquity of this people according unto the greatness of thy mercy, and according as thou hast forgiven this people, from Egypt even until now.
[ERV | EN | OT | Numbers | Chapter 14 | Verse 20] And the LORD said, I have pardoned according to thy word:
[ERV | EN | OT | Numbers | Chapter 14 | Verse 21] but in very deed, as I live, and as all the earth shall be filled with the glory of the LORD;
[ERV | EN | OT | Numbers | Chapter 14 | Verse 22] because all those men which have seen my glory, and my signs, which I wrought in Egypt and in the wilderness, yet have tempted me these ten times, and have not hearkened to my voice;
[ERV | EN | OT | Numbers | Chapter 14 | Verse 23] surely they shall not see the land which I sware unto their fathers, neither shall any of them that despised me see it:
[ERV | EN | OT | Numbers | Chapter 14 | Verse 24] but my servant Caleb, because he had another spirit with him, and hath followed me fully, him will I bring into the land whereinto he went; and his seed shall possess it.
[ERV | EN | OT | Numbers | Chapter 14 | Verse 25] Now the Amalekite and the Canaanite dwell in the valley: tomorrow turn ye, and get you into the wilderness by the way to the Red Sea.
[ERV | EN | OT | Numbers | Chapter 14 | Verse 26] And the LORD spake unto Moses and unto Aaron, saying,
[ERV | EN | OT | Numbers | Chapter 14 | Verse 27] How long shall I bear with this evil congregation, which murmur against me? I have heard the murmurings of the children of Israel, which they murmur against me.
[ERV | EN | OT | Numbers | Chapter 14 | Verse 28] Say unto them, As I live, saith the LORD, surely as ye have spoken in mine ears, so will I do to you:
[ERV | EN | OT | Numbers | Chapter 14 | Verse 29] your carcases shall fall in this wilderness; and all that were numbered of you, according to your whole number, from twenty years old and upward, which have murmured against me,
[ERV | EN | OT | Numbers | Chapter 14 | Verse 30] surely ye shall not come into the land, concerning which I lifted up my hand that I would make you dwell therein, save Caleb the son of Jephunneh, and Joshua the son of Nun.
[ERV | EN | OT | Numbers | Chapter 14 | Verse 31] But your little ones, which ye said should be a prey, them will I bring in, and they shall know the land which ye have rejected.
[ERV | EN | OT | Numbers | Chapter 14 | Verse 32] But as for you, your carcases shall fall in this wilderness.
[ERV | EN | OT | Numbers | Chapter 14 | Verse 33] And your children shall be wanderers in the wilderness forty years, and shall bear your whoredoms, until your carcases be consumed in the wilderness.
[ERV | EN | OT | Numbers | Chapter 14 | Verse 34] After the number of the days in which ye spied out the land, even forty days, for every day a year, shall ye bear your iniquities, even forty years, and ye shall know my alienation.
[ERV | EN | OT | Numbers | Chapter 14 | Verse 35] I the LORD have spoken, surely this will I do unto all this evil congregation, that are gathered together against me: in this wilderness they shall be consumed, and there they shall die.
