[GNV | EN | NT | Romans | Chapter 16 | Verse 1] I Commende vnto you Phebe our sister, which is a seruaunt of the Church of Cenchrea:
[GNV | EN | NT | Romans | Chapter 16 | Verse 2] That ye receiue her in the Lord, as it becommeth Saintes, and that ye assist her in whatsoeuer businesse she needeth of your ayde: for she hath giuen hospitalitie vnto many, and to me also.
[GNV | EN | NT | Romans | Chapter 16 | Verse 3] Greete Priscilla, and Aquila my fellowe helpers in Christ Iesus,
[GNV | EN | NT | Romans | Chapter 16 | Verse 4] (Which haue for my life laide downe their owne necke. Vnto whom not I onely giue thankes, but also all the Churches of the Gentiles.)
[GNV | EN | NT | Romans | Chapter 16 | Verse 5] Likewise greete the Church that is in their house. Salute my beloued Epenetus, which is the first fruites of Achaia in Christ.
[GNV | EN | NT | Romans | Chapter 16 | Verse 6] Greete Marie which bestowed much labour on vs.
[GNV | EN | NT | Romans | Chapter 16 | Verse 7] Salute Andronicus and Iunia my cousins and fellowe prisoners, which are notable among the Apostles, and were in Christ before me.
[GNV | EN | NT | Romans | Chapter 16 | Verse 8] Greete Amplias my beloued in the Lord.
[GNV | EN | NT | Romans | Chapter 16 | Verse 9] Salute Vrbanus our fellow helper in Christ, and Stachys my beloued.
[GNV | EN | NT | Romans | Chapter 16 | Verse 10] Salute Apelles approoued in Christ. Salute them which are of Aristobulus friendes.
[GNV | EN | NT | Romans | Chapter 16 | Verse 11] Salute Herodion my kinsman. Greete them which are of the friendes of Narcissus which are in the Lord.
[GNV | EN | NT | Romans | Chapter 16 | Verse 12] Salute Tryphena and Tryphosa, which women labour in the Lord. Salute the beloued Persis, which woman hath laboured much in the Lord.
[GNV | EN | NT | Romans | Chapter 16 | Verse 13] Salute Rufus chosen in the Lord, and his mother and mine.
[GNV | EN | NT | Romans | Chapter 16 | Verse 14] Greete Asyncritus, Phlegon, Hermas, Patrobas, Mercurius, and the brethren which are with them.
[GNV | EN | NT | Romans | Chapter 16 | Verse 15] Salute Philologus and Iulias, Nereas, and his sister, and Olympas, and all the Saintes which are with them.
[GNV | EN | NT | Romans | Chapter 16 | Verse 16] Salute one another with an holy kisse. The Churches of Christ salute you.
[GNV | EN | NT | Romans | Chapter 16 | Verse 17] Now I beseech you brethren, marke them diligently which cause diuision and offences, contrary to the doctrine which ye haue learned, and auoide them.
[GNV | EN | NT | Romans | Chapter 16 | Verse 18] For they that are such, serue not the Lord Iesus Christ, but their owne bellies, and with faire speach and flattering deceiue the heartes of the simple.
[GNV | EN | NT | Romans | Chapter 16 | Verse 19] For your obedience is come abroade among all: I am glad therefore of you: but yet I woulde haue you wise vnto that which is good, and simple concerning euill.
[GNV | EN | NT | Romans | Chapter 16 | Verse 20] The God of peace shall treade Satan vnder your feete shortly. The grace of our Lord Iesus Christ be with you.
[GNV | EN | NT | Romans | Chapter 16 | Verse 21] Timotheus my helper, and Lucius, and Iason, and Sosipater my kinsemen, salute you.
[GNV | EN | NT | Romans | Chapter 16 | Verse 22] I Tertius, which wrote out this Epistle, salute you in the Lord.
[GNV | EN | NT | Romans | Chapter 16 | Verse 23] Gains mine hoste, and of the whole Church saluteth you. Erastus the steward of the citie saluteth you, and Quartus a brother.
[GNV | EN | NT | Romans | Chapter 16 | Verse 24] The grace of our Lord Iesus Christ be with you all. Amen.
[GNV | EN | NT | Romans | Chapter 16 | Verse 25] To him nowe that is of power to establish you according to my Gospel, and preaching of Iesus Christ, by the reuelation of the mysterie, which was kept secrete since the worlde began:
[GNV | EN | NT | Romans | Chapter 16 | Verse 26] (But nowe is opened, and published among all nations by the Scriptures of the Prophetes, at the commandement of the euerlasting God for the obedience of faith)
[GNV | EN | NT | Romans | Chapter 16 | Verse 27] To God, I say, only wise, be praise through Iesus Christ for euer. Amen. ‘Written to the Romans from Corinthus, and sent by Phebe, seruaunt of the Church which is at Cenchrea.’
