[GNV | EN | NT | Romans | Chapter 9 | Verse 1] I say the trueth in Christ, I lye not, my conscience bearing mee witnes in the holy Ghost,
[GNV | EN | NT | Romans | Chapter 9 | Verse 2] That I haue great heauinesse, and continuall sorow in mine heart.
[GNV | EN | NT | Romans | Chapter 9 | Verse 3] For I woulde wish my selfe to be separate from Christ, for my brethren that are my kinsemen according to the flesh,
[GNV | EN | NT | Romans | Chapter 9 | Verse 4] Which are the Israelites, to whome perteineth the adoption, and the glory, and the Couenants, and the giuing of the Lawe, and the seruice of God, and the promises.
[GNV | EN | NT | Romans | Chapter 9 | Verse 5] Of whome are the fathers, and of whome concerning the flesh, Christ came, who is God ouer all, blessed for euer, Amen.
[GNV | EN | NT | Romans | Chapter 9 | Verse 6] Notwithstanding it can not bee that the worde of God should take none effect: for all they are not Israel, which are of Israel:
[GNV | EN | NT | Romans | Chapter 9 | Verse 7] Neither are they all children, because they are the seede of Abraham: but, In Isaac shall thy seede be called:
[GNV | EN | NT | Romans | Chapter 9 | Verse 8] That is, they which are the children of the flesh, are not the children of God: but the children of the promise, are counted for the seede.
[GNV | EN | NT | Romans | Chapter 9 | Verse 9] For this is a worde of promise, In this same time wil I come, and Sara shall haue a sonne.
[GNV | EN | NT | Romans | Chapter 9 | Verse 10] Neither he onely felt this, but also Rebecca when shee had conceiued by one, euen by our father Isaac.
[GNV | EN | NT | Romans | Chapter 9 | Verse 11] For yer the children were borne, and when they had neither done good, nor euill (that the purpose of God might remaine according to election, not by workes, but by him that calleth)
[GNV | EN | NT | Romans | Chapter 9 | Verse 12] It was said vnto her, The elder shall serue the yonger.
[GNV | EN | NT | Romans | Chapter 9 | Verse 13] As it is written, I haue loued Iacob, and haue hated Esau.
[GNV | EN | NT | Romans | Chapter 9 | Verse 14] What shall wee say then? Is there vnrighteousnes with God? God forbid.
[GNV | EN | NT | Romans | Chapter 9 | Verse 15] For he saith to Moses, I wil haue mercy on him, to whom I wil shew mercie: and wil haue compassion on him, on who I wil haue copassion.
[GNV | EN | NT | Romans | Chapter 9 | Verse 16] So then it is not in him that willeth, nor in him that runneth, but in God that sheweth mercy.
[GNV | EN | NT | Romans | Chapter 9 | Verse 17] For the Scripture saith vnto Pharao, For this same purpose haue I stirred thee vp, that I might shewe my power in thee, and that my Name might be declared throughout al the earth.
[GNV | EN | NT | Romans | Chapter 9 | Verse 18] Therefore he hath mercie on whome he will, and whom he will, he hardeneth.
[GNV | EN | NT | Romans | Chapter 9 | Verse 19] Thou wilt say then vnto me, Why doeth he yet complaine? for who hath resisted his will?
[GNV | EN | NT | Romans | Chapter 9 | Verse 20] But, O man, who art thou which pleadest against God? shall the thing formed say to him that formed it, Why hast thou made me thus?
[GNV | EN | NT | Romans | Chapter 9 | Verse 21] Hath not the potter power of the clay to make of the same lumpe one vessell to honour, and another vnto dishonour?
[GNV | EN | NT | Romans | Chapter 9 | Verse 22] What and if God would, to shewe his wrath, and to make his power knowen, suffer with long patience the vessels of wrath, prepared to destruction?
[GNV | EN | NT | Romans | Chapter 9 | Verse 23] And that hee might declare the riches of his glory vpon the vessels of mercy, which hee hath prepared vnto glory?
[GNV | EN | NT | Romans | Chapter 9 | Verse 24] Euen vs whome hee hath called, not of of the Iewes onely, but also of the Gentiles,
[GNV | EN | NT | Romans | Chapter 9 | Verse 25] As he sayth also in Osee, I will call them, My people, which were not my people: and her, Beloued, which was not beloued.
[GNV | EN | NT | Romans | Chapter 9 | Verse 26] And it shalbe in the place where it was said vnto them, Ye are not my people, that there they shalbe called, The children of the liuing God.
[GNV | EN | NT | Romans | Chapter 9 | Verse 27] Also Esaias cryeth concerning Israel, Though the number of the children of Israel were as the sand of the sea, yet shall but a remnant be saued.
[GNV | EN | NT | Romans | Chapter 9 | Verse 28] For he wil make his account, and gather it into a short summe with righteousnes: for the Lord will make a short count in the earth.
[GNV | EN | NT | Romans | Chapter 9 | Verse 29] And as Esaias sayde before, Except the Lord of hostes had left vs a seede, we had bene made as Sodom, and had bene like to Gomorrha.
[GNV | EN | NT | Romans | Chapter 9 | Verse 30] What shall we say then? That the Gentiles which folowed not righteousnes, haue attained vnto righteousnes, euen the righteousnes which is of faith.
[GNV | EN | NT | Romans | Chapter 9 | Verse 31] But Israel which followed the Lawe of righteousnes, could not arteine vnto the Law of righteousnes.
[GNV | EN | NT | Romans | Chapter 9 | Verse 32] Wherefore? Because they sought it not by faith, but as it were by the workes of the Lawe: for they haue stumbled at the stumbling stone,
[GNV | EN | NT | Romans | Chapter 9 | Verse 33] As it is written, Beholde, I lay in Sion a stumbling stone, and a rocke to make men fall: and euery one that beleeueth in him, shall not be ashamed.
