[IRV | GU | NT | James | Chapter 4 | Verse 1] તમારામાં લડાઈ તથા ઝઘડા ક્યાંથી થાય છે? શું તમારા અંગમાંની લડાઈ કરનારી કુઇચ્છાથી નહિ?
[IRV | GU | NT | James | Chapter 4 | Verse 2] તમે ઇચ્છા રાખો છો, પણ તે તૃપ્ત થતી નથી, તેથી તમે હત્યા કરો છો અને ઝંખના રાખો છો પણ કંઈ મેળવી શકતા નથી; તમે લડાઈ ઝઘડા કરો છો; પણ તમારી પાસે કંઈ નથી, કેમ કે તમે માગતા નથી.
[IRV | GU | NT | James | Chapter 4 | Verse 3] તમે માગો છો, તે પામતા નથી, કેમ કે તમે પોતાના મોજશોખ પર ખરચી નાખવાના ખરાબ ઇરાદાથી માગો છો.
[IRV | GU | NT | James | Chapter 4 | Verse 4] ઓ બેવફા લોકો, શું તમે જાણતા નથી, કે જગતની મિત્રતા ઈશ્વર પ્રત્યે દુશ્મનાવટ છે? એ માટે જે કોઈ જગતનો મિત્ર થવા ચાહે છે, તે ઈશ્વરનો વૈરી થાય છે.
[IRV | GU | NT | James | Chapter 4 | Verse 5] જે આત્માને તેમણે આપણામાં વસાવ્યો, તેને તે પોતાનો જ કરવાની ઇચ્છા રાખે છે, એવું શાસ્ત્રવચનમાં કહે છે તે શું ફોકટ છે એમ તમે ધારો છો?
[IRV | GU | NT | James | Chapter 4 | Verse 6] પણ તે તો વધારે કૃપાદાન આપે છે. માટે શાસ્ત્રવચન કહે છે કે, ઈશ્વર અહંકારીઓને ધિક્કારે છે, પણ નમ્ર પર કૃપા રાખે છે.
[IRV | GU | NT | James | Chapter 4 | Verse 7] તેથી તમે ઈશ્વરને આધીન થાઓ, પણ શેતાનની સામા થાઓ, એટલે તે તમારી પાસેથી નાસી જશે.
[IRV | GU | NT | James | Chapter 4 | Verse 8] તમે ઈશ્વરની પાસે જાઓ, એટલે તે તમારી પાસે આવશે; ઓ પાપીઓ, તમારાં હાથ શુદ્ધ કરો અને ઓ બે મનવાળાઓ તમે તમારા હૃદય પવિત્ર કરો.
[IRV | GU | NT | James | Chapter 4 | Verse 9] તમે ઉદાસ થાઓ, શોક કરો અને રડો; તમારું હાસ્ય શોકમાં બદલાય તથા આનંદને બદલે ખેદ થાય.
[IRV | GU | NT | James | Chapter 4 | Verse 10] પ્રભુની સમક્ષ નમ્ર થાઓ એટલે તે તમને ઊંચા કરશે.
[IRV | GU | NT | James | Chapter 4 | Verse 11] ઓ ભાઈઓ અને બહેનો, તમે એકબીજાની નિંદા કરો નહીં; જે પોતાના ભાઈની નિંદા કરે છે અને પોતાના ભાઈને દોષિત ઠરાવે છે તે નિયમશાસ્ત્રનો ન્યાય કરે છે; અને જો તું નિયમશાસ્ત્રનો ન્યાય કરે છે; તો તું નિયમશાસ્ત્રનો અમલ કરનાર નહીં પણ તેનો ન્યાય કરનાર છે.
[IRV | GU | NT | James | Chapter 4 | Verse 12] નિયમ આપનાર તથા ન્યાય કરનાર એક જ છે, તે તો ઉદ્ધાર કરવાને તથા નાશ કરવાને શક્તિમાન છે. પણ તું કોણ કે બીજાનો ન્યાય કરે છે?
[IRV | GU | NT | James | Chapter 4 | Verse 13] હવે ચાલો, તમે કહો છો કે, આજે કે કાલે અમે આ કે તે શહેરમાં જઈને ત્યાં એક વર્ષ સુધી રહીશું; અને વેપાર કરીને લાભ મેળવીશું.
[IRV | GU | NT | James | Chapter 4 | Verse 14] હવે તમે તો નથી જાણતા કે કાલે શું થવાનું છે. તમારી જિંદગી શાના જેવી છે? કેમ કે તમે તો ધુમ્મસ જેવા છો, કે જે થોડીવાર દેખાય છે પછી અદ્રશ્ય થાય છે.
[IRV | GU | NT | James | Chapter 4 | Verse 15] પણ તેના બદલે તમારે એમ કહેવું જોઈએ, કે જો પ્રભુની ઇચ્છા હશે, તો અમે જીવતા રહીશું અને આમ કે તેમ કરીશું.
[IRV | GU | NT | James | Chapter 4 | Verse 16] પણ હવે તમે તો ગર્વ કરીને બડાઈ કરો છો, આ બધી બડાઈ ખોટી છે.
[IRV | GU | NT | James | Chapter 4 | Verse 17] એ માટે જે ભલું કાર્ય જાણ્યાં છતાં કરતો નથી તેને પાપ લાગે છે.
