[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 1] And it came to pass when king Hezekiah heard [it], that he rent his garments, and covered himself with sackcloth, and went into the house of Jehovah.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 2] And he sent Eliakim, who was over the household, and Shebna the scribe, and the elders of the priests, covered with sackcloth, to the prophet Isaiah the son of Amoz.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 3] And they said to him, Thus says Hezekiah: This day is a day of trouble, and of rebuke, and of reviling; for the children are come to the birth, and there is not strength to bring forth.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 4] It may be Jehovah thy God will hear the words of Rab-shakeh, whom the king of Assyria his master has sent to reproach the living God, and will rebuke the words which Jehovah thy God hath heard. Therefore lift up a prayer for the remnant that is left.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 5] And the servants of king Hezekiah came to Isaiah.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 6] And Isaiah said to them, Thus shall ye say to your master, Thus saith Jehovah: Be not afraid of the words that thou hast heard, wherewith the servants of the king of Assyria have blasphemed me.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 7] Behold, I will put a spirit into him, and he shall hear tidings, and shall return to his own land; and I will cause him to fall by the sword in his own land.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 8] And Rab-shakeh returned, and found the king of Assyria warring against Libnah; for he had heard that he had departed from Lachish.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 9] And he heard say of Tirhakah king of Ethiopia, He has come forth to make war with thee. And when he heard [it], he sent messengers to Hezekiah, saying,
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 10] Thus shall ye speak to Hezekiah king of Judah, saying: Let not thy God, upon whom thou reliest, deceive thee, saying, Jerusalem shall not be delivered into the hand of the king of Assyria.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 11] Behold, thou hast heard what the kings of Assyria have done to all countries, destroying them utterly; and shalt thou be delivered?
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 12] Have the gods of the nations which my fathers have destroyed delivered them, Gozan, and Haran, and Rezeph, and the children of Eden that were in Thelassar?
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 13] Where is the king of Hamath, and the king of Arpad, and the king of the city of Sepharvaim, of Hena, and Ivvah?
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 14] And Hezekiah received the letter from the hand of the messengers, and read it; and Hezekiah went up into the house of Jehovah, and spread it before Jehovah.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 15] And Hezekiah prayed to Jehovah, saying,
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 16] Jehovah of hosts, the God of Israel, who sittest [between] the cherubim, thou, the Same, thou alone art the God of all the kingdoms of the earth: thou hast made the heavens and the earth.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 17] Incline thine ear, O Jehovah, and hear; open, Jehovah, thine eyes, and see; and hear all the words of Sennacherib, who hath sent to reproach the living God.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 18] Of a truth, Jehovah, the kings of Assyria have laid waste all the lands, and their countries,
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 19] and have cast their gods into the fire; for they were no gods, but the work of men's hands, wood and stone; and they have destroyed them.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 20] And now, Jehovah our God, save us out of his hand, that all the kingdoms of the earth may know that thou art Jehovah, thou only.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 21] And Isaiah the son of Amoz sent to Hezekiah, saying, Thus saith Jehovah the God of Israel, Whereas thou hast prayed to me concerning Sennacherib king of Assyria,
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 22] this is the word which Jehovah hath spoken against him: The virgin-daughter of Zion despiseth thee, laugheth thee to scorn; the daughter of Jerusalem shaketh her head at thee.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 23] Whom hast thou reproached and blasphemed? and against whom hast thou exalted the voice? Against the Holy One of Israel hast thou lifted up thine eyes on high.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 24] By thy servants thou hast reproached the Lord, and hast said, With the multitude of my chariots am I come up to the height of the mountains, to the recesses of Lebanon; and I will cut down its tall cedars, the choice of its cypresses; and I will enter into its furthest height, [into] the forest of its fruitful field.
[DARBY | EN | OT | Isaiah | Chapter 37 | Verse 25] I have digged and drunk water; and with the sole of my feet have I dried up all the streams of Matsor.
