[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 1] The vision of Isaiah the son of Amos, which he saw concerning Judah and Jerusalem in the days of Uzziah, Jotham, Ahaz, Hezekiah, kings of Judah.
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 2] Hear, [ye] heavens, and give ear, [thou] earth! for Jehovah hath spoken: I have nourished and brought up children; and they have rebelled against me.
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 3] The ox knoweth his owner, and the ass his master's crib; Israel doth not know, my people hath no intelligence.
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 4] Ah sinful nation, a people laden with iniquity, a seed of evildoers, children that corrupt themselves! They have forsaken Jehovah; they have despised the Holy One of Israel; they are turned away backward.
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 5] Why should ye be smitten any more? ye will revolt more and more: the whole head is sick, and the whole heart faint.
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 6] From the sole of the foot even unto the head there is no soundness in him; wounds, and weals, and open sores: they have not been dressed, nor bound up, nor mollified with oil.
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 7] Your country is desolate; your cities are burned with fire; your land, strangers eat it up in your presence, and it is desolate, as overthrown by strangers.
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 8] And the daughter of Zion is left, as a booth in a vineyard, as a night-lodge in a cucumber-garden, as a besieged city.
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 9] Unless Jehovah of hosts had left us a very small residue, we should have been as Sodom, we should have been like unto Gomorrah.
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 10] Hear the word of Jehovah, rulers of Sodom; give ear unto the law of our God, people of Gomorrah!
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 11] To what purpose is the multitude of your sacrifices unto me? saith Jehovah. I am sated with burnt-offerings of rams, and the fat of fed beasts; and in the blood of bullocks, and of lambs, and of he-goats I take no pleasure.
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 12] When ye come to appear before me, who hath required this from your hand — to tread my courts?
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 13] Bring no more vain oblations! Incense is an abomination unto me, — new moon and sabbath, the calling of convocations — wickedness and the solemn meeting I cannot bear.
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 14] Your new moons and your set feasts my soul hateth: they are a burden to me; I am wearied of bearing [them].
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 15] And when ye spread forth your hands, I will hide mine eyes from you; yea, when ye make many prayers, I will not hear: your hands are full of blood.
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 16] Wash you, make you clean; put away the evil of your doings from before mine eyes; — cease to do evil,
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 17] learn to do well: seek judgment, gladden the oppressed, do justice to the fatherless, plead for the widow.
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 18] Come now, let us reason together, saith Jehovah: though your sins be as scarlet, they shall be as white as snow; though they be red like crimson, they shall be as wool.
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 19] If ye be willing and hearken, ye shall eat the good of the land;
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 20] but if ye refuse and rebel, ye shall be devoured with the sword: for the mouth of Jehovah hath spoken.
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 21] How is the faithful city become a harlot! It was full of judgment; righteousness used to lodge in it, but now murderers.
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 22] Thy silver is become dross, thy wine is mixed with water:
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 23] thy princes are rebellious, and companions of thieves; every one loveth presents, and hunteth after rewards; they judge not the fatherless, and the cause of the widow cometh not unto them.
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 24] Therefore saith the Lord, Jehovah of hosts, the Mighty One of Israel: Ah! I will ease me of mine adversaries, and avenge me of mine enemies.
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 25] And I will turn my hand upon thee, and will thoroughly purge away thy dross, and take away all thine alloy;
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 26] and I will restore thy judges as at the first, and thy counsellors as at the beginning. Afterwards thou shalt be called, Town of righteousness, Faithful city.
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 27] Zion shall be redeemed with judgment, and they that return of her with righteousness.
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 28] But the ruin of the transgressors and of the sinners [shall be] together; and they that forsake Jehovah shall be consumed.
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 29] For they shall be ashamed of the terebinths that ye have desired, and ye shall blush for the gardens that ye have chosen.
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 30] For ye shall be as a terebinth whose leaf fadeth, and as a garden that hath no water.
[DARBY | EN | OT | Isaiah | Chapter 1 | Verse 31] And the strong shall be for tow, and his work a spark; and they shall both burn together, and there shall be none to quench [them].
