[ERV | EN | OT | Hosea | Chapter 2 | Verse 1] Say ye unto your brethren, Ammi; and to your sisters, Ruhamah.
[ERV | EN | OT | Hosea | Chapter 2 | Verse 2] Plead with your mother, plead; for she is not my wife, neither am I her husband: and let her put away her whoredoms from her face, and her adulteries from between her breasts;
[ERV | EN | OT | Hosea | Chapter 2 | Verse 3] lest I strip her naked, and set her as in the day that she was born, and make her as a wilderness, and set her like a dry land, and slay her with thirst;
[ERV | EN | OT | Hosea | Chapter 2 | Verse 4] Yea, upon her children will I have no mercy; for they be children of whoredom.
[ERV | EN | OT | Hosea | Chapter 2 | Verse 5] for their mother hath played the harlot: she that conceived them hath done shamefully: for she said, I will go after my lovers, that give me my bread and my water, my wool and my flax, mine oil and my drink.
[ERV | EN | OT | Hosea | Chapter 2 | Verse 6] Therefore, behold, I will hedge up thy way with thorns, and I will make a fence against her, that she shall not find her paths.
[ERV | EN | OT | Hosea | Chapter 2 | Verse 7] And she shall follow after her lovers, but she shall not overtake them; and she shall seek them, but shall not find them: then shall she say, I will go and return to my first husband; for then was it better with me than now.
[ERV | EN | OT | Hosea | Chapter 2 | Verse 8] For she did not know that I gave her the corn, and the wine, and the oil, and multiplied unto her silver and gold, which they used for Baal.
[ERV | EN | OT | Hosea | Chapter 2 | Verse 9] Therefore will I take back my corn in the time thereof, and my wine in the season thereof, and will pluck away my wool and my flax which should have covered her nakedness.
[ERV | EN | OT | Hosea | Chapter 2 | Verse 10] And now will I discover her lewdness in the sight of her lovers, and none shall deliver her out of mine hand.
[ERV | EN | OT | Hosea | Chapter 2 | Verse 11] I will also cause all her mirth to cease, her feasts, her new moons, and her sabbaths, and all her solemn assemblies.
[ERV | EN | OT | Hosea | Chapter 2 | Verse 12] And I will lay waste her vines and her fig trees, whereof she hath said, These are my hire that my lovers have given me: and I will make them a forest, and the beasts of the field shall eat them.
[ERV | EN | OT | Hosea | Chapter 2 | Verse 13] And I will visit upon her the days of the Baalim, unto which she burned incense; when she decked herself with her earrings and her jewels, and went after her lovers, and forgat me, saith the LORD.
[ERV | EN | OT | Hosea | Chapter 2 | Verse 14] Therefore, behold, I will allure her, and bring her into the wilderness, and speak comfortably unto her.
[ERV | EN | OT | Hosea | Chapter 2 | Verse 15] And I will give her her vineyards from thence, and the valley of Achor for a door of hope: and she shall make answer there, as in the days of her youth, and as in the day when she came up out of the land of Egypt.
[ERV | EN | OT | Hosea | Chapter 2 | Verse 16] And it shall be at that day, saith the LORD, that thou shalt call me Ishi; and shalt call me no more Baali.
[ERV | EN | OT | Hosea | Chapter 2 | Verse 17] For I will take away the names of the Baalim out of her mouth, and they shall no more be mentioned by their name.
[ERV | EN | OT | Hosea | Chapter 2 | Verse 18] And in that day will I make a covenant for them with the beasts of the field, and with the fowls of heaven, and with the creeping things of the ground: and I will break the bow and the sword and the battle out of the land, and will make them to lie down safely.
[ERV | EN | OT | Hosea | Chapter 2 | Verse 19] And I will betroth thee unto me for ever; yea, I will betroth thee unto me in righteousness, and in judgment, and in lovingkindness, and in mercies.
[ERV | EN | OT | Hosea | Chapter 2 | Verse 20] I will even betroth thee unto me in faithfulness: and thou shalt know the LORD.
[ERV | EN | OT | Hosea | Chapter 2 | Verse 21] And it shall come to pass in that day, I will answer, saith the LORD, I will answer the heavens, and they shall answer the earth;
[ERV | EN | OT | Hosea | Chapter 2 | Verse 22] and the earth shall answer the corn, and the wine, and the oil; and they shall answer Jezreel.
[ERV | EN | OT | Hosea | Chapter 2 | Verse 23] And I wilt sow her unto me in the earth; and I will have mercy upon her that had not obtained mercy; and I will say to them which were not my people, Thou art my people; and they shall say, Thou art my God.
