[IRV | ML | OT | Exodus | Chapter 40 | Verse 1] അനന്തരം യഹോവ മോശെയോടു അരുളിച്ചെയ്തതു എന്തെന്നാൽ:
[IRV | ML | OT | Exodus | Chapter 40 | Verse 2] ഒന്നാം മാസം ഒന്നാം തിയ്യതി നീ സമാഗമനകൂടാരമെന്ന തിരുനിവാസം നിവിർക്കേണം.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 3] സാക്ഷ്യപെട്ടകം അതിൽ വെച്ചു തിരശ്ശീലകൊണ്ടു പെട്ടകം മറെക്കേണം.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 4] മേശ കൊണ്ടുവന്നു അതിന്റെ സാധനങ്ങൾ ക്രമത്തിൽ വെക്കേണം. നിലവിളക്കു കൊണ്ടുവന്നു അതിന്റെ ദീപം കൊളുത്തേണം.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 5] ധൂപത്തിന്നുള്ള പൊൻപീഠം സാക്ഷ്യപെട്ടകത്തിന്നു മുമ്പിൽ വെച്ചു തിരുനിവാസവാതിലിന്റെ മറശ്ശീല തൂക്കേണം.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 6] സമാഗമനകൂടാരമെന്ന തിരുനിവാസത്തിന്റെ വാതിലിന്നു മുമ്പിൽ ഹോമയാഗപീഠം വെക്കേണം.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 7] സമാഗമനകൂടാരത്തിന്നും യാഗപീഠത്തിന്നും നടുവിൽ തൊട്ടി വെച്ചു അതിൽ വെള്ളം ഒഴിക്കേണം.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 8] ചുറ്റും പ്രാകാരം നിവിർത്തു പ്രാകാരവാതിലിന്റെ മറശ്ശീല തൂക്കേണം.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 9] അഭിഷേകതൈലം എടുത്തു തിരുനിവാസവും അതിലുള്ള സകലവും അഭിഷേകം ചെയ്തു അതും അതിന്റെ ഉപകരണങ്ങളൊക്കെയും ശുദ്ധീകരിക്കേണം; അതു വിശുദ്ധമായിരിക്കേണം.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 10] ഹോമയാഗപീഠവും അതിന്റെ ഉപകരണങ്ങൾ ഒക്കെയും അഭിഷേകം ചെയ്തു യാഗപീഠം ശുദ്ധീകരിക്കേണം; യാഗപീഠം അതിവിശുദ്ധമായിരിക്കേണം.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 11] തൊട്ടിയും അതിന്റെ കാലും അഭിഷേകം ചെയ്തു ശുദ്ധീകരിക്കേണം.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 12] അഹരോനെയും പുത്രന്മാരെയും സമാഗമനകൂടാരത്തിന്റെ വാതിൽക്കൽ കൊണ്ടുവന്നു അവരെ വെള്ളംകൊണ്ടു കഴുകേണം.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 13] അഹരോനെ വിശുദ്ധവസ്ത്രം ധരിപ്പിച്ചു, എനിക്കു പുരോഹിതശുശ്രൂഷ ചെയ്യേണ്ടതിന്നു അവനെ അഭിഷേകം ചെയ്തു ശുദ്ധീകരിക്കേണം.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 14] അവന്റെ പുത്രന്മാരെ വരുത്തി അങ്കി ധരിപ്പിച്ചു,
[IRV | ML | OT | Exodus | Chapter 40 | Verse 15] എനിക്കു പുരോഹിത ശുശ്രൂഷ ചെയ്യേണ്ടതിന്നു അവരുടെ അപ്പനെ അഭിഷേകം ചെയ്തതുപോലെ അവരെയും അഭിഷേകം ചെയ്യേണം; അവരുടെ അഭിഷേകം ഹേതുവായി അവർക്കു തലമുറതലമുറയോളം നിത്യപൗരോഹിത്യം ഉണ്ടായിരിക്കേണം.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 16] മോശെ അങ്ങനെ ചെയ്തു; യഹോവ തന്നോടു കല്പിച്ചതുപോലെ ഒക്കെയും അവൻ ചെയ്തു.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 17] ഇങ്ങനെ രണ്ടാം സംവത്സരം ഒന്നാം മാസം ഒന്നാം തിയ്യതി തിരുനിവാസം നിവിർത്തു.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 18] മോശെ തിരുനിവാസം നിവിർക്കുകയും അതിന്റെ ചുവടു ഉറപ്പിക്കയും പലക നിറുത്തുകയും അന്താഴം ചെലുത്തുകയും തൂൺ നാട്ടുകയും ചെയ്തു.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 19] അവൻ മൂടുവിരി തിരുനിവാസത്തിന്മേൽ വിരിച്ചു അതിന്മീതെ മൂടുവിരിയുടെ പുറമൂടിയും വിരിച്ചു; യഹോവാ മോശെയോടു കല്പിച്ചതുപോലെ തന്നേ.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 20] അവൻ സാക്ഷ്യം എടുത്തു പെട്ടകത്തിൽ വെച്ചു; പെട്ടകത്തിന്നു തണ്ടു ചെലുത്തി പെട്ടകത്തിന്നു മീതെ കൃപാസനം വെച്ചു.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 21] പെട്ടകം തിരുനിവാസത്തിൽ കൊണ്ടുവന്നു മറയുടെ തിരശ്ശീല തൂക്കി സാക്ഷ്യപെട്ടകം മറെച്ചു; യഹോവ മോശെയോടു കല്പിച്ചതുപോലെ തന്നേ.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 22] സമാഗമനകൂടാരത്തിൽ തിരുനിവാസത്തിന്റെ വടക്കുവശത്തു തിരശ്ശീലെക്കു പുറത്തായി മേശവെച്ചു.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 23] അതിന്മേൽ യഹോവയുടെ സന്നിധിയിൽ അപ്പം അടുക്കിവെച്ചു; യഹോവ മോശെയോടു കല്പിച്ചതുപോലെ തന്നേ.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 24] സമാഗമനകൂടാരത്തിൽ മേശെക്കു നേരെ തിരുനിവാസത്തിന്റെ തെക്കുവശത്തു നിലവിളക്കു വെക്കയും യഹോവയുടെ സന്നിധിയിൽ ദീപം കൊളുത്തുകയും ചെയ്തു;
[IRV | ML | OT | Exodus | Chapter 40 | Verse 25] യഹോവ മോശെയോടു കല്പിച്ചതുപോലെ തന്നേ.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 26] സമാഗമനകൂടാരത്തിൽ തിരശ്ശീലയുടെ മുൻവശത്തു പൊന്നുകൊണ്ടുള്ള ധൂപപീഠം വെക്കയും അതിന്മേൽ സുഗന്ധധൂപവർഗ്ഗം ധൂപിക്കയും ചെയ്തു;
[IRV | ML | OT | Exodus | Chapter 40 | Verse 27] യഹോവ മോശെയോടു കല്പിച്ചതുപോലെ തന്നേ.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 28] അവൻ തിരുനിവാസത്തിന്റെ വാതിലിന്നുള്ള മറശ്ശീല തൂക്കി.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 29] ഹോമയാഗപീഠം സമാഗമനകൂടാരമെന്ന തിരുനിവാസത്തിന്റെ വാതിലിന്നു മുൻവശത്തു വെക്കയും അതിന്മേൽ ഹോമയാഗവും ഭോജനയാഗവും അർപ്പിക്കയും ചെയ്തു. യഹോവ മോശെയോടു കല്പിച്ചതുപോലെ തന്നേ.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 30] സമാഗമനകൂടാരത്തിന്നും യാഗപീഠത്തിന്നും നടുവിൽ അവൻ തൊട്ടിവെക്കയും കഴുകേണ്ടതിന്നു അതിൽ വെള്ളം ഒഴിക്കയും ചെയ്തു.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 31] മോശെയും അഹരോനും അവന്റെ പുത്രന്മാരും അതിൽ കയ്യും കാലും കഴുകി.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 32] അവർ സമാഗമനകൂടാരത്തിൽ കടക്കുമ്പോഴും യാഗപീഠത്തിങ്കൽ ചെല്ലുമ്പോഴും കൈകാലുകൾ കഴുകും; യഹോവ മോശെയോടു കല്പിച്ചതുപോലെ തന്നേ.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 33] അവൻ തിരുനിവാസത്തിന്നും യാഗപീഠത്തിന്നും ചുറ്റം പ്രാകാരം നിറുത്തി; പ്രാകാരവാതിലിന്റെ മറശ്ശീല തൂക്കി. ഇങ്ങനെ മോശെ പ്രവൃത്തി സമാപിച്ചു.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 34] അപ്പോൾ മേഘം സമാഗമനകൂടാരത്തെ മൂടി, യഹോവയുടെ തേജസ്സു തിരുനിവാസത്തെ നിറെച്ചു.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 35] മേഘം സമാഗമനകൂടാരത്തിന്മേൽ അധിവസിക്കയും യഹോവയുടെ തേജസ്സു തിരുനിവാസത്തെ നിറെക്കയും ചെയ്തതുകൊണ്ടു മോശെക്കു അകത്തു കടപ്പാൻ കഴിഞ്ഞില്ല.
[IRV | ML | OT | Exodus | Chapter 40 | Verse 36] യിസ്രായേൽമക്കൾ തങ്ങളുടെ സകലപ്രയാണങ്ങളിലും മേഘം തിരുനിവാസത്തിന്മേൽനിന്നു ഉയരുമ്പോൾ യാത്ര പുറപ്പെടും.
