[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 1] Now these be the last words of David. David the son of Jesse said, And the man who was raised up on high, The anointed of the God of Jacob, And the sweet psalmist of Israel, said,
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 2] The Spirit of the Lord spake by me, And his word was in my tongue.
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 3] The God of Israel said, The Rock of Israel spake to me, He that ruleth over men must be just, Ruling in the fear of God.
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 4] And he shall be as the light of the morning, when the sun riseth, Even a morning without clouds; As the tender grass springing out of the earth By clear shining after rain.
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 5] Although my house be not so with God; Yet he hath made with me an everlasting covenant, Ordered in all things, and sure: For this is all my salvation, and all my desire, Although he make it not to grow.
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 6] But the sons of Belial shall be all of them as thorns thrust away, Because they cannot be taken with hands:
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 7] But the man that shall touch them must be fenced with iron and the staff of a spear; And they shall be utterly burnt with fire in the same place.
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 8] These be the names of the mighty men whom David had: The Tachmonite that sat in the seat, chief among the captains; the same was Adino the Eznite: he lift up his spear against eight hundred, whom he slew at one time.
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 9] And after him was Eleazar the son of Dodo the Ahohite, one of the three mighty men with David, when they defied the Philistines that were there gathered together to battle, and the men of Israel were gone away:
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 10] he arose, and smote the Philistines until his hand was weary, and his hand clave unto the sword: and the Lord wrought a great victory that day; and the people returned after him only to spoil.
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 11] And after him was Shammah the son of Agee the Hararite. And the Philistines were gathered together into a troop, where was a piece of ground full of lentiles: and the people fled from the Philistines.
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 12] But he stood in the midst of the ground, and defended it, and slew the Philistines: and the Lord wrought a great victory.
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 13] And three of the thirty chief went down, and came to David in the harvest time unto the cave of Adullam: and the troop of the Philistines pitched in the valley of Rephaim.
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 14] And David was then in a hold, and the garrison of the Philistines was then in Beth-lehem.
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 15] And David longed, and said, Oh that one would give me drink of the water of the well of Beth-lehem, which is by the gate.
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 16] And the three mighty men brake through the host of the Philistines, and drew water out of the well of Beth-lehem, that was by the gate, and took it, and brought it to David: nevertheless he would not drink thereof, but poured it out unto the Lord.
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 17] And he said, Be it far from me, O Lord, that I should do this: is not this the blood of the men that went in jeopardy of their lives? therefore he would not drink it. These things did these three mighty men.
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 18] And Abishai, the brother of Joab, the son of Zeruiah, was chief among three. And he lift up his spear against three hundred, and slew them, and had the name among three.
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 19] Was he not most honourable of three? therefore he was their captain: howbeit he attained not unto the first three.
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 20] And Benaiah the son of Jehoiada, the son of a valiant man, of Kabzeel, who had done many acts, he slew two lionlike men of Moab: he went down also and slew a lion in the midst of a pit in time of snow:
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 21] and he slew an Egyptian, a goodly man: and the Egyptian had a spear in his hand; but he went down to him with a staff, and plucked the spear out of the Egyptian’s hand, and slew him with his own spear.
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 22] These things did Benaiah the son of Jehoiada, and had the name among three mighty men.
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 23] He was more honourable than the thirty, but he attained not to the first three. And David set him over his guard.
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 24] Asahel the brother of Joab was one of the thirty; Elhanan the son of Dodo of Beth-lehem,
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 25] Shammah the Harodite, Elika the Harodite,
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 26] Helez the Paltite, Ira the son of Ikkesh the Tekoite,
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 27] Abiezer the Anethothite, Mebunnai the Hushathite,
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 28] Zalmon the Ahohite, Maharai the Netophathite,
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 29] Heleb the son of Baanah, a Netophathite, Ittai the son of Ribai out of Gibeah of the children of Benjamin,
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 30] Benaiah the Pirathonite, Hiddai of the brooks of Gaash,
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 31] Abialbon the Arbathite, Azmaveth the Barhumite,
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 32] Eliahba the Shaalbonite, of the sons of Jashen, Jonathan,
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 33] Shammah the Hararite, Ahiam the son of Sharar the Hararite,
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 34] Eliphelet the son of Ahasbai, the son of the Maachathite, Eliam the son of Ahithophel the Gilonite,
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 35] Hezrai the Carmelite, Paarai the Arbite,
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 36] Igal the son of Nathan of Zobah, Bani the Gadite,
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 37] Zelek the Ammonite, Naharai the Beerothite, armourbearer to Joab the son of Zeruiah,
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 38] Ira an Ithrite, Gareb an Ithrite,
[KJV | EN | OT | 2 Samuel | Chapter 23 | Verse 39] Uriah the Hittite: thirty and seven in all.
