[YLT | EN | OT | Leviticus | Chapter 23 | Verse 1] And Jehovah speaketh unto Moses, saying,
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 2] 'Speak unto the sons of Israel, and thou hast said unto them, Appointed seasons of Jehovah, which ye proclaim, holy convocations, [are] these: they [are] My appointed seasons:
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 3] six days is work done, and in the seventh day [is] a sabbath of rest, a holy convocation; ye do no work; it [is] a sabbath to Jehovah in all your dwellings.
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 4] 'These [are] appointed seasons of Jehovah, holy convocations, which ye proclaim in their appointed seasons:
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 5] in the first month, on the fourteenth of the month, between the evenings, [is] the passover to Jehovah;
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 6] and on the fifteenth day of this month [is] the feast of unleavened things to Jehovah; seven days unleavened things ye do eat;
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 7] on the first day ye have a holy convocation, ye do no servile work;
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 8] and ye have brought near a fire-offering to Jehovah seven days; in the seventh day [is] a holy convocation; ye do no servile work.'
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 9] And Jehovah speaketh unto Moses, saying,
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 10] 'Speak unto the sons of Israel, and thou hast said unto them, When ye come in unto the land which I am giving to you, and have reaped its harvest, and have brought in the sheaf, the beginning of your harvest unto the priest,
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 11] then he hath waved the sheaf before Jehovah for your acceptance; on the morrow of the sabbath doth the priest wave it.
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 12] 'And ye have prepared in the day of your waving the sheaf a lamb, a perfect one, a son of a year, for a burnt-offering to Jehovah,
[YLT | EN | OT | Leviticus | Chapter 23 | Verse 13] and its present two tenth deals of flour mixed with oil, a fire-offering to Jehovah, a sweet fragrance, and its drink-offering, wine, a fourth of the hin.
