[YLT | EN | OT | Leviticus | Chapter 3 | Verse 1] 'And if his offering [is] a sacrifice of peace-offerings, if out of the herd he is bringing near, whether male or female, a perfect one he doth bring near before Jehovah,
[YLT | EN | OT | Leviticus | Chapter 3 | Verse 2] and he hath laid his hand on the head of his offering, and hath slaughtered it at the opening of the tent of meeting, and sons of Aaron, the priests, have sprinkled the blood on the altar round about.
[YLT | EN | OT | Leviticus | Chapter 3 | Verse 3] 'And he hath brought near from the sacrifice of the peace-offerings a fire-offering to Jehovah, the fat which is covering the inwards, and all the fat which [is] on the inwards,
[YLT | EN | OT | Leviticus | Chapter 3 | Verse 4] and the two kidneys, and the fat which [is] on them, which [is] on the flanks, and the redundance above the liver, (beside the kidneys he doth turn it aside),
[YLT | EN | OT | Leviticus | Chapter 3 | Verse 5] and sons of Aaron have made it a perfume on the altar, on the burnt-offering which [is] on the wood, which [is] on the fire — a fire-offering of sweet fragrance to Jehovah.
[YLT | EN | OT | Leviticus | Chapter 3 | Verse 6] 'And if his offering [is] out of the flock for a sacrifice of peace-offerings to Jehovah, male or female, a perfect one he doth bring near;
[YLT | EN | OT | Leviticus | Chapter 3 | Verse 7] if a sheep he is bringing near [for] his offering, then he hath brought it near before Jehovah,
[YLT | EN | OT | Leviticus | Chapter 3 | Verse 8] and hath laid his hand on the head of his offering, and hath slaughtered it before the tent of meeting, and sons of Aaron have sprinkled its blood on the altar round about.
[YLT | EN | OT | Leviticus | Chapter 3 | Verse 9] 'And he hath brought near from the sacrifice of the peace-offerings a fire-offering to Jehovah, its fat, the whole fat tail (over-against the bone he doth turn it aside), and the fat which is covering the inwards, and all the fat which [is] on the inwards,
[YLT | EN | OT | Leviticus | Chapter 3 | Verse 10] and the two kidneys, and the fat which [is] on them, which [is] on the flanks, and the redundance above the liver, (beside the kidneys he doth turn it aside),
[YLT | EN | OT | Leviticus | Chapter 3 | Verse 11] and the priest hath made it a perfume on the altar — bread of a fire-offering to Jehovah.
[YLT | EN | OT | Leviticus | Chapter 3 | Verse 12] 'And if his offering [is] a goat, then he hath brought it near before Jehovah,
[YLT | EN | OT | Leviticus | Chapter 3 | Verse 13] and hath laid his hand on its head, and hath slaughtered it before the tent of meeting, and sons of Aaron have sprinkled its blood on the altar round about;
[YLT | EN | OT | Leviticus | Chapter 3 | Verse 14] and he hath brought near from it his offering, a fire-offering to Jehovah, the fat which is covering the inwards, and all the fat which [is] on the inwards,
[YLT | EN | OT | Leviticus | Chapter 3 | Verse 15] and the two kidneys, and the fat which [is] upon them, which [is] on the flanks, and the redundance above the liver, (beside the kidneys he doth turn it aside),
[YLT | EN | OT | Leviticus | Chapter 3 | Verse 16] and the priest hath made them a perfume on the altar — bread of a fire-offering, for sweet fragrance; all the fat [is] Jehovah's.
[YLT | EN | OT | Leviticus | Chapter 3 | Verse 17] 'A statute age-during to your generations in all your dwellings: any fat or any blood ye do not eat.'
