[ASV | EN | OT | Susanna | Chapter 1 | Verse 1] There dwelt a man in Babylon, and his name was Joakim:
[ASV | EN | OT | Susanna | Chapter 1 | Verse 2] and he took a wife, whose name was Susanna, the daughter of Hilkiah, a very fair woman, and one that feared the Lord.
[ASV | EN | OT | Susanna | Chapter 1 | Verse 3] Her parents also were righteous, and taught their daughter according to the law of Moses.
[ASV | EN | OT | Susanna | Chapter 1 | Verse 4] Now Joakim was a great rich man, and had a fair garden joining unto his house: and to him resorted the Jews; because he was more honorable than all others.
[ASV | EN | OT | Susanna | Chapter 1 | Verse 5] And the same year there were appointed two of the ancients of the people to be judges, such as the Lord spake of, that wickedness came from Babylon from ancient judges, who were accounted to govern the people.
[ASV | EN | OT | Susanna | Chapter 1 | Verse 6] These kept much at Joakim’s house: and all that had any suits in law came unto them.
[ASV | EN | OT | Susanna | Chapter 1 | Verse 7] Now when the people departed away at noon, Susanna went into her husband’s garden to walk.
[ASV | EN | OT | Susanna | Chapter 1 | Verse 8] And the two elders beheld her going in every day, and walking; and they were inflamed with love for her.
[ASV | EN | OT | Susanna | Chapter 1 | Verse 9] And they perverted their own mind, and turned away their eyes, that they might not look unto heaven, nor remember just judgments.
[ASV | EN | OT | Susanna | Chapter 1 | Verse 10] And albeit they both were wounded with her love, yet durst not one show another his grief.
[ASV | EN | OT | Susanna | Chapter 1 | Verse 11] For they were ashamed to declare their lust, that they desired to have to do with her.
[ASV | EN | OT | Susanna | Chapter 1 | Verse 12] Yet they watched jealously from day to day to see her.
[ASV | EN | OT | Susanna | Chapter 1 | Verse 13] And the one said to the other, Let us now go home: for it is dinner time.
[ASV | EN | OT | Susanna | Chapter 1 | Verse 14] So when they were gone out, they parted the one from the other, and turning back again they came to the same place; and after that they had asked one another the cause, they acknowledged their lust: and then appointed they a time both together, when they might find her alone.
[ASV | EN | OT | Susanna | Chapter 1 | Verse 15] And it fell out, as they watched a fit day, she went in as aforetime with two maids only, and she was desirous to wash herself in the garden: for it was hot.
[ASV | EN | OT | Susanna | Chapter 1 | Verse 16] And there was no one there save the two elders, that had hidden themselves, and watched her.
[ASV | EN | OT | Susanna | Chapter 1 | Verse 17] Then she said to her maids, Bring me oil and washing balls, and shut the garden doors, that I may wash me.
[ASV | EN | OT | Susanna | Chapter 1 | Verse 18] And they did as she bade them, and shut the garden doors, and went out themselves at the side doors to fetch the things that she had commanded them: and they saw not the elders, because they were hidden.
[ASV | EN | OT | Susanna | Chapter 1 | Verse 19] Now when the maids were gone forth, the two elders rose up, and ran unto her, saying,
[ASV | EN | OT | Susanna | Chapter 1 | Verse 20] Behold, the garden doors are shut, that no man can see us, and we are in love with thee; therefore consent unto us, and lie with us.
[ASV | EN | OT | Susanna | Chapter 1 | Verse 21] If thou wilt not, we will bear witness against thee, that a young man was with thee: and therefore thou didst send away thy maids from thee.
[ASV | EN | OT | Susanna | Chapter 1 | Verse 22] Then Susanna sighed, and said, I am straitened on every side: for if I do this thing, it is death unto me: and if I do it not, I cannot escape your hands.
[ASV | EN | OT | Susanna | Chapter 1 | Verse 23] It is better for me to fall into your hands, and not do it, than to sin in the sight of the Lord.
[ASV | EN | OT | Susanna | Chapter 1 | Verse 24] With that Susanna cried with a loud voice: and the two elders cried out against her.
[ASV | EN | OT | Susanna | Chapter 1 | Verse 25] Then ran the one, and opened the garden doors.
[ASV | EN | OT | Susanna | Chapter 1 | Verse 26] So when the servants of the house heard the cry in the garden, they rushed in at the side door, to see what had befallen her.
[ASV | EN | OT | Susanna | Chapter 1 | Verse 27] But when the elders had told their tale, the servants were greatly ashamed: for there was never such a report made of Susanna.
