[JPS | EN | OT | Zechariah | Chapter 7 | Verse 1] And it came to pass in the fourth year of king Darius, that the word of the LORD came unto Zechariah in the fourth day of the ninth month, even in Chislev;
[JPS | EN | OT | Zechariah | Chapter 7 | Verse 2] When Bethel-sarezer, and Regem-melech and his men, had sent to entreat the favour of the LORD,
[JPS | EN | OT | Zechariah | Chapter 7 | Verse 3] and to speak unto the priests of the house of the LORD of hosts, and to the prophets, saying: 'Should I weep in the fifth month, separating myself, as I have done these so many years?'
[JPS | EN | OT | Zechariah | Chapter 7 | Verse 4] Then came the word of the LORD of hosts unto me, saying:
[JPS | EN | OT | Zechariah | Chapter 7 | Verse 5] 'Speak unto all the people of the land, and to the priests, saying: When ye fasted and mourned in the fifth and in the seventh month, even these seventy years, did ye at all fast unto Me, even to Me?
[JPS | EN | OT | Zechariah | Chapter 7 | Verse 6] And when ye eat, and when ye drink, are ye not they that eat, and they that drink?
[JPS | EN | OT | Zechariah | Chapter 7 | Verse 7] Should ye not hearken to the words which the LORD hath proclaimed by the former prophets, when Jerusalem was inhabited and in prosperity, and the cities thereof round about her, and the South and the Lowland were inhabited?'
[JPS | EN | OT | Zechariah | Chapter 7 | Verse 8] And the word of the LORD came unto Zechariah, saying:
[JPS | EN | OT | Zechariah | Chapter 7 | Verse 9] 'Thus hath the LORD of hosts spoken, saying: Execute true judgment, and show mercy and compassion every man to his brother;
[JPS | EN | OT | Zechariah | Chapter 7 | Verse 10] and oppress not the widow, nor the fatherless, the stranger, nor the poor; and let none of you devise evil against his brother in your heart.
[JPS | EN | OT | Zechariah | Chapter 7 | Verse 11] But they refused to attend, and turned a stubborn shoulder, and stopped their ears, that they might not hear.
[JPS | EN | OT | Zechariah | Chapter 7 | Verse 12] Yea, they made their hearts as an adamant stone, lest they should hear the law, and the words which the LORD of hosts had sent by His spirit by the hand of the former prophets; therefore came there great wrath from the LORD of hosts.
[JPS | EN | OT | Zechariah | Chapter 7 | Verse 13] And it came to pass that, as He called, and they would not hear; so they shall call, and I will not hear, said the LORD of hosts;
[JPS | EN | OT | Zechariah | Chapter 7 | Verse 14] but I will scatter them with a whirlwind among all the nations whom they have not known. Thus the land was desolate after them, so that no man passed through nor returned; for they laid the pleasant land desolate.'
