[LXX | EL | OT | Wisdom of Solomon | Chapter 10 | Verse 1] Αὕτη πρωτόπλαστον πατέρα κόσμου μόνον κτισθέντα διεφύλαξε, καὶ ἐξείλατο αὐτὸν ἐκ παραπτώματος ἰδίου,
[LXX | EL | OT | Wisdom of Solomon | Chapter 10 | Verse 2] ἔδωκέ τε αὐτῷ ἰσχὺν κρατῆσαι ἁπάντων.
[LXX | EL | OT | Wisdom of Solomon | Chapter 10 | Verse 3] Ἀποστὰς δὲ ἀπʼ αὐτῆς ἄδικος ἐν ὀργῇ αὐτοῦ, ἀδελφοκτόνοις συναπώλετο θυμοῖς,
[LXX | EL | OT | Wisdom of Solomon | Chapter 10 | Verse 4] διʼ ὃν κατακλυζομένην γῆν πάλιν διέσωσε σοφία, διʼ εὐτελοῦς ξύλου τὸν δίκαιον κυβερνήσασα.
[LXX | EL | OT | Wisdom of Solomon | Chapter 10 | Verse 5] Αὕτη καὶ ἐν ὁμονοίᾳ πονηρίας ἐθνῶν συγχυθέντων εὗρε τὸν δίκαιον, καὶ ἐτήρησεν αὐτὸν ἄμεμπτον Θεῷ, καὶ ἐπὶ τέκνου σπλάγχνοις ἰσχυρὸν ἐφύλαξεν.
[LXX | EL | OT | Wisdom of Solomon | Chapter 10 | Verse 6] Αὕτη δίκαιον, ἐξαπολλυμένων ἀσεβῶν, ἐῤῥύσατο φυγόντα πῦρ καταβάσιον Πενταπόλεως·
[LXX | EL | OT | Wisdom of Solomon | Chapter 10 | Verse 7] οἷς ἐτὶ μαρτύριον τῆς πονηρίας καπνιζομένη καθέστηκε χέρσος, καὶ ἀτελέσιν ὥραις καρποφοροῦντα φυτά· ἀπιστοῦσης ψυχῆς μνημεῖον ἑστηκυῖα στήλη ἁλός.
[LXX | EL | OT | Wisdom of Solomon | Chapter 10 | Verse 8] Σοφίαν γὰρ παροδεύσαντες οὐ μόνον ἐβλάβησαν τοῦ μὴ γνῶναι τὰ καλὰ, ἀλλὰ καὶ τῆς ἀφροσύνης ἀπέλιπον τῷ βίῳ μνημόσυνον, ἵνα ἐν οἷς ἐσφάλησαν μηδὲ λαθεῖν δυνηθῶσι.
[LXX | EL | OT | Wisdom of Solomon | Chapter 10 | Verse 9] Σοφία δὲ τοὺς θεραπεύσαντας αὐτὴν ἐκ πόνων ἐῤῥύσατο.
[LXX | EL | OT | Wisdom of Solomon | Chapter 10 | Verse 10] Αὕτη φυγάδα ὀργῆς ἀδελφοῦ δίκαιον ὡδήγησεν ἐν τρίβοις εὐθείαις, ἔδειξεν αὐτῷ βασιλείαν Θεοῦ, καὶ ἔδωκεν αὐτῷ γνῶσιν ἁγίων, εὐπόρησεν αὐτὸν ἐν μόχθοις, καὶ ἐπλήθυνε τοὺς πόνους αὐτοῦ.
[LXX | EL | OT | Wisdom of Solomon | Chapter 10 | Verse 11] Ἐν πλεονεξίᾳ κατισχύοντων αὐτὸν παρέστη, καὶ ἐπλούτισεν αὐτόν.
[LXX | EL | OT | Wisdom of Solomon | Chapter 10 | Verse 12] Διεφύλαξεν αὐτὸν ἀπὸ ἐχθρῶν, καὶ ἀπὸ ἐνεδρευόντων ἠσφαλίσατο, καὶ ἀγῶνα ἰσχυρὸν ἐβράβευσεν αὐτῷ, ἵνα γνῷ, ὅτι παντὸς δυνατωτέρα ἐστὶν εὐσέβεια.
[LXX | EL | OT | Wisdom of Solomon | Chapter 10 | Verse 13] Αὕτη πραθέντα δίκαιον οὐκ ἐγκατέλιπεν, ἀλλὰ ἐξ ἁμαρτίας ἐῤῥύσατο αὐτόν·
