[LXX | EL | OT | Wisdom of Solomon | Chapter 3 | Verse 1] Δίκαιων δὲ ψυχαὶ ἐν χειρὶ Θεοῦ, καὶ οὐ μὴ ἅψηται αὐτῶν βάσανος.
[LXX | EL | OT | Wisdom of Solomon | Chapter 3 | Verse 2] Ἔδοξαν ἐν ὀφθαλμοῖς ἀφρόνων τεθνάναι,
[LXX | EL | OT | Wisdom of Solomon | Chapter 3 | Verse 3] καὶ ἐλογίσθη κάκωσις ἡ ἔξοδος αὐτῶν, καὶ ἡ ἀφʼ ἡμῶν πορεία σύντριμμα· οἱ δὲ εἰσιν ἐν εἰρήνῃ·
[LXX | EL | OT | Wisdom of Solomon | Chapter 3 | Verse 4] Καὶ γὰρ ἐν ὄψει ἀνθρώπων ἐὰν κολασθῶσιν, ἡ ἐλπὶς αὐτῶν ἀθανασίας πλήρης.
[LXX | EL | OT | Wisdom of Solomon | Chapter 3 | Verse 5] Καὶ ὀλίγα παιδευθέντες μεγάλα εὐεργετηθήσονται, ὅτι ὁ Θεὸς ἐπείρασεν αὐτοὺς, καὶ εὗρεν αὐτοὺς ἀξίους ἑαυτοῦ.
[LXX | EL | OT | Wisdom of Solomon | Chapter 3 | Verse 6] Ὡς χρυσὸν ἐν χωνευτηρίῳ ἐδοκίμασεν αὐτούς, καὶ ὡς ὁλοκάρπωμα θυσίας προσεδέξατο αὐτούς.
[LXX | EL | OT | Wisdom of Solomon | Chapter 3 | Verse 7] Καὶ ἐν καιρῷ ἐπισκοπῆς αὐτῶν ἀναλάμψουσι, καὶ ὡς σπινθῆρες ἐν καλάμῃ διαδραμοῦνται.
[LXX | EL | OT | Wisdom of Solomon | Chapter 3 | Verse 8] Κρινοῦσιν ἔθνη καὶ κρατήσουσι λαῶν, καὶ βασιλεύσει αὐτῶν Κύριος εἰς τοὺς αἰῶνας.
[LXX | EL | OT | Wisdom of Solomon | Chapter 3 | Verse 9] Οἱ πεποιθότες ἐπʼ αὐτῷ συνήσουσιν ἀλήθειαν, καὶ οἱ πιστοὶ ἐν ἀγάπῃ προσμενοῦσιν αὐτῷ, ὅτι χάρις καὶ ἔλεος τοῖς ἐκλεκτοῖς αὐτοῦ.
[LXX | EL | OT | Wisdom of Solomon | Chapter 3 | Verse 10] Οἱ δὲ ἀσεβεῖς καθὰ ἐλογίσαντο ἕξουσιν ἐπιτιμίαν, οἱ ἀμελήσαντες τοῦ δικαίου καὶ τοῦ Κυρίου ἀποστάντες.
[LXX | EL | OT | Wisdom of Solomon | Chapter 3 | Verse 11] Σοφίαν γὰρ καὶ παιδείαν ὁ ἐξουθενῶν ταλαίπωρος, καὶ κενὴ ἡ ἐλπὶς αὐτῶν, καὶ οἱ κόποι ἀνόνητοι, καὶ ἄχρηστα τὰ ἔργα αὐτῶν.
[LXX | EL | OT | Wisdom of Solomon | Chapter 3 | Verse 12] Αἱ γυναῖκες αὐτῶν ἄφρονες, καὶ πονηρὰ τὰ τέκνα αὐτῶν.
[LXX | EL | OT | Wisdom of Solomon | Chapter 3 | Verse 13] Ἐπικατάρατος ἡ γένεσις αὐτῶν, ὅτι μακαρία στεῖρα ἡ ἀμίαντος, ἥτις οὐκ ἔγνω κοίτης ἐν παραπτώματι, ἕξει καρπὸν ἐν ἐπισκοπῇ ψυχῶν.
[LXX | EL | OT | Wisdom of Solomon | Chapter 3 | Verse 14] Καὶ εὐνοῦχος ὁ μὴ ἐργασάμενος ἐν χειρὶ ἀνόμημα, μηδὲ ἐνθυμηθεὶς κατὰ τοῦ Κυρίου πονηρά· δοθήσεται γὰρ αὐτῷ τῆς πίστεως χάρις ἐκλεκτὴ, καὶ κλῆρος ἐν ναῷ Κυρίου θυμηρέστερος·
[LXX | EL | OT | Wisdom of Solomon | Chapter 3 | Verse 15] Ἀγαθῶν γὰρ πόνων καρπὸς εὐκλεὴς, καὶ ἀδιάπτωτος ἡ ῥίζα τῆς φρονήσεως.
[LXX | EL | OT | Wisdom of Solomon | Chapter 3 | Verse 16] Τέκνα δὲ μοιχῶν ἀτέλεστα ἔσται, καὶ ἐκ παρανόμου κοίτης σπέρμα ἀφανισθήσεται.
[LXX | EL | OT | Wisdom of Solomon | Chapter 3 | Verse 17] Ἐάν τε γὰρ μακρόβιοι γένωνται, εἰς οὐθὲν λογισθήσονται, καὶ ἄτιμον ἐπʼ ἐσχάτον τὸ γῆρας αὐτῶν.
[LXX | EL | OT | Wisdom of Solomon | Chapter 3 | Verse 18] Ἐάν τε ὀξέως τελευτήσωσιν, οὐχ ἕχουσιν ἐλπίδα, οὐδὲ ἐν ἡμέρᾳ διαγνώσεως παραμύθιον·
[LXX | EL | OT | Wisdom of Solomon | Chapter 3 | Verse 19] γενεᾶς γὰρ ἀδίκου χαλεπὰ τὰ τέλη.
