[LXX | EL | OT | Wisdom of Solomon | Chapter 9 | Verse 1] Θεὲ πατέρων καὶ Κύριε τοῦ ἐλέους σου, ὁ ποιήσας τὰ πάντα ἐν λόγῳ σου,
[LXX | EL | OT | Wisdom of Solomon | Chapter 9 | Verse 2] καὶ τῇ σοφίᾳ σου κατεσκεύασας ἄνθρωπον, ἵνα δεσπόζῃ τῶν ὑπὸ σοῦ γενομένων κτισμάτων,
[LXX | EL | OT | Wisdom of Solomon | Chapter 9 | Verse 3] καὶ διέπῃ τὸν κόσμον ἐν ὁσιότητι καὶ δικαιοσύνῃ, καὶ ἐν εὐθύτητι ψυχῆς κρίσιν κρίνῃ·
[LXX | EL | OT | Wisdom of Solomon | Chapter 9 | Verse 4] δός μοι τὴν τῶν σῶν θρόνων πάρεδρον σοφίαν, καὶ μή με ἀποδοκιμάσῃς ἐκ παίδων σου.
[LXX | EL | OT | Wisdom of Solomon | Chapter 9 | Verse 5] Ὅτι ἐγὼ δοῦλος σὸς καὶ υἱὸς τῆς παιδίσκης σου, ἄνθρωπος ἀσθενὴς καὶ ὀλιγοχρόνιος καὶ ἐλάσσων ἐν συνέσει κρίσεως καὶ νόμων.
[LXX | EL | OT | Wisdom of Solomon | Chapter 9 | Verse 6] Κᾂν γάρ τις ᾖ τέλειος ἐν υἱοῖς ἀνθρώπων, τῆς ἀπὸ σοῦ σοφίας ἀπούσης, εἰς οὐδὲν λογισθήσεται.
[LXX | EL | OT | Wisdom of Solomon | Chapter 9 | Verse 7] Σύ με προείλω βασιλέα λαοῦ σου, καὶ δικαστὴν υἱῶν σου καὶ θυγατέρων.
[LXX | EL | OT | Wisdom of Solomon | Chapter 9 | Verse 8] Εἶπας οἰκοδομῆσαι ναὸν ἐν ὄρει ἁγίῳ σου, καὶ ἐν πόλει κατασκηνώσεώς σου θυσιαστήριον, μίμημα σκηνῆς ἁγίας ἣν προητοίμασας ἀπʼ ἀρχῆς.
[LXX | EL | OT | Wisdom of Solomon | Chapter 9 | Verse 9] Καὶ μετὰ σοῦ ἡ σοφία ἡ εἰδυῖα τὰ ἔργα σου, καὶ παροῦσα ὅτε ἐποίεις τὸν κόσμον, καὶ ἐπισταμένη τί ἀρεστὸν ἐν ὀφθαλμοῖς σου, καὶ τί εὐθὲς ἐν ἐντολαῖς σου.
[LXX | EL | OT | Wisdom of Solomon | Chapter 9 | Verse 10] Ἐξαπόστειλον αὐτὴν ἐξ ἁγίων οὐρανῶν, καὶ ἀπὸ θρόνου δόξης σου πέμψον αὐτὴν, ἵνα συμπαροῦσά μοι κοπιάσῃ, καὶ γνῷ τί εὐάρεστόν ἐστι παρὰ σοί.
[LXX | EL | OT | Wisdom of Solomon | Chapter 9 | Verse 11] Οἶδε γὰρ ἐκείνη πάντα καὶ συνιεῖ, καὶ ὁδηγήσει με ἐν ταῖς πράξεσί μου σωφρόνως, καὶ φυλάξει με ἐν τῇ δόξῃ αὐτῆς.
[LXX | EL | OT | Wisdom of Solomon | Chapter 9 | Verse 12] Καὶ ἔσται προσδεκτὰ τὰ ἔργα μου, καὶ διακρινῶ τὸν λαόν σου δικαίως, καὶ ἔσομαι ἄξιος θρόνων πατρός μου.
[LXX | EL | OT | Wisdom of Solomon | Chapter 9 | Verse 13] Τίς γὰρ ἄνθρωπος γνώσεται βουλὴν Θεοῦ; ἢ τίς ἐνθυμηθήσεται τί θέλει ὁ Κύριος;
[LXX | EL | OT | Wisdom of Solomon | Chapter 9 | Verse 14] Λογισμοὶ γὰρ θνητῶν δειλοὶ, καὶ ἐπισφαλεῖς αἱ ἐπίνοιαι ἡμῶν.
[LXX | EL | OT | Wisdom of Solomon | Chapter 9 | Verse 15] Φθαρτὸν γὰρ σῶμα βαρύνει ψυχὴν, καὶ βρίθει τὸ γεῶδες σκῆνος νοῦν πολυφροντίδα.
[LXX | EL | OT | Wisdom of Solomon | Chapter 9 | Verse 16] Καὶ μόλις εἰκάζομεν τὰ ἐπὶ γῆς, καὶ τὰ ἐν χερσὶν εὑρίσκομεν μετὰ πόνου· τὰ δὲ ἐν οὐρανοῖς τίς ἐξιχνίασε;
[LXX | EL | OT | Wisdom of Solomon | Chapter 9 | Verse 17] Βουλὴν δέ σου τίς ἔγνω, εἰ μὴ σὺ ἔδωκας σοφίαν, καὶ ἔπεμψας τὸ ἅγιόν σου πνεῦμα ἀπὸ ὑψίστων;
[LXX | EL | OT | Wisdom of Solomon | Chapter 9 | Verse 18] Καὶ οὕτως διωρθώθησαν αἱ τρίβοι τῶν ἐπὶ γῆς, καὶ τὰ ἀρεστά σου ἐδιδάχθησαν ἄνθρωποι, καὶ τῇ σοφίᾳ ἐσώθησαν.
