[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 1] Πλοῦν τις πάλιν στελλόμενος, καὶ ἄγρια μέλλων διοδεύειν κύματα, τοῦ φέροντος αὐτὸν πλοίου σαθρότερον ξύλον ἐπιβοᾶται.
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 2] Ἐκεῖνο μὲν γὰρ ὄρεξις πορισμῶν ἐπενόησε, τεχνίτης δὲ σοφίᾳ κατεσκεύασεν·
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 3] ἡ δὲ σὴ, Πάτερ, διακυβερνᾷ πρόνοια, ὅτι ἔδωκας καὶ ἐν θαλάσσῃ ὁδὸν καὶ ἐν κύμασι τρίβον ἀσφαλῆ·
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 4] δεικνὺς ὅτι δύνασαι ἐκ παντὸς σώζειν, ἵνα κᾂν ἄνευ τέχνης τις ἐπιβῇ.
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 5] Θέλεις δὲ μὴ ἀργὰ εἶναι τὰ τῆς σοφίας σου ἔργα, διὰ τοῦτο καὶ ἐλαχίστῳ ξύλῳ πιστεύουσιν ἄνθρωποι ψυχὰς, καὶ διελθόντες κλύδωνα σχεδίᾳ διεσώθησαν.
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 6] Καὶ ἀρχῆς γὰρ ἀπολλυμένων ὑπερηφάνων γιγάντων, ἡ ἐλπὶς τοῦ κόσμου ἐπὶ σχεδίας καταφυγοῦσα, ἀπέλιπεν αἰῶνι σπέρμα γενέσεως τῇ σῇ κυβερνηθεῖσα χειρί.
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 7] Εὐλόγηται γὰρ ξύλον διʼ οὗ γίνεται δικαιοσύνη.
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 8] Τὸ χειροποίητον δέ ἐπικατάρατον αὐτὸ, καὶ ὁ ποιήσας αὐτὸ, ὅτι ὁ μὲν εἰργάζετο, τὸ δὲ φθαρτὸν θεὸς ὠνομάσθη.
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 9] Ἐν ἴσῳ γὰρ μισητὰ Θεῷ καὶ ὁ ἀσεβῶν καὶ ἡ ἀσέβεια αὐτοῦ.
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 10] Καὶ γὰρ τὸ πραχθὲν σὺν τῷ δράσαντι κολασθησεται.
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 11] Διὰ τοῦτο καὶ ἐν εἰδώλοις ἐθνῶν ἐπισκοπὴ ἔσται, ὅτι ἐν κτίσματι Θεοῦ εἰς βδέλυγμα ἐγενήθησαν, καὶ εἰς σκάνδαλα ψυχαῖς ἀνθρώπων, καὶ εἰς παγίδα ποσὶνἀφρόνων.
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 12] Ἀρχὴ γὰρ πορνείας ἐπίνοια εἰδώλων, εὕρεσις δὲ αὐτῶν φθορὰ ζωῆς.
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 13] Οὔτε γὰρ ἦν ἀπʼ ἀρχῆς, οὔτε εἰς τὸν αἰῶνα ἔσται.
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 14] Κενοδοξίᾳ γὰρ ἀνθρώπων εἰσῆλθεν εἰς κόσμον, καὶ διὰ τοῦτο σύντομον αὐτῶν τέλος ἐπενοήθη.
[LXX | EL | OT | Wisdom of Solomon | Chapter 14 | Verse 15] Ἀώρῳ γὰρ πένθει τρυχόμενος πατὴρ, τοῦ ταχέως ἀφαιρεθέντος τέκνου εἰκόνα ποιήσας, τὸν τότε νεκρὸν ἄνθρωπον, νῦν ὡς θεὸν ἐτίμησεν, καὶ παρέδωκε τοῖς ὑποχειρίοις μυστήρια καὶ τελετάς.
